event_time_min,event_type,entity_type,entity_id,payload_json
0,JOB_VISIBLE,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0005,"{""commodity"":""CORN"",""load_tons"":37,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0010,"{""commodity"":""SORGHUM"",""load_tons"":34,""priority_class"":""CONTRACTED""}"
11,JOB_VISIBLE,JOB,J0004,"{""commodity"":""CORN"",""load_tons"":45,""priority_class"":""REGULAR""}"
28,JOB_VISIBLE,JOB,J0020,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
37,JOB_VISIBLE,JOB,J0011,"{""commodity"":""CORN"",""load_tons"":45,""priority_class"":""CONTRACTED""}"
45,JOB_VISIBLE,JOB,J0013,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
47,JOB_VISIBLE,JOB,J0017,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""CONTRACTED""}"
52,JOB_ARRIVAL,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
53,JOB_VISIBLE,JOB,J0009,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""CONTRACTED""}"
72,JOB_VISIBLE,JOB,J0012,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""CONTRACTED""}"
77,JOB_VISIBLE,JOB,J0031,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
84,JOB_VISIBLE,JOB,J0025,"{""commodity"":""CORN"",""load_tons"":40,""priority_class"":""REGULAR""}"
89,JOB_ARRIVAL,JOB,J0002,"{""commodity"":""CORN"",""load_tons"":38,""priority_class"":""REGULAR""}"
89,JOB_VISIBLE,JOB,J0002,"{""commodity"":""CORN"",""load_tons"":38,""priority_class"":""REGULAR""}"
94,JOB_VISIBLE,JOB,J0033,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
95,JOB_VISIBLE,JOB,J0035,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
99,JOB_VISIBLE,JOB,J0015,"{""commodity"":""CORN"",""load_tons"":35,""priority_class"":""REGULAR""}"
100,JOB_ARRIVAL,JOB,J0003,"{""commodity"":""CORN"",""load_tons"":41,""priority_class"":""REGULAR""}"
100,JOB_VISIBLE,JOB,J0003,"{""commodity"":""CORN"",""load_tons"":41,""priority_class"":""REGULAR""}"
110,JOB_ARRIVAL,JOB,J0004,"{""commodity"":""CORN"",""load_tons"":45,""priority_class"":""REGULAR""}"
116,JOB_ARRIVAL,JOB,J0005,"{""commodity"":""CORN"",""load_tons"":37,""priority_class"":""REGULAR""}"
118,JOB_ARRIVAL,JOB,J0006,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
118,JOB_VISIBLE,JOB,J0006,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
133,JOB_ARRIVAL,JOB,J0007,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
133,JOB_VISIBLE,JOB,J0007,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
136,JOB_ARRIVAL,JOB,J0008,"{""commodity"":""CORN"",""load_tons"":43,""priority_class"":""REGULAR""}"
136,JOB_VISIBLE,JOB,J0008,"{""commodity"":""CORN"",""load_tons"":43,""priority_class"":""REGULAR""}"
138,JOB_ARRIVAL,JOB,J0009,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""CONTRACTED""}"
145,JOB_ARRIVAL,JOB,J0010,"{""commodity"":""SORGHUM"",""load_tons"":34,""priority_class"":""CONTRACTED""}"
152,JOB_VISIBLE,JOB,J0019,"{""commodity"":""CORN"",""load_tons"":36,""priority_class"":""CONTRACTED""}"
158,JOB_VISIBLE,JOB,J0018,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
159,JOB_VISIBLE,JOB,J0038,"{""commodity"":""CORN"",""load_tons"":41,""priority_class"":""REGULAR""}"
161,JOB_VISIBLE,JOB,J0023,"{""commodity"":""CORN"",""load_tons"":34,""priority_class"":""CONTRACTED""}"
171,JOB_ARRIVAL,JOB,J0011,"{""commodity"":""CORN"",""load_tons"":45,""priority_class"":""CONTRACTED""}"
182,JOB_ARRIVAL,JOB,J0012,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""CONTRACTED""}"
197,JOB_VISIBLE,JOB,J0037,"{""commodity"":""CORN"",""load_tons"":41,""priority_class"":""REGULAR""}"
199,JOB_ARRIVAL,JOB,J0013,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
202,JOB_ARRIVAL,JOB,J0014,"{""commodity"":""CORN"",""load_tons"":38,""priority_class"":""REGULAR""}"
202,JOB_VISIBLE,JOB,J0014,"{""commodity"":""CORN"",""load_tons"":38,""priority_class"":""REGULAR""}"
213,JOB_VISIBLE,JOB,J0026,"{""commodity"":""CORN"",""load_tons"":37,""priority_class"":""REGULAR""}"
214,JOB_ARRIVAL,JOB,J0015,"{""commodity"":""CORN"",""load_tons"":35,""priority_class"":""REGULAR""}"
214,JOB_VISIBLE,JOB,J0051,"{""commodity"":""CORN"",""load_tons"":37,""priority_class"":""CONTRACTED""}"
216,JOB_VISIBLE,JOB,J0027,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
216,JOB_VISIBLE,JOB,J0056,"{""commodity"":""CORN"",""load_tons"":38,""priority_class"":""REGULAR""}"
219,JOB_VISIBLE,JOB,J0034,"{""commodity"":""CORN"",""load_tons"":45,""priority_class"":""CONTRACTED""}"
221,JOB_VISIBLE,JOB,J0046,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
225,JOB_ARRIVAL,JOB,J0016,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
225,JOB_VISIBLE,JOB,J0016,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
232,JOB_ARRIVAL,JOB,J0017,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""CONTRACTED""}"
238,JOB_VISIBLE,JOB,J0042,"{""commodity"":""CORN"",""load_tons"":40,""priority_class"":""CONTRACTED""}"
238,JOB_VISIBLE,JOB,J0045,"{""commodity"":""SORGHUM"",""load_tons"":33,""priority_class"":""REGULAR""}"
242,JOB_ARRIVAL,JOB,J0018,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
247,JOB_VISIBLE,JOB,J0044,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""CONTRACTED""}"
