job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,108,56,0,0
J0002,130,41,0,0
J0003,148,48,0,0
J0004,158,48,0,0
J0005,162,46,0,0
J0006,168,50,0,0
J0007,180,47,3,0
J0008,181,45,0,0
J0009,186,48,0,0
J0010,198,53,0,0
J0011,217,46,0,0
J0012,232,50,0,0
J0013,245,46,0,0
J0014,253,51,0,0
J0015,257,43,0,0
J0016,275,50,0,0
J0017,278,46,0,0
J0018,289,47,0,0
J0019,289,38,0,0
J0020,300,44,0,0
J0021,318,54,0,0
J0022,314,40,0,0
J0023,340,49,0,0
J0024,339,47,0,0
J0025,347,55,0,0
J0026,353,59,8,0
J0027,352,54,6,0
J0028,361,50,4,0
J0029,361,50,4,0
J0030,369,54,7,0
J0031,372,56,12,0
J0032,375,56,7,0
J0033,387,65,13,0
J0034,382,57,11,0
J0035,387,55,3,0
J0036,393,56,6,0
J0037,401,55,13,0
J0038,416,69,13,0
J0039,397,46,1,0
J0040,416,61,3,0
J0041,421,52,1,0
J0042,422,49,4,0
J0043,445,71,17,0
J0044,430,55,6,0
J0045,433,56,14,0
J0046,442,60,15,0
J0047,442,57,13,0
J0048,453,67,19,0
J0049,457,71,19,0
J0050,459,62,19,0
J0051,461,63,17,0
J0052,472,68,13,0
J0053,482,75,25,0
J0054,474,56,9,0
J0055,479,53,11,0
J0056,493,44,0,0
J0057,502,45,0,0
J0058,535,51,0,0
J0059,538,49,0,0
J0060,544,53,0,0
J0061,546,49,0,0
J0062,559,53,5,0
J0063,564,54,1,0
J0064,578,49,0,0
J0065,598,53,0,0
J0066,617,57,0,0
J0067,607,47,0,0
J0068,625,58,6,0
J0069,631,50,3,0
J0070,643,53,0,0
J0071,646,52,0,0
J0072,670,52,0,0
