job_id,arrival_time_min,completion_due_nominal_min,completion_due_observed_min,due_slack_nominal_min,due_slack_observed_min,base_priority_slack_min,fixed_appointment_min,fixed_commodity_min,fixed_moisture_min,fixed_shift_min,fixed_regime_min,random_instance_min,random_shift_min,random_idio_min,nominal_processing_lb_min,shift_bucket
J0001,52,352,369,300,317,300,-8,10,9,8,0,-3.9888,2.3308,-0.2495,50,EARLY
J0002,89,389,378,300,289,300,6,0,-5,8,0,-3.9888,2.3308,-18.2083,41,EARLY
J0003,100,400,403,300,303,300,6,0,0,8,0,-3.9888,2.3308,-9.0404,45,EARLY
J0004,110,410,393,300,283,300,-8,0,0,8,0,-3.9888,2.3308,-14.9754,46,EARLY
J0005,116,416,413,300,297,300,-8,0,0,8,0,-3.9888,2.3308,-1.8109,41,EARLY
J0006,118,418,445,300,327,300,6,10,0,8,0,-3.9888,2.3308,4.7561,44,EARLY
J0007,133,433,473,300,340,300,6,10,0,8,0,-3.9888,2.3308,17.1822,43,EARLY
J0008,136,436,448,300,312,300,6,0,0,8,0,-3.9888,2.3308,-0.5558,45,EARLY
J0009,138,408,395,270,257,270,-8,0,0,8,0,-3.9888,2.3308,-11.7189,44,EARLY
J0010,145,415,427,270,282,270,-8,5,9,8,0,-3.9888,2.3308,-0.6101,44,EARLY
J0011,171,441,428,270,257,270,-8,0,-5,8,0,-3.9888,2.3308,-6.7959,44,EARLY
J0012,182,452,465,270,283,270,-8,10,0,8,0,-3.9888,2.3308,4.4753,45,EARLY
J0013,199,499,499,300,300,300,-8,0,0,8,0,-3.9888,2.3308,1.2787,43,EARLY
J0014,202,502,516,300,314,300,6,0,9,8,0,-3.9888,2.3308,-7.0292,47,EARLY
J0015,214,514,507,300,293,300,-8,0,-5,8,0,-3.9888,2.3308,-0.21,40,EARLY
J0016,225,525,539,300,314,300,6,10,0,8,0,-3.9888,2.3308,-8.688,45,EARLY
J0017,232,502,518,270,286,270,-8,10,-5,8,0,-3.9888,2.3308,12.2578,41,EARLY
J0018,242,542,549,300,307,300,-8,10,-5,0,0,-3.9888,-4.889,18.5994,41,MID
J0019,251,521,493,270,242,270,-8,0,-5,0,0,-3.9888,-4.889,-6.2149,40,MID
J0020,256,556,543,300,287,300,-8,0,0,0,0,-3.9888,-4.889,4.0429,43,MID
J0021,264,564,579,300,315,300,6,10,9,0,0,-3.9888,-4.889,-0.8113,50,MID
J0022,274,574,575,300,301,300,6,0,0,0,0,-3.9888,-4.889,3.7613,41,MID
J0023,291,561,551,270,260,270,-8,0,9,0,0,-3.9888,-4.889,-2.0643,46,MID
