job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,SOY,41,52,0,REGULAR,1.0,1,WET,300,369,1.6468,EARLY,0.047052839066573406
J0002,CORN,38,89,89,REGULAR,1.0,0,DRY,300,378,1.5263,EARLY,0.27850193933998857
J0003,CORN,41,100,100,REGULAR,1.0,0,NORMAL,300,403,1.6468,EARLY,0.36243403064793034
J0004,CORN,45,110,11,REGULAR,1.0,1,NORMAL,300,393,1.8075,EARLY,0.41330196477395564
J0005,CORN,37,116,0,REGULAR,1.0,1,NORMAL,300,413,1.4862,EARLY,0.44000763019011896
J0006,SOY,37,118,118,REGULAR,1.0,0,NORMAL,300,445,1.4862,EARLY,0.4450944236027215
J0007,SOY,35,133,133,REGULAR,1.0,0,NORMAL,300,473,1.4058,EARLY,0.45908310548737846
J0008,CORN,43,136,136,REGULAR,1.0,0,NORMAL,300,448,1.7272,EARLY,0.45526801042792653
J0009,CORN,42,138,53,CONTRACTED,1.25,1,NORMAL,300,395,1.687,EARLY,0.44763782030902277
J0010,SORGHUM,34,145,0,CONTRACTED,1.25,1,WET,300,427,1.3657,EARLY,0.4145736631271063
J0011,CORN,45,171,37,CONTRACTED,1.25,1,DRY,300,428,1.8075,EARLY,0.32173968334711006
J0012,SOY,40,182,72,CONTRACTED,1.25,1,NORMAL,300,465,1.6067,EARLY,0.31919628664080885
J0013,CORN,39,199,45,REGULAR,1.0,1,NORMAL,300,499,1.5665,EARLY,0.3459019520569721
J0014,CORN,38,202,202,REGULAR,1.0,0,WET,300,516,1.5263,EARLY,0.3573472372353278
J0015,CORN,35,214,99,REGULAR,1.0,1,DRY,300,507,1.4058,EARLY,0.3967698861829974
J0016,SOY,39,225,225,REGULAR,1.0,0,NORMAL,300,539,1.5665,EARLY,0.4247472499523113
J0017,SOY,35,232,47,CONTRACTED,1.25,1,DRY,300,518,1.4058,EARLY,0.42729064665861255
J0018,SOY,35,242,158,REGULAR,1.0,1,DRY,300,549,1.4058,MID,0.46798499395943277
J0019,CORN,36,251,152,CONTRACTED,1.25,1,DRY,300,493,1.446,MID,0.5023208494945
J0020,CORN,39,256,28,REGULAR,1.0,1,NORMAL,300,543,1.5665,MID,0.5226680231449101
J0021,SOY,41,264,264,REGULAR,1.0,0,WET,300,579,1.6468,MID,0.5709925605646341
J0022,CORN,37,274,274,REGULAR,1.0,0,NORMAL,300,575,1.4862,MID,0.6485661601068227
J0023,CORN,34,291,161,CONTRACTED,1.25,1,WET,300,551,1.3657,MID,0.8151586443695555
J0024,CORN,43,292,292,REGULAR,1.0,0,DRY,300,594,1.7272,MID,0.8266039295479113
J0025,CORN,40,292,84,REGULAR,1.0,1,WET,300,583,1.6067,MID,0.8266039295479113
J0026,CORN,37,294,213,REGULAR,1.0,1,NORMAL,300,588,1.4862,MID,0.8418643097857188
J0027,SOY,40,298,216,REGULAR,1.0,1,NORMAL,300,587,1.6067,MID,0.8660265784955808
J0028,SOY,37,311,311,REGULAR,1.0,0,NORMAL,300,616,1.4862,MID,0.9296114961531126
J0029,CORN,43,311,248,CONTRACTED,1.25,1,NORMAL,300,573,1.7272,MID,0.9296114961531126
J0030,CORN,37,315,315,REGULAR,1.0,0,NORMAL,300,614,1.4862,MID,0.9436001780377695
J0031,SOY,37,316,77,REGULAR,1.0,1,NORMAL,300,609,1.4862,MID,0.9474152730972214
J0032,SORGHUM,36,319,319,REGULAR,1.0,0,NORMAL,300,628,1.446,MID,0.9575888599224265
J0033,SOY,41,322,94,REGULAR,1.0,1,NORMAL,300,617,1.6468,MID,0.9614039549818783
J0034,CORN,45,325,219,CONTRACTED,1.25,1,NORMAL,300,600,1.8075,MID,0.962675653335029
J0035,CORN,39,332,95,REGULAR,1.0,1,NORMAL,300,608,1.5665,MID,0.9779360335728365
J0036,SOY,37,337,337,REGULAR,1.0,0,NORMAL,300,655,1.4862,MID,0.9817511286322885
J0037,CORN,41,346,197,REGULAR,1.0,1,DRY,300,615,1.6468,MID,0.9944681121637947
J0038,CORN,41,347,159,REGULAR,1.0,1,WET,300,639,1.6468,MID,0.9944681121637949
J0039,SOY,35,351,269,CONTRACTED,1.25,1,NORMAL,300,647,1.4058,MID,0.9893813187511924
J0040,CORN,37,355,272,REGULAR,1.0,1,WET,300,622,1.4862,MID,0.9881096203980417
J0041,CORN,45,369,302,CONTRACTED,1.25,1,NORMAL,300,628,1.8075,MID,1.0020983022826986
J0042,CORN,40,373,238,CONTRACTED,1.25,1,DRY,300,640,1.6067,MID,1.0071850956953012
J0043,CORN,44,374,298,REGULAR,1.0,1,NORMAL,300,665,1.7673,MID,1.007185095695301
J0044,SOY,35,375,247,CONTRACTED,1.25,1,NORMAL,300,614,1.4058,MID,1.004641698989
J0045,SORGHUM,33,377,238,REGULAR,1.0,1,DRY,300,662,1.3255,MID,0.9982832072232466
J0046,CORN,42,382,221,REGULAR,1.0,1,NORMAL,300,670,1.687,MID,0.976664335219686
J0047,CORN,34,385,385,REGULAR,1.0,0,DRY,300,695,1.3657,MID,0.9614039549818783
