job_id,op_seq,machine_id,stage_name,proc_time_nominal_min,proc_time_observed_min,machine_latent_log,shift_latent_log,instance_latent_log,regime_log,congestion_log,commodity_log,moisture_log,idio_log,additive_pause_min,arrival_congestion_score,shift_bucket,commodity,moisture_class
J0001,1,WB1,WEIGH_IN,8,8,0.0105,-0.0047,0.0011,0.0,0.00094,0.0,0.0,0.00094,0,0.04705,EARLY,SOY,WET
J0001,1,WB2,WEIGH_IN,8,7,-0.02305,-0.0047,0.0011,0.0,0.00094,0.0,0.0,-0.03903,0,0.04705,EARLY,SOY,WET
J0001,1,WB3,WEIGH_IN,7,7,0.01293,-0.0047,0.0011,0.0,0.00094,0.0,0.0,-0.00425,0,0.04705,EARLY,SOY,WET
J0001,1,WB4,WEIGH_IN,8,8,0.05524,-0.0047,0.0011,0.0,0.00094,0.0,0.0,0.00259,0,0.04705,EARLY,SOY,WET
J0001,2,LAB1,SAMPLE_CLASSIFY,13,15,0.03063,0.02425,0.00019,0.0,0.00165,0.02,0.045,0.01946,0,0.04705,EARLY,SOY,WET
J0001,2,LAB2,SAMPLE_CLASSIFY,14,15,-0.00042,0.02425,0.00019,0.0,0.00165,0.02,0.045,-0.00892,0,0.04705,EARLY,SOY,WET
J0001,2,LAB3,SAMPLE_CLASSIFY,15,17,0.01883,0.02425,0.00019,0.0,0.00165,0.02,0.045,0.01578,0,0.04705,EARLY,SOY,WET
J0001,3,HOP1,UNLOAD,29,29,-0.03176,0.01324,0.0045,0.0,0.00235,0.01,0.028,-0.04284,0,0.04705,EARLY,SOY,WET
J0001,3,HOP2,UNLOAD,27,28,-0.02251,0.01324,0.0045,0.0,0.00235,0.01,0.028,0.00466,0,0.04705,EARLY,SOY,WET
J0001,3,HOP6,UNLOAD,24,28,0.09731,0.01324,0.0045,0.0,0.00235,0.01,0.028,0.01628,0,0.04705,EARLY,SOY,WET
J0001,4,WB1,WEIGH_OUT,6,6,0.0105,-0.00584,0.00261,0.0,0.00071,0.0,0.0,-0.03059,0,0.04705,EARLY,SOY,WET
J0001,4,WB2,WEIGH_OUT,6,6,-0.02305,-0.00584,0.00261,0.0,0.00071,0.0,0.0,-6e-05,0,0.04705,EARLY,SOY,WET
J0001,4,WB3,WEIGH_OUT,6,6,0.01293,-0.00584,0.00261,0.0,0.00071,0.0,0.0,0.03799,0,0.04705,EARLY,SOY,WET
J0001,4,WB4,WEIGH_OUT,6,6,0.05524,-0.00584,0.00261,0.0,0.00071,0.0,0.0,-0.03631,0,0.04705,EARLY,SOY,WET
J0002,1,WB1,WEIGH_IN,7,7,0.0105,-0.0047,0.0011,0.0,0.00557,0.0,0.0,-0.01137,0,0.2785,EARLY,CORN,DRY
