job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB1,62,70,0
J0001,2,SAMPLE_CLASSIFY,LAB1,70,79,0
J0001,3,UNLOAD,HOP6,79,103,0
J0001,4,WEIGH_OUT,WB2,103,108,0
J0002,1,WEIGH_IN,WB2,62,69,0
J0002,2,SAMPLE_CLASSIFY,LAB2,69,84,0
J0002,3,UNLOAD,HOP2,84,112,0
J0002,4,WEIGH_OUT,WB1,112,117,0
J0003,1,WEIGH_IN,WB1,82,89,0
J0003,2,SAMPLE_CLASSIFY,LAB2,89,102,0
J0003,3,UNLOAD,HOP6,103,131,1
J0003,4,WEIGH_OUT,WB2,131,137,0
J0004,1,WEIGH_IN,WB2,86,94,0
J0004,2,SAMPLE_CLASSIFY,LAB1,94,106,0
J0004,3,UNLOAD,HOP1,106,133,0
J0004,4,WEIGH_OUT,WB1,133,139,0
J0005,1,WEIGH_IN,WB1,102,110,0
J0005,2,SAMPLE_CLASSIFY,LAB3,110,119,0
J0005,3,UNLOAD,HOP4,119,139,0
J0005,4,WEIGH_OUT,WB1,139,145,0
J0006,1,WEIGH_IN,WB2,115,122,0
J0006,2,SAMPLE_CLASSIFY,LAB1,122,136,0
J0006,3,UNLOAD,HOP2,136,161,0
J0006,4,WEIGH_OUT,WB1,161,166,0
J0007,1,WEIGH_IN,WB3,116,123,0
J0007,2,SAMPLE_CLASSIFY,LAB2,123,133,0
J0007,3,UNLOAD,HOP1,133,160,0
J0007,4,WEIGH_OUT,WB2,160,166,0
J0008,1,WEIGH_IN,WB1,119,126,0
J0008,2,SAMPLE_CLASSIFY,LAB3,126,138,0
J0008,3,UNLOAD,HOP6,138,165,0
J0008,4,WEIGH_OUT,WB3,165,171,0
J0009,1,WEIGH_IN,WB3,128,136,0
J0009,2,SAMPLE_CLASSIFY,LAB1,136,146,0
J0009,3,UNLOAD,HOP4,146,167,0
J0009,4,WEIGH_OUT,WB1,167,173,0
J0010,1,WEIGH_IN,WB4,134,141,0
J0010,2,SAMPLE_CLASSIFY,LAB2,141,151,0
J0010,3,UNLOAD,HOP3,151,183,0
J0010,4,WEIGH_OUT,WB3,183,188,0
J0011,1,WEIGH_IN,WB3,136,144,0
J0011,2,SAMPLE_CLASSIFY,LAB3,144,155,0
J0011,3,UNLOAD,HOP4,167,186,12
J0011,4,WEIGH_OUT,WB1,186,192,0
J0012,1,WEIGH_IN,WB4,161,168,0
J0012,2,SAMPLE_CLASSIFY,LAB2,168,180,0
J0012,3,UNLOAD,HOP2,180,204,0
J0012,4,WEIGH_OUT,WB1,204,209,0
J0013,1,WEIGH_IN,WB2,171,178,0
J0013,2,SAMPLE_CLASSIFY,LAB1,178,189,0
J0013,3,UNLOAD,HOP4,189,213,0
J0013,4,WEIGH_OUT,WB1,213,219,0
J0014,1,WEIGH_IN,WB1,176,183,0
J0014,2,SAMPLE_CLASSIFY,LAB3,183,194,0
J0014,3,UNLOAD,HOP6,194,216,0
J0014,4,WEIGH_OUT,WB2,216,222,0
J0015,1,WEIGH_IN,WB4,179,186,0
J0015,2,SAMPLE_CLASSIFY,LAB2,186,196,0
J0015,3,UNLOAD,HOP1,196,224,0
J0015,4,WEIGH_OUT,WB1,224,230,0
J0016,1,WEIGH_IN,WB2,183,190,0
J0016,2,SAMPLE_CLASSIFY,LAB1,190,199,0
J0016,3,UNLOAD,HOP3,199,230,0
J0016,4,WEIGH_OUT,WB2,230,236,0
J0017,1,WEIGH_IN,WB2,190,198,0
J0017,2,SAMPLE_CLASSIFY,LAB3,198,209,0
J0017,3,UNLOAD,HOP4,213,235,4
J0017,4,WEIGH_OUT,WB1,235,241,0
J0018,1,WEIGH_IN,WB1,194,200,0
J0018,2,SAMPLE_CLASSIFY,LAB2,200,212,0
J0018,3,UNLOAD,HOP5,212,237,0
J0018,4,WEIGH_OUT,WB2,237,243,0
J0019,1,WEIGH_IN,WB2,201,208,0
J0019,2,SAMPLE_CLASSIFY,LAB1,208,219,0
J0019,3,UNLOAD,HOP6,219,242,0
J0019,4,WEIGH_OUT,WB1,242,248,0
J0020,1,WEIGH_IN,WB3,203,210,0
J0020,2,SAMPLE_CLASSIFY,LAB3,210,221,0
J0020,3,UNLOAD,HOP1,224,251,3
J0020,4,WEIGH_OUT,WB1,251,256,0
J0021,1,WEIGH_IN,WB2,209,216,0
J0021,2,SAMPLE_CLASSIFY,LAB2,216,226,0
J0021,3,UNLOAD,HOP4,235,256,9
J0021,4,WEIGH_OUT,WB1,256,262,0
J0022,1,WEIGH_IN,WB3,211,218,0
J0022,2,SAMPLE_CLASSIFY,LAB1,219,231,1
J0022,3,UNLOAD,HOP3,231,260,0
J0022,4,WEIGH_OUT,WB2,260,266,0
J0023,1,WEIGH_IN,WB4,217,225,0
J0023,2,SAMPLE_CLASSIFY,LAB2,226,237,1
J0023,3,UNLOAD,HOP2,237,259,0
J0023,4,WEIGH_OUT,WB3,259,265,0
J0024,1,WEIGH_IN,WB3,226,233,0
J0024,2,SAMPLE_CLASSIFY,LAB1,233,246,0
J0024,3,UNLOAD,HOP6,246,269,0
J0024,4,WEIGH_OUT,WB1,269,275,0
J0025,1,WEIGH_IN,WB4,229,237,0
J0025,2,SAMPLE_CLASSIFY,LAB3,237,249,0
J0025,3,UNLOAD,HOP1,251,279,2
J0025,4,WEIGH_OUT,WB1,279,285,0
J0026,1,WEIGH_IN,WB3,233,240,0
J0026,2,SAMPLE_CLASSIFY,LAB2,240,251,0
J0026,3,UNLOAD,HOP4,256,278,5
J0026,4,WEIGH_OUT,WB2,278,284,0
J0027,1,WEIGH_IN,WB4,237,245,3
J0027,2,SAMPLE_CLASSIFY,LAB1,246,257,1
J0027,3,UNLOAD,HOP2,259,283,2
J0027,4,WEIGH_OUT,WB3,283,289,0
J0028,1,WEIGH_IN,WB3,240,248,0
J0028,2,SAMPLE_CLASSIFY,LAB3,249,260,1
J0028,3,UNLOAD,HOP3,260,293,0
J0028,4,WEIGH_OUT,WB1,293,299,0
J0029,1,WEIGH_IN,WB2,251,258,0
J0029,2,SAMPLE_CLASSIFY,LAB2,258,269,0
J0029,3,UNLOAD,HOP6,269,291,0
J0029,4,WEIGH_OUT,WB2,291,297,0
J0030,1,WEIGH_IN,WB4,260,268,0
J0030,2,SAMPLE_CLASSIFY,LAB1,268,285,0
J0030,3,UNLOAD,HOP2,285,310,0
J0030,4,WEIGH_OUT,WB1,310,316,0
J0031,1,WEIGH_IN,WB3,265,273,1
J0031,2,SAMPLE_CLASSIFY,LAB2,273,284,0
J0031,3,UNLOAD,HOP1,284,310,0
J0031,4,WEIGH_OUT,WB2,310,316,0
J0032,1,WEIGH_IN,WB1,285,291,0
J0032,2,SAMPLE_CLASSIFY,LAB2,291,303,0
J0032,3,UNLOAD,HOP6,303,325,0
J0032,4,WEIGH_OUT,WB1,325,330,0
J0033,1,WEIGH_IN,WB4,285,292,0
J0033,2,SAMPLE_CLASSIFY,LAB1,292,304,0
J0033,3,UNLOAD,HOP2,310,334,6
J0033,4,WEIGH_OUT,WB1,334,340,0
J0034,1,WEIGH_IN,WB4,292,299,0
J0034,2,SAMPLE_CLASSIFY,LAB3,299,313,0
J0034,3,UNLOAD,HOP4,313,336,0
J0034,4,WEIGH_OUT,WB2,336,342,0
J0035,1,WEIGH_IN,WB3,293,301,0
J0035,2,SAMPLE_CLASSIFY,LAB2,303,315,2
J0035,3,UNLOAD,HOP3,315,343,0
J0035,4,WEIGH_OUT,WB2,343,349,0
J0036,1,WEIGH_IN,WB3,315,322,0
J0036,2,SAMPLE_CLASSIFY,LAB2,322,337,0
J0036,3,UNLOAD,HOP4,337,359,0
J0036,4,WEIGH_OUT,WB2,359,365,0
J0037,1,WEIGH_IN,WB1,317,324,0
J0037,2,SAMPLE_CLASSIFY,LAB1,324,338,0
J0037,3,UNLOAD,HOP2,338,364,0
J0037,4,WEIGH_OUT,WB1,364,370,0
J0038,1,WEIGH_IN,WB4,326,333,0
J0038,2,SAMPLE_CLASSIFY,LAB3,333,342,0
J0038,3,UNLOAD,HOP6,342,360,0
J0038,4,WEIGH_OUT,WB3,360,366,0
J0039,1,WEIGH_IN,WB3,331,338,0
J0039,2,SAMPLE_CLASSIFY,LAB2,338,350,0
J0039,3,UNLOAD,HOP1,350,374,0
J0039,4,WEIGH_OUT,WB1,374,380,0
J0040,1,WEIGH_IN,WB4,333,341,2
J0040,2,SAMPLE_CLASSIFY,LAB1,341,352,0
J0040,3,UNLOAD,HOP4,359,380,7
J0040,4,WEIGH_OUT,WB2,380,386,0
J0041,1,WEIGH_IN,WB3,338,346,4
J0041,2,SAMPLE_CLASSIFY,LAB3,346,357,0
J0041,3,UNLOAD,HOP6,360,386,3
J0041,4,WEIGH_OUT,WB1,386,392,0
J0042,1,WEIGH_IN,WB1,345,353,0
J0042,2,SAMPLE_CLASSIFY,LAB1,353,365,0
J0042,3,UNLOAD,HOP3,365,396,0
J0042,4,WEIGH_OUT,WB1,396,402,0
J0043,1,WEIGH_IN,WB2,351,358,0
J0043,2,SAMPLE_CLASSIFY,LAB2,358,370,0
J0043,3,UNLOAD,HOP2,370,393,0
J0043,4,WEIGH_OUT,WB2,393,399,0
J0044,1,WEIGH_IN,WB1,355,362,0
J0044,2,SAMPLE_CLASSIFY,LAB3,362,374,0
J0044,3,UNLOAD,HOP1,374,399,0
J0044,4,WEIGH_OUT,WB2,399,405,0
J0045,1,WEIGH_IN,WB4,362,369,0
J0045,2,SAMPLE_CLASSIFY,LAB2,370,378,1
J0045,3,UNLOAD,HOP5,378,400,0
J0045,4,WEIGH_OUT,WB3,400,406,0
J0046,1,WEIGH_IN,WB2,365,372,1
J0046,2,SAMPLE_CLASSIFY,LAB1,372,385,0
J0046,3,UNLOAD,HOP4,385,405,0
J0046,4,WEIGH_OUT,WB1,405,411,0
J0047,1,WEIGH_IN,WB3,368,376,0
J0047,2,SAMPLE_CLASSIFY,LAB3,376,388,0
J0047,3,UNLOAD,HOP6,388,409,0
J0047,4,WEIGH_OUT,WB2,409,414,0
J0048,1,WEIGH_IN,WB4,371,379,0
J0048,2,SAMPLE_CLASSIFY,LAB2,379,390,0
J0048,3,UNLOAD,HOP3,396,421,6
J0048,4,WEIGH_OUT,WB3,421,427,0
J0049,1,WEIGH_IN,WB2,372,379,0
J0049,2,SAMPLE_CLASSIFY,LAB1,385,398,6
J0049,3,UNLOAD,HOP2,398,423,0
J0049,4,WEIGH_OUT,WB1,423,428,0
J0050,1,WEIGH_IN,WB3,392,399,0
J0050,2,SAMPLE_CLASSIFY,LAB2,399,414,0
J0050,3,UNLOAD,HOP6,414,442,0
J0050,4,WEIGH_OUT,WB1,442,448,0
J0051,1,WEIGH_IN,WB4,394,402,0
J0051,2,SAMPLE_CLASSIFY,LAB1,402,413,0
J0051,3,UNLOAD,HOP4,413,433,0
J0051,4,WEIGH_OUT,WB1,433,439,0
J0052,1,WEIGH_IN,WB4,405,412,0
J0052,2,SAMPLE_CLASSIFY,LAB3,412,429,0
J0052,3,UNLOAD,HOP2,429,457,0
J0052,4,WEIGH_OUT,WB1,457,463,0
J0053,1,WEIGH_IN,WB2,418,425,0
J0053,2,SAMPLE_CLASSIFY,LAB2,425,438,0
J0053,3,UNLOAD,HOP4,438,463,0
J0053,4,WEIGH_OUT,WB1,463,469,0
J0054,1,WEIGH_IN,WB4,424,432,0
J0054,2,SAMPLE_CLASSIFY,LAB1,432,444,0
J0054,3,UNLOAD,HOP6,444,466,0
J0054,4,WEIGH_OUT,WB2,466,472,0
J0055,1,WEIGH_IN,WB3,429,436,0
J0055,2,SAMPLE_CLASSIFY,LAB3,436,447,0
J0055,3,UNLOAD,HOP3,447,471,0
J0055,4,WEIGH_OUT,WB3,471,477,0
J0056,1,WEIGH_IN,WB4,435,442,0
J0056,2,SAMPLE_CLASSIFY,LAB2,442,452,0
J0056,3,UNLOAD,HOP5,452,480,0
J0056,4,WEIGH_OUT,WB1,480,486,0
J0057,1,WEIGH_IN,WB2,438,445,0
J0057,2,SAMPLE_CLASSIFY,LAB1,445,458,0
J0057,3,UNLOAD,HOP4,463,482,5
J0057,4,WEIGH_OUT,WB2,482,488,0
J0058,1,WEIGH_IN,WB1,450,457,0
J0058,2,SAMPLE_CLASSIFY,LAB2,457,469,0
J0058,3,UNLOAD,HOP2,469,493,0
J0058,4,WEIGH_OUT,WB1,493,499,0
J0059,1,WEIGH_IN,WB4,476,483,0
J0059,2,SAMPLE_CLASSIFY,LAB1,483,494,0
J0059,3,UNLOAD,HOP4,494,511,0
J0059,4,WEIGH_OUT,WB1,511,517,0
J0060,1,WEIGH_IN,WB2,489,496,0
J0060,2,SAMPLE_CLASSIFY,LAB1,496,506,0
J0060,3,UNLOAD,HOP6,506,528,0
J0060,4,WEIGH_OUT,WB1,528,534,0
J0061,1,WEIGH_IN,WB1,504,511,0
J0061,2,SAMPLE_CLASSIFY,LAB1,511,522,0
J0061,3,UNLOAD,HOP4,522,543,0
J0061,4,WEIGH_OUT,WB1,543,549,0
J0062,1,WEIGH_IN,WB2,526,534,0
J0062,2,SAMPLE_CLASSIFY,LAB1,534,546,0
J0062,3,UNLOAD,HOP2,546,571,0
J0062,4,WEIGH_OUT,WB1,571,577,0
J0063,1,WEIGH_IN,WB3,526,533,0
J0063,2,SAMPLE_CLASSIFY,LAB2,533,544,0
J0063,3,UNLOAD,HOP4,544,564,0
J0063,4,WEIGH_OUT,WB1,564,570,0
J0064,1,WEIGH_IN,WB1,534,541,0
J0064,2,SAMPLE_CLASSIFY,LAB3,541,552,0
J0064,3,UNLOAD,HOP6,552,574,0
J0064,4,WEIGH_OUT,WB2,574,580,0
J0065,1,WEIGH_IN,WB2,538,545,0
J0065,2,SAMPLE_CLASSIFY,LAB2,545,557,0
J0065,3,UNLOAD,HOP1,557,584,0
J0065,4,WEIGH_OUT,WB1,584,590,0
J0066,1,WEIGH_IN,WB2,546,553,0
J0066,2,SAMPLE_CLASSIFY,LAB1,553,566,0
J0066,3,UNLOAD,HOP2,571,594,5
J0066,4,WEIGH_OUT,WB1,594,600,0
J0067,1,WEIGH_IN,WB2,553,560,0
J0067,2,SAMPLE_CLASSIFY,LAB2,560,571,0
J0067,3,UNLOAD,HOP4,571,593,0
J0067,4,WEIGH_OUT,WB2,593,599,0
J0068,1,WEIGH_IN,WB1,554,561,0
