job_id,op_seq,stage_name,machine_family,mandatory,release_time_min
J0001,1,WEIGH_IN,WEIGHBRIDGE,1,62
J0001,2,SAMPLE_CLASSIFY,LAB,1,0
J0001,3,UNLOAD,HOPPER,1,0
J0001,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0002,1,WEIGH_IN,WEIGHBRIDGE,1,62
J0002,2,SAMPLE_CLASSIFY,LAB,1,0
J0002,3,UNLOAD,HOPPER,1,0
J0002,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0003,1,WEIGH_IN,WEIGHBRIDGE,1,82
J0003,2,SAMPLE_CLASSIFY,LAB,1,0
J0003,3,UNLOAD,HOPPER,1,0
J0003,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0004,1,WEIGH_IN,WEIGHBRIDGE,1,86
J0004,2,SAMPLE_CLASSIFY,LAB,1,0
J0004,3,UNLOAD,HOPPER,1,0
J0004,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0005,1,WEIGH_IN,WEIGHBRIDGE,1,102
J0005,2,SAMPLE_CLASSIFY,LAB,1,0
J0005,3,UNLOAD,HOPPER,1,0
J0005,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0006,1,WEIGH_IN,WEIGHBRIDGE,1,115
J0006,2,SAMPLE_CLASSIFY,LAB,1,0
J0006,3,UNLOAD,HOPPER,1,0
J0006,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0007,1,WEIGH_IN,WEIGHBRIDGE,1,116
J0007,2,SAMPLE_CLASSIFY,LAB,1,0
J0007,3,UNLOAD,HOPPER,1,0
J0007,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0008,1,WEIGH_IN,WEIGHBRIDGE,1,119
J0008,2,SAMPLE_CLASSIFY,LAB,1,0
J0008,3,UNLOAD,HOPPER,1,0
J0008,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0009,1,WEIGH_IN,WEIGHBRIDGE,1,128
J0009,2,SAMPLE_CLASSIFY,LAB,1,0
J0009,3,UNLOAD,HOPPER,1,0
J0009,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0010,1,WEIGH_IN,WEIGHBRIDGE,1,134
J0010,2,SAMPLE_CLASSIFY,LAB,1,0
J0010,3,UNLOAD,HOPPER,1,0
J0010,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0011,1,WEIGH_IN,WEIGHBRIDGE,1,136
J0011,2,SAMPLE_CLASSIFY,LAB,1,0
J0011,3,UNLOAD,HOPPER,1,0
J0011,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0012,1,WEIGH_IN,WEIGHBRIDGE,1,161
J0012,2,SAMPLE_CLASSIFY,LAB,1,0
J0012,3,UNLOAD,HOPPER,1,0
J0012,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0013,1,WEIGH_IN,WEIGHBRIDGE,1,171
J0013,2,SAMPLE_CLASSIFY,LAB,1,0
J0013,3,UNLOAD,HOPPER,1,0
J0013,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0014,1,WEIGH_IN,WEIGHBRIDGE,1,176
J0014,2,SAMPLE_CLASSIFY,LAB,1,0
J0014,3,UNLOAD,HOPPER,1,0
J0014,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0015,1,WEIGH_IN,WEIGHBRIDGE,1,179
J0015,2,SAMPLE_CLASSIFY,LAB,1,0
J0015,3,UNLOAD,HOPPER,1,0
J0015,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0016,1,WEIGH_IN,WEIGHBRIDGE,1,183
J0016,2,SAMPLE_CLASSIFY,LAB,1,0
J0016,3,UNLOAD,HOPPER,1,0
J0016,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0017,1,WEIGH_IN,WEIGHBRIDGE,1,190
J0017,2,SAMPLE_CLASSIFY,LAB,1,0
J0017,3,UNLOAD,HOPPER,1,0
