job_id,op_seq,machine_id,proc_time_min,setup_included
J0001,1,WB1,8,1
J0001,1,WB2,7,1
J0001,1,WB3,7,1
J0001,1,WB4,7,1
J0001,2,LAB1,14,1
J0001,2,LAB2,12,1
J0001,2,LAB3,13,1
J0001,3,HOP1,31,1
J0001,3,HOP2,28,1
J0001,3,HOP6,24,1
J0001,4,WB1,6,1
J0001,4,WB2,6,1
J0001,4,WB3,6,1
J0001,4,WB4,6,1
J0002,1,WB1,8,1
J0002,1,WB2,8,1
J0002,1,WB3,9,1
J0002,1,WB4,8,1
J0002,2,LAB1,12,1
J0002,2,LAB2,13,1
J0002,2,LAB3,13,1
J0002,3,HOP1,31,1
J0002,3,HOP2,25,1
J0002,3,HOP6,24,1
J0002,4,WB1,6,1
J0002,4,WB2,6,1
J0002,4,WB3,8,1
J0002,4,WB4,6,1
J0003,1,WB1,8,1
J0003,1,WB2,8,1
J0003,1,WB3,7,1
J0003,1,WB4,7,1
J0003,2,LAB1,13,1
J0003,2,LAB2,13,1
J0003,2,LAB3,14,1
J0003,3,HOP3,33,1
J0003,3,HOP5,30,1
J0003,3,HOP6,26,1
J0003,4,WB1,6,1
J0003,4,WB2,6,1
J0003,4,WB3,6,1
J0003,4,WB4,6,1
J0004,1,WB1,7,1
J0004,1,WB2,7,1
J0004,1,WB3,8,1
J0004,1,WB4,7,1
J0004,2,LAB1,13,1
J0004,2,LAB2,12,1
J0004,2,LAB3,14,1
J0004,3,HOP1,29,1
J0004,3,HOP2,26,1
J0004,3,HOP6,22,1
J0004,4,WB1,5,1
J0004,4,WB2,6,1
J0004,4,WB3,6,1
J0004,4,WB4,6,1
J0005,1,WB1,7,1
J0005,1,WB2,7,1
J0005,1,WB3,7,1
J0005,1,WB4,8,1
J0005,2,LAB1,15,1
J0005,2,LAB2,13,1
J0005,2,LAB3,16,1
J0005,3,HOP1,35,1
J0005,3,HOP3,34,1
J0005,3,HOP4,29,1
J0005,3,HOP6,32,1
J0005,4,WB1,7,1
J0005,4,WB2,7,1
J0005,4,WB3,6,1
J0005,4,WB4,6,1
J0006,1,WB1,7,1
J0006,1,WB2,7,1
J0006,1,WB3,9,1
J0006,1,WB4,8,1
J0006,2,LAB1,14,1
J0006,2,LAB2,11,1
J0006,2,LAB3,11,1
J0006,3,HOP1,31,1
J0006,3,HOP3,30,1
J0006,3,HOP4,25,1
J0006,3,HOP6,24,1
J0006,4,WB1,7,1
J0006,4,WB2,6,1
J0006,4,WB3,6,1
J0006,4,WB4,7,1
J0007,1,WB1,8,1
J0007,1,WB2,7,1
J0007,1,WB3,8,1
J0007,1,WB4,7,1
J0007,2,LAB1,14,1
J0007,2,LAB2,13,1
J0007,2,LAB3,15,1
J0007,3,HOP1,29,1
J0007,3,HOP2,27,1
J0007,3,HOP6,24,1
J0007,4,WB1,6,1
J0007,4,WB2,6,1
J0007,4,WB3,6,1
J0007,4,WB4,7,1
J0008,1,WB1,9,1
J0008,1,WB2,8,1
J0008,1,WB3,7,1
J0008,1,WB4,8,1
J0008,2,LAB1,12,1
J0008,2,LAB2,13,1
J0008,2,LAB3,11,1
J0008,3,HOP1,32,1
J0008,3,HOP3,33,1
J0008,3,HOP4,27,1
J0008,3,HOP6,27,1
J0008,4,WB1,7,1
J0008,4,WB2,8,1
J0008,4,WB3,6,1
J0008,4,WB4,6,1
J0009,1,WB1,8,1
J0009,1,WB2,7,1
J0009,1,WB3,9,1
J0009,1,WB4,7,1
J0009,2,LAB1,15,1
J0009,2,LAB2,14,1
J0009,2,LAB3,15,1
J0009,3,HOP1,33,1
J0009,3,HOP3,37,1
J0009,3,HOP4,29,1
