event_time_min,event_type,entity_type,entity_id,payload_json
0,JOB_VISIBLE,JOB,J0007,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0010,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0011,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0013,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0015,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0016,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0019,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""CONTRACTED""}"
0,JOB_VISIBLE,JOB,J0021,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0027,"{""commodity"":""CORN"",""load_tons"":35,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0034,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
9,JOB_VISIBLE,JOB,J0026,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
11,JOB_VISIBLE,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""URGENT""}"
11,JOB_VISIBLE,JOB,J0017,"{""commodity"":""CORN"",""load_tons"":41,""priority_class"":""REGULAR""}"
23,JOB_ARRIVAL,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""URGENT""}"
29,JOB_ARRIVAL,JOB,J0002,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
29,JOB_VISIBLE,JOB,J0002,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
29,JOB_VISIBLE,JOB,J0033,"{""commodity"":""SORGHUM"",""load_tons"":38,""priority_class"":""REGULAR""}"
30,JOB_VISIBLE,JOB,J0044,"{""commodity"":""SORGHUM"",""load_tons"":37,""priority_class"":""REGULAR""}"
34,JOB_ARRIVAL,JOB,J0003,"{""commodity"":""SORGHUM"",""load_tons"":38,""priority_class"":""REGULAR""}"
34,JOB_VISIBLE,JOB,J0003,"{""commodity"":""SORGHUM"",""load_tons"":38,""priority_class"":""REGULAR""}"
35,JOB_VISIBLE,JOB,J0006,"{""commodity"":""CORN"",""load_tons"":41,""priority_class"":""URGENT""}"
41,JOB_VISIBLE,JOB,J0054,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""CONTRACTED""}"
43,JOB_VISIBLE,JOB,J0008,"{""commodity"":""CORN"",""load_tons"":45,""priority_class"":""URGENT""}"
46,JOB_ARRIVAL,JOB,J0004,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
46,JOB_VISIBLE,JOB,J0004,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
46,JOB_VISIBLE,JOB,J0046,"{""commodity"":""SORGHUM"",""load_tons"":32,""priority_class"":""REGULAR""}"
47,JOB_ARRIVAL,JOB,J0005,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
47,JOB_VISIBLE,JOB,J0005,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
47,JOB_VISIBLE,JOB,J0059,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
49,JOB_ARRIVAL,JOB,J0006,"{""commodity"":""CORN"",""load_tons"":41,""priority_class"":""URGENT""}"
50,JOB_ARRIVAL,JOB,J0007,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
