job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,72,49,0,0
J0002,80,51,0,0
J0003,91,57,0,0
J0004,94,48,1,0
J0005,104,57,0,0
J0006,104,55,0,0
J0007,111,61,7,0
J0008,117,66,8,0
J0009,123,70,13,0
J0010,136,82,30,0
J0011,149,94,33,0
J0012,130,71,20,0
J0013,146,86,36,0
J0014,164,98,40,0
J0015,170,102,53,0
J0016,181,113,54,0
J0017,155,81,26,0
J0018,155,79,29,0
J0019,188,111,61,0
J0020,197,118,63,0
J0021,214,130,67,0
J0022,216,130,74,0
J0023,178,91,41,0
J0024,225,134,79,0
J0025,240,148,97,0
J0026,244,146,91,0
J0027,203,104,42,0
J0028,213,111,49,0
J0029,247,142,95,0
J0030,241,136,70,0
J0031,233,125,78,0
J0032,271,160,101,0
J0033,229,116,59,0
J0034,275,151,93,0
J0035,256,115,68,0
J0036,275,127,65,0
J0037,277,118,57,0
J0038,279,85,38,0
J0039,303,105,48,0
J0040,296,87,34,0
J0041,305,90,38,0
J0042,285,61,0,0
J0043,304,73,21,0
J0044,306,72,14,0
J0045,314,77,24,0
J0046,320,80,40,0
J0047,324,84,26,0
J0048,330,88,37,0
J0049,329,86,33,0
J0050,342,98,31,0
J0051,338,92,45,0
J0052,343,97,50,0
J0053,356,109,56,0
J0054,352,98,41,0
J0055,373,119,57,0
J0056,381,126,66,0
J0057,353,97,49,0
J0058,389,132,65,0
J0059,370,108,54,0
J0060,395,128,78,0
J0061,412,144,79,0
J0062,378,110,58,0
J0063,417,149,101,0
J0064,422,148,87,0
J0065,402,127,74,0
J0066,398,122,67,0
J0067,431,153,95,0
J0068,434,146,98,0
J0069,441,151,100,0
J0070,411,118,67,0
J0071,432,135,70,0
J0072,440,137,85,0
J0073,454,69,8,0
J0074,471,49,0,0
J0075,485,62,0,0
J0076,502,69,3,0
J0077,500,62,1,0
J0078,510,71,15,0
J0079,511,72,19,0
J0080,539,96,27,0
J0081,528,82,22,0
J0082,535,80,30,0
J0083,543,87,27,0
J0084,536,79,29,0
J0085,564,106,45,0
J0086,573,115,55,0
J0087,573,114,48,0
J0088,567,100,44,0
J0089,587,118,68,0
J0090,596,126,75,0
J0091,599,124,61,0
J0092,597,113,62,0
J0093,579,74,24,0
J0094,605,96,38,0
J0095,608,95,47,0
J0096,617,75,32,0
