job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,SOY,35,23,11,URGENT,1.75,1,NORMAL,300,289,1.4058,EARLY,0.373137216953745
J0002,SOY,41,29,29,REGULAR,1.0,0,DRY,300,373,1.6468,EARLY,0.46448616218308497
J0003,SORGHUM,38,34,34,REGULAR,1.0,0,WET,300,385,1.5263,EARLY,0.5419005225469324
J0004,SOY,36,46,46,REGULAR,1.0,0,NORMAL,300,376,1.446,EARLY,0.7346622798529128
J0005,CORN,39,47,47,REGULAR,1.0,0,WET,300,404,1.5665,EARLY,0.7516934391329593
J0006,CORN,41,49,35,URGENT,1.75,1,NORMAL,300,292,1.6468,EARLY,0.7834333268821367
J0007,SOY,36,50,0,REGULAR,1.0,1,NORMAL,300,387,1.446,EARLY,0.7981420553512677
J0008,CORN,45,51,43,URGENT,1.75,1,NORMAL,300,316,1.8075,EARLY,0.8113024966131217
J0009,CORN,38,53,53,REGULAR,1.0,0,WET,300,403,1.5263,EARLY,0.836075091929553
J0010,SOY,37,54,0,REGULAR,1.0,1,NORMAL,300,400,1.4862,EARLY,0.8476872459841301
J0011,SOY,41,55,0,REGULAR,1.0,1,NORMAL,300,384,1.6468,EARLY,0.8577511128314304
J0012,CORN,45,59,59,CONTRACTED,1.25,0,NORMAL,300,359,1.8075,EARLY,0.8918134313915234
J0013,SOY,40,60,0,REGULAR,1.0,1,NORMAL,300,358,1.6067,EARLY,0.8987807238242695
J0014,SOY,37,66,66,CONTRACTED,1.25,0,NORMAL,300,380,1.4862,EARLY,0.9328430423843623
J0015,SOY,39,68,0,REGULAR,1.0,1,NORMAL,300,401,1.5665,EARLY,0.942132765628024
J0016,SOY,37,68,0,REGULAR,1.0,1,NORMAL,300,381,1.4862,EARLY,0.942132765628024
J0017,CORN,41,74,11,REGULAR,1.0,1,NORMAL,300,360,1.6468,EARLY,0.9514224888716858
J0018,CORN,41,76,76,REGULAR,1.0,0,NORMAL,300,413,1.6468,EARLY,0.9514224888716858
J0019,SOY,35,77,0,CONTRACTED,1.25,1,NORMAL,300,374,1.4058,EARLY,0.9498742016644088
J0020,SOY,38,79,65,URGENT,1.75,1,WET,300,351,1.5263,EARLY,0.943681052835301
J0021,SOY,39,84,0,REGULAR,1.0,1,WET,300,426,1.5665,EARLY,0.9235533191407006
J0022,SOY,41,86,80,URGENT,1.75,1,NORMAL,300,309,1.6468,EARLY,0.914263595897039
J0023,CORN,40,87,87,REGULAR,1.0,0,NORMAL,300,418,1.6067,EARLY,0.908070447067931
J0024,SOY,40,91,91,REGULAR,1.0,0,NORMAL,300,404,1.6067,EARLY,0.8809754209405847
J0025,SOY,36,92,86,URGENT,1.75,1,NORMAL,300,384,1.446,EARLY,0.8732339849041997
J0026,SOY,40,98,9,REGULAR,1.0,1,NORMAL,300,428,1.6067,EARLY,0.8205922198567835
J0027,CORN,35,99,0,REGULAR,1.0,1,WET,300,425,1.4058,EARLY,0.8105283530094834
J0028,CORN,45,102,102,CONTRACTED,1.25,0,WET,300,403,1.8075,EARLY,0.7780143216566674
J0029,SOY,35,105,105,REGULAR,1.0,0,NORMAL,300,436,1.4058,EARLY,0.7408554286820206
J0030,CORN,44,105,105,CONTRACTED,1.25,0,WET,300,405,1.7673,EARLY,0.7408554286820206
J0031,CORN,36,108,108,REGULAR,1.0,0,NORMAL,300,447,1.446,EARLY,0.6967292432746275
J0032,SOY,38,111,111,REGULAR,1.0,0,WET,300,429,1.5263,EARLY,0.6526030578672344
J0033,SORGHUM,38,113,29,REGULAR,1.0,1,NORMAL,300,440,1.5263,EARLY,0.6231856009289725
J0034,SOY,39,124,0,REGULAR,1.0,1,WET,300,457,1.5665,EARLY,0.4745500290303852
J0035,CORN,38,141,137,URGENT,1.75,1,DRY,300,369,1.5263,EARLY,0.2910779949680666
J0036,CORN,39,148,148,CONTRACTED,1.25,0,WET,300,445,1.5665,EARLY,0.23688794271337332
J0037,CORN,41,159,62,REGULAR,1.0,1,WET,300,494,1.6468,EARLY,0.17495645442229535
J0038,CORN,39,194,194,REGULAR,1.0,0,DRY,300,534,1.5665,EARLY,0.27869169730985094
J0039,CORN,43,198,138,REGULAR,1.0,1,WET,300,528,1.7272,EARLY,0.3235920263208826
J0040,SOY,35,209,209,REGULAR,1.0,0,WET,300,544,1.4058,EARLY,0.45906715695761563
J0041,CORN,41,215,207,URGENT,1.75,1,NORMAL,300,463,1.6468,EARLY,0.5480936713760404
J0042,SORGHUM,38,224,224,REGULAR,1.0,0,WET,300,568,1.5263,EARLY,0.6951809560673504
J0043,CORN,34,231,116,REGULAR,1.0,1,NORMAL,300,520,1.3657,EARLY,0.806657634991291
J0044,SORGHUM,37,234,30,REGULAR,1.0,1,WET,300,560,1.4862,EARLY,0.8538803948132379
J0045,SORGHUM,33,237,237,CONTRACTED,1.25,0,DRY,300,538,1.3255,EARLY,0.8980065802206311
J0046,SORGHUM,32,240,46,REGULAR,1.0,1,DRY,300,538,1.2853,MID,0.9398103348171087
J0047,SOY,36,240,240,REGULAR,1.0,0,WET,300,548,1.446,MID,0.9398103348171087
J0048,CORN,43,242,97,REGULAR,1.0,1,NORMAL,300,562,1.7272,MID,0.9614863557189859
J0049,CORN,35,243,229,URGENT,1.75,1,DRY,300,486,1.4058,MID,0.9707760789626476
J0050,CORN,44,244,93,CONTRACTED,1.25,1,WET,300,514,1.7673,MID,0.979291658602671
J0051,SORGHUM,36,246,97,REGULAR,1.0,1,NORMAL,300,562,1.446,MID,0.9932262434681634
J0052,SORGHUM,36,246,231,URGENT,1.75,1,NORMAL,300,502,1.446,MID,0.9932262434681634
J0053,CORN,39,247,241,URGENT,1.75,1,NORMAL,300,501,1.5665,MID,0.9970969614863557
J0054,SOY,37,254,41,CONTRACTED,1.25,1,WET,300,565,1.4862,MID,1.0133539771627638
J0055,SOY,39,254,254,REGULAR,1.0,0,WET,300,611,1.5665,MID,1.0133539771627638
J0056,SOY,41,255,255,REGULAR,1.0,0,WET,300,609,1.6468,MID,1.0133539771627635
J0057,CORN,34,256,103,REGULAR,1.0,1,NORMAL,300,563,1.3657,MID,1.0118056899554868
J0058,SOY,38,257,257,REGULAR,1.0,0,WET,300,592,1.5263,MID,1.008709115540933
J0059,CORN,39,262,47,REGULAR,1.0,1,NORMAL,300,568,1.5665,MID,0.9885813818463326
J0060,SOY,36,267,131,REGULAR,1.0,1,DRY,300,610,1.446,MID,0.9614863557189861
J0061,SOY,38,268,114,CONTRACTED,1.25,1,WET,300,588,1.5263,MID,0.9545190632862396
J0062,CORN,40,268,158,REGULAR,1.0,1,NORMAL,300,593,1.6067,MID,0.9545190632862396
J0063,SOY,35,268,134,REGULAR,1.0,1,NORMAL,300,592,1.4058,MID,0.9545190632862396
J0064,SOY,38,274,134,REGULAR,1.0,1,NORMAL,300,604,1.5263,MID,0.8887168569769692
J0065,CORN,41,275,275,REGULAR,1.0,0,NORMAL,300,603,1.6468,MID,0.8763305593187537
J0066,CORN,38,276,183,REGULAR,1.0,1,NORMAL,300,590,1.5263,MID,0.8631701180568997
J0067,CORN,43,278,278,REGULAR,1.0,0,WET,300,586,1.7272,MID,0.8337526611186376
J0068,SOY,36,288,279,URGENT,1.75,1,NORMAL,300,547,1.446,MID,0.6742790787691116
J0069,SOY,37,290,276,URGENT,1.75,1,NORMAL,300,561,1.4862,MID,0.6402167602090189
J0070,SORGHUM,36,293,278,URGENT,1.75,1,NORMAL,300,572,1.446,MID,0.5860267079543255
J0071,CORN,35,297,297,REGULAR,1.0,0,WET,300,573,1.4058,MID,0.5109347784013935
J0072,SORGHUM,38,303,242,REGULAR,1.0,1,NORMAL,300,623,1.5263,MID,0.4002322430810916
J0073,CORN,40,385,159,REGULAR,1.0,1,WET,300,718,1.6067,MID,0.06038320108380104
J0074,SOY,36,422,422,REGULAR,1.0,0,NORMAL,300,781,1.446,MID,0.4118443971356687
J0075,SOY,39,423,423,REGULAR,1.0,0,WET,300,760,1.5665,MID,0.42345655119024583
J0076,SOY,36,433,424,URGENT,1.75,1,WET,300,706,1.446,MID,0.5310625120959939
J0077,CORN,45,438,438,REGULAR,1.0,0,WET,300,748,1.8075,MID,0.5775111283143024
J0078,CORN,41,439,439,REGULAR,1.0,0,WET,300,780,1.6468,MID,0.5852525643506872
J0079,SOY,40,439,427,URGENT,1.75,1,NORMAL,300,697,1.6067,MID,0.5852525643506872
J0080,SOY,39,443,443,REGULAR,1.0,0,WET,300,789,1.5665,MID,0.6038320108380105
J0081,CORN,42,446,207,REGULAR,1.0,1,WET,300,765,1.687,MID,0.6146700212889492
J0082,SOY,40,455,297,CONTRACTED,1.25,1,DRY,300,717,1.6067,MID,0.648732339849042
J0083,CORN,41,456,456,REGULAR,1.0,0,WET,300,794,1.6468,MID,0.6518289142635959
J0084,CORN,34,457,353,REGULAR,1.0,1,NORMAL,300,762,1.3657,MID,0.6533772014708727
J0085,SOY,41,458,457,URGENT,1.75,1,WET,300,737,1.6468,MID,0.6533772014708729
J0086,SOY,39,458,458,CONTRACTED,1.25,0,WET,300,747,1.5665,MID,0.6533772014708729
J0087,SOY,37,459,452,URGENT,1.75,1,WET,300,742,1.4862,MID,0.650280627056319
J0088,CORN,41,467,272,REGULAR,1.0,1,NORMAL,300,787,1.6468,MID,0.6131217340816723
J0089,SOY,37,469,469,REGULAR,1.0,0,NORMAL,300,790,1.4862,MID,0.6007354364234565
J0090,SOY,37,470,262,REGULAR,1.0,1,NORMAL,300,784,1.4862,MID,0.5929940003870718
J0091,CORN,37,475,475,REGULAR,1.0,0,WET,300,804,1.4862,MID,0.5465453841687634
J0092,CORN,42,484,476,URGENT,1.75,1,WET,300,731,1.687,LATE,0.45287400812850787
J0093,SORGHUM,34,505,505,REGULAR,1.0,0,NORMAL,300,825,1.3657,LATE,0.2670795432552739
J0094,CORN,45,509,509,REGULAR,1.0,0,NORMAL,300,827,1.8075,LATE,0.23843622992065028
J0095,SOY,36,513,350,REGULAR,1.0,1,NORMAL,300,821,1.446,LATE,0.2043739113605574
J0096,CORN,40,542,542,REGULAR,1.0,0,DRY,300,847,1.6067,LATE,0.06425391910199342
