job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB1,0,7,0
J0001,2,SAMPLE_CLASSIFY,LAB2,7,21,0
J0001,3,UNLOAD,HOP1,21,48,0
J0001,4,WEIGH_OUT,WB1,48,53,0
J0002,1,WEIGH_IN,WB1,28,35,0
J0002,2,SAMPLE_CLASSIFY,LAB2,35,45,0
J0002,3,UNLOAD,HOP4,45,67,0
J0002,4,WEIGH_OUT,WB1,67,73,0
J0003,1,WEIGH_IN,WB3,31,39,0
J0003,2,SAMPLE_CLASSIFY,LAB1,39,56,0
J0003,3,UNLOAD,HOP2,56,84,0
J0003,4,WEIGH_OUT,WB1,84,90,0
J0004,1,WEIGH_IN,WB2,31,39,0
J0004,2,SAMPLE_CLASSIFY,LAB3,39,57,0
J0004,3,UNLOAD,HOP1,57,80,0
J0004,4,WEIGH_OUT,WB2,80,86,0
J0005,1,WEIGH_IN,WB3,44,52,0
J0005,2,SAMPLE_CLASSIFY,LAB2,52,67,0
J0005,3,UNLOAD,HOP6,67,92,0
J0005,4,WEIGH_OUT,WB1,92,98,0
J0006,1,WEIGH_IN,WB4,46,53,0
J0006,2,SAMPLE_CLASSIFY,LAB1,56,73,3
J0006,3,UNLOAD,HOP1,80,107,7
J0006,4,WEIGH_OUT,WB1,107,113,0
J0007,1,WEIGH_IN,WB2,48,57,0
J0007,2,SAMPLE_CLASSIFY,LAB3,57,73,0
J0007,3,UNLOAD,HOP4,73,106,0
J0007,4,WEIGH_OUT,WB3,106,112,0
J0008,1,WEIGH_IN,WB3,52,59,1
J0008,2,SAMPLE_CLASSIFY,LAB2,67,82,8
J0008,3,UNLOAD,HOP3,82,116,0
J0008,4,WEIGH_OUT,WB1,116,121,0
J0009,1,WEIGH_IN,WB1,54,60,0
J0009,2,SAMPLE_CLASSIFY,LAB1,73,89,13
J0009,3,UNLOAD,HOP2,89,113,0
J0009,4,WEIGH_OUT,WB2,113,119,0
J0010,1,WEIGH_IN,WB3,59,67,0
J0010,2,SAMPLE_CLASSIFY,LAB3,73,86,6
J0010,3,UNLOAD,HOP6,92,117,6
J0010,4,WEIGH_OUT,WB3,117,123,0
J0011,1,WEIGH_IN,WB4,61,68,0
J0011,2,SAMPLE_CLASSIFY,LAB2,82,95,14
J0011,3,UNLOAD,HOP1,107,127,12
J0011,4,WEIGH_OUT,WB1,127,133,0
J0012,1,WEIGH_IN,WB2,63,72,0
J0012,2,SAMPLE_CLASSIFY,LAB3,86,102,14
J0012,3,UNLOAD,HOP2,113,137,11
J0012,4,WEIGH_OUT,WB1,137,143,0
J0013,1,WEIGH_IN,WB3,67,74,1
J0013,2,SAMPLE_CLASSIFY,LAB1,89,102,15
J0013,3,UNLOAD,HOP4,106,132,4
J0013,4,WEIGH_OUT,WB2,132,138,0
J0014,1,WEIGH_IN,WB4,69,76,0
J0014,2,SAMPLE_CLASSIFY,LAB2,95,111,19
J0014,3,UNLOAD,HOP6,117,143,6
J0014,4,WEIGH_OUT,WB1,143,149,0
J0015,1,WEIGH_IN,WB3,74,82,1
J0015,2,SAMPLE_CLASSIFY,LAB1,102,119,20
J0015,3,UNLOAD,HOP1,127,153,8
J0015,4,WEIGH_OUT,WB1,153,159,0
J0016,1,WEIGH_IN,WB1,75,83,0
J0016,2,SAMPLE_CLASSIFY,LAB3,102,121,19
J0016,3,UNLOAD,HOP2,137,168,16
J0016,4,WEIGH_OUT,WB1,168,174,0
J0017,1,WEIGH_IN,WB4,76,85,0
J0017,2,SAMPLE_CLASSIFY,LAB2,111,124,26
J0017,3,UNLOAD,HOP6,143,171,19
J0017,4,WEIGH_OUT,WB2,171,177,0
J0018,1,WEIGH_IN,WB3,82,89,6
J0018,2,SAMPLE_CLASSIFY,LAB1,119,134,30
J0018,3,UNLOAD,HOP1,153,177,19
J0018,4,WEIGH_OUT,WB1,177,183,0
