job_id,arrival_time_min,completion_due_nominal_min,completion_due_observed_min,due_slack_nominal_min,due_slack_observed_min,base_priority_slack_min,fixed_appointment_min,fixed_commodity_min,fixed_moisture_min,fixed_shift_min,fixed_regime_min,random_instance_min,random_shift_min,random_idio_min,nominal_processing_lb_min,shift_bucket
J0001,0,300,331,300,331,300,6,10,9,8,18,-11.8494,-4.1211,-4.5289,49,EARLY
J0002,28,268,250,240,222,240,-8,0,0,8,18,-11.8494,-4.1211,-19.8574,41,EARLY
J0003,31,271,283,240,252,240,-8,10,9,8,18,-11.8494,-4.1211,-9.3422,51,EARLY
J0004,31,331,375,300,344,300,-8,10,9,8,18,-11.8494,-4.1211,23.1797,48,EARLY
J0005,44,344,367,300,323,300,-8,10,0,8,18,-11.8494,-4.1211,11.0212,47,EARLY
J0006,46,286,306,240,260,240,-8,10,9,8,18,-11.8494,-4.1211,-0.7835,50,EARLY
J0007,48,348,358,300,310,300,6,0,9,8,18,-11.8494,-4.1211,-15.42,49,EARLY
J0008,51,291,301,240,250,240,-8,0,9,8,18,-11.8494,-4.1211,-0.5964,47,EARLY
J0009,54,294,328,240,274,240,6,10,9,8,18,-11.8494,-4.1211,-1.1322,46,EARLY
J0010,59,299,249,240,190,240,-8,0,0,8,18,-11.8494,-4.1211,-51.7371,45,EARLY
J0011,61,361,367,300,306,300,6,10,-5,8,18,-11.8494,-4.1211,-14.8932,44,EARLY
J0012,63,363,372,300,309,300,-8,10,0,8,18,-11.8494,-4.1211,-3.3431,45,EARLY
J0013,66,306,346,240,280,240,-8,0,0,8,18,-11.8494,-4.1211,37.6397,43,EARLY
J0014,69,369,404,300,335,300,6,10,9,8,18,-11.8494,-4.1211,0.0445,48,EARLY
J0015,73,313,336,240,263,240,-8,10,9,8,18,-11.8494,-4.1211,1.6689,50,EARLY
J0016,75,375,382,300,307,300,-8,10,9,8,18,-11.8494,-4.1211,-13.7969,50,EARLY
J0017,76,376,364,300,288,300,-8,10,0,8,18,-11.8494,-4.1211,-24.0323,47,EARLY
J0018,76,376,394,300,318,300,6,10,0,8,18,-11.8494,-4.1211,-7.7432,46,EARLY
J0019,77,377,409,300,332,300,6,0,0,8,18,-11.8494,-4.1211,16.0412,41,EARLY
J0020,78,378,398,300,320,300,6,0,0,8,18,-11.8494,-4.1211,3.556,39,EARLY
J0021,84,384,388,300,304,300,6,0,9,8,18,-11.8494,-4.1211,-21.4946,48,EARLY
J0022,85,385,404,300,319,300,-8,5,0,8,18,-11.8494,-4.1211,11.9795,38,EARLY
J0023,86,356,359,270,273,270,-8,5,0,8,18,-11.8494,-4.1211,-4.1497,40,EARLY
