job_id,arrival_time_min,completion_due_nominal_min,completion_due_observed_min,due_slack_nominal_min,due_slack_observed_min,base_priority_slack_min,fixed_appointment_min,fixed_commodity_min,fixed_moisture_min,fixed_shift_min,fixed_regime_min,random_instance_min,random_shift_min,random_idio_min,nominal_processing_lb_min,shift_bucket
J0001,31,331,348,300,317,300,6,10,0,8,8,-0.8644,4.8172,-18.7226,47,EARLY
J0002,35,335,357,300,322,300,-8,10,0,8,8,-0.8644,4.8172,-0.3696,45,EARLY
J0003,43,343,373,300,330,300,-8,0,9,8,8,-0.8644,4.8172,9.521,44,EARLY
J0004,48,348,379,300,331,300,6,10,0,8,8,-0.8644,4.8172,-4.7542,45,EARLY
J0005,54,354,379,300,325,300,-8,10,0,8,8,-0.8644,4.8172,3.4006,42,EARLY
J0006,55,325,323,270,268,270,-8,10,0,8,8,-0.8644,4.8172,-23.9967,47,EARLY
J0007,55,355,405,300,350,300,6,10,9,8,8,-0.8644,4.8172,4.8088,50,EARLY
J0008,64,364,382,300,318,300,-8,10,0,8,8,-0.8644,4.8172,-3.8292,43,EARLY
J0009,64,364,374,300,310,300,-8,10,-5,8,8,-0.8644,4.8172,-6.5298,41,EARLY
J0010,71,371,397,300,326,300,-8,10,9,8,8,-0.8644,4.8172,-5.3786,48,EARLY
J0011,73,373,417,300,344,300,6,10,9,8,8,-0.8644,4.8172,-1.0722,50,EARLY
J0012,74,314,341,240,267,240,-8,10,0,8,8,-0.8644,4.8172,4.638,45,EARLY
J0013,75,375,413,300,338,300,-8,10,9,8,8,-0.8644,4.8172,7.0753,46,EARLY
J0014,79,349,370,270,291,270,-8,10,0,8,8,-0.8644,4.8172,-0.5107,45,EARLY
J0015,79,379,413,300,334,300,6,10,-5,8,8,-0.8644,4.8172,2.8241,44,EARLY
J0016,83,383,396,300,313,300,6,10,0,8,8,-0.8644,4.8172,-23.1151,45,EARLY
J0017,92,392,418,300,326,300,-8,0,9,8,8,-0.8644,4.8172,4.7168,44,EARLY
J0018,100,400,404,300,304,300,-8,5,-5,8,8,-0.8644,4.8172,-7.6427,38,EARLY
J0019,102,402,413,300,311,300,-8,10,-5,8,8,-0.8644,4.8172,-6.3811,44,EARLY
J0020,104,404,449,300,345,300,6,10,0,8,8,-0.8644,4.8172,8.7131,44,EARLY
