event_time_min,event_type,entity_type,entity_id,payload_json
0,JOB_VISIBLE,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0002,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0005,"{""commodity"":""CORN"",""load_tons"":37,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0008,"{""commodity"":""SORGHUM"",""load_tons"":32,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0009,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0010,"{""commodity"":""CORN"",""load_tons"":41,""priority_class"":""CONTRACTED""}"
0,JOB_VISIBLE,JOB,J0016,"{""commodity"":""CORN"",""load_tons"":35,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0017,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0018,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0026,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0027,"{""commodity"":""CORN"",""load_tons"":41,""priority_class"":""CONTRACTED""}"
0,JOB_VISIBLE,JOB,J0028,"{""commodity"":""CORN"",""load_tons"":35,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0030,"{""commodity"":""SORGHUM"",""load_tons"":35,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0035,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
5,JOB_VISIBLE,JOB,J0013,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
9,JOB_VISIBLE,JOB,J0003,"{""commodity"":""CORN"",""load_tons"":37,""priority_class"":""URGENT""}"
