job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,SOY,40,12,0,REGULAR,1.0,1,WET,300,333,1.6067,EARLY,0.1738013698630137
J0002,SOY,36,14,0,REGULAR,1.0,1,NORMAL,300,337,1.446,EARLY,0.18407534246575344
J0003,CORN,37,16,9,URGENT,1.75,1,WET,300,272,1.4862,EARLY,0.19434931506849315
J0004,SOY,37,32,32,REGULAR,1.0,0,WET,300,357,1.4862,EARLY,0.3210616438356165
J0005,CORN,37,41,0,REGULAR,1.0,1,WET,300,351,1.4862,EARLY,0.4340753424657534
J0006,SORGHUM,36,60,60,CONTRACTED,1.25,0,WET,300,361,1.446,EARLY,0.7063356164383562
J0007,CORN,43,68,62,URGENT,1.75,1,WET,300,336,1.7272,EARLY,0.8330479452054796
J0008,SORGHUM,32,70,0,REGULAR,1.0,1,WET,300,387,1.2853,EARLY,0.8621575342465753
J0009,SOY,41,74,0,REGULAR,1.0,1,NORMAL,300,387,1.6468,EARLY,0.9152397260273971
J0010,CORN,41,75,0,CONTRACTED,1.25,1,DRY,300,341,1.6468,EARLY,0.928082191780822
J0011,SOY,40,75,66,URGENT,1.75,1,NORMAL,300,318,1.6067,EARLY,0.928082191780822
J0012,SOY,37,77,77,REGULAR,1.0,0,NORMAL,300,424,1.4862,EARLY,0.94777397260274
J0013,SOY,36,81,5,REGULAR,1.0,1,NORMAL,300,337,1.446,EARLY,0.9845890410958904
J0014,SOY,41,82,82,CONTRACTED,1.25,0,NORMAL,300,393,1.6468,EARLY,0.9922945205479453
J0015,SOY,36,82,78,URGENT,1.75,1,WET,300,331,1.446,EARLY,0.9922945205479454
J0016,CORN,35,83,0,REGULAR,1.0,1,WET,300,398,1.4058,EARLY,0.9965753424657534
J0017,SOY,41,88,0,REGULAR,1.0,1,NORMAL,300,386,1.6468,EARLY,1.0111301369863015
