job_id,op_seq,machine_id,stage_name,proc_time_nominal_min,proc_time_observed_min,machine_latent_log,shift_latent_log,instance_latent_log,regime_log,congestion_log,commodity_log,moisture_log,idio_log,additive_pause_min,arrival_congestion_score,shift_bucket,commodity,moisture_class
J0001,1,WB1,WEIGH_IN,7,8,0.00902,-0.00654,-0.00551,0.01,0.00348,0.0,0.0,0.05856,0,0.1738,EARLY,SOY,WET
J0001,1,WB2,WEIGH_IN,8,8,0.04483,-0.00654,-0.00551,0.01,0.00348,0.0,0.0,-0.0074,0,0.1738,EARLY,SOY,WET
J0001,1,WB3,WEIGH_IN,8,8,0.00611,-0.00654,-0.00551,0.01,0.00348,0.0,0.0,-0.02228,0,0.1738,EARLY,SOY,WET
J0001,1,WB4,WEIGH_IN,7,8,0.04983,-0.00654,-0.00551,0.01,0.00348,0.0,0.0,0.0292,0,0.1738,EARLY,SOY,WET
J0001,2,LAB1,SAMPLE_CLASSIFY,13,12,-0.07063,-0.02413,-0.02602,0.018,0.00608,0.02,0.045,-0.04051,0,0.1738,EARLY,SOY,WET
J0001,2,LAB2,SAMPLE_CLASSIFY,13,13,0.00334,-0.02413,-0.02602,0.018,0.00608,0.02,0.045,-0.0177,0,0.1738,EARLY,SOY,WET
J0001,2,LAB3,SAMPLE_CLASSIFY,14,15,-0.02022,-0.02413,-0.02602,0.018,0.00608,0.02,0.045,0.02253,0,0.1738,EARLY,SOY,WET
J0001,3,HOP1,UNLOAD,29,31,-0.02226,-0.0178,0.01048,0.022,0.00869,0.01,0.028,0.02297,0,0.1738,EARLY,SOY,WET
J0001,3,HOP2,UNLOAD,26,36,0.04974,-0.0178,0.01048,0.022,0.00869,0.01,0.028,0.21178,0,0.1738,EARLY,SOY,WET
J0001,3,HOP6,UNLOAD,24,22,-0.07345,-0.0178,0.01048,0.022,0.00869,0.01,0.028,-0.06778,0,0.1738,EARLY,SOY,WET
J0001,4,WB1,WEIGH_OUT,6,6,0.00902,0.02175,-0.00969,0.008,0.00261,0.0,0.0,0.0145,0,0.1738,EARLY,SOY,WET
J0001,4,WB2,WEIGH_OUT,6,7,0.04483,0.02175,-0.00969,0.008,0.00261,0.0,0.0,0.01684,0,0.1738,EARLY,SOY,WET
J0001,4,WB3,WEIGH_OUT,6,6,0.00611,0.02175,-0.00969,0.008,0.00261,0.0,0.0,-0.01623,0,0.1738,EARLY,SOY,WET
J0001,4,WB4,WEIGH_OUT,6,6,0.04983,0.02175,-0.00969,0.008,0.00261,0.0,0.0,-0.01345,0,0.1738,EARLY,SOY,WET
J0002,1,WB1,WEIGH_IN,7,7,0.00902,-0.00654,-0.00551,0.01,0.00368,0.0,0.0,-0.00039,0,0.18408,EARLY,SOY,NORMAL
J0002,1,WB2,WEIGH_IN,7,7,0.04483,-0.00654,-0.00551,0.01,0.00368,0.0,0.0,0.01684,0,0.18408,EARLY,SOY,NORMAL
J0002,1,WB3,WEIGH_IN,7,7,0.00611,-0.00654,-0.00551,0.01,0.00368,0.0,0.0,-0.00756,0,0.18408,EARLY,SOY,NORMAL
J0002,1,WB4,WEIGH_IN,7,7,0.04983,-0.00654,-0.00551,0.01,0.00368,0.0,0.0,-0.00198,0,0.18408,EARLY,SOY,NORMAL
J0002,2,LAB1,SAMPLE_CLASSIFY,11,10,-0.07063,-0.02413,-0.02602,0.018,0.00644,0.02,0.0,-0.0337,0,0.18408,EARLY,SOY,NORMAL
J0002,2,LAB2,SAMPLE_CLASSIFY,11,11,0.00334,-0.02413,-0.02602,0.018,0.00644,0.02,0.0,0.03025,0,0.18408,EARLY,SOY,NORMAL
J0002,2,LAB3,SAMPLE_CLASSIFY,14,13,-0.02022,-0.02413,-0.02602,0.018,0.00644,0.02,0.0,-0.02588,0,0.18408,EARLY,SOY,NORMAL
J0002,3,HOP1,UNLOAD,23,24,-0.02226,-0.0178,0.01048,0.022,0.0092,0.01,0.0,0.02859,0,0.18408,EARLY,SOY,NORMAL
J0002,3,HOP2,UNLOAD,21,22,0.04974,-0.0178,0.01048,0.022,0.0092,0.01,0.0,-0.05367,0,0.18408,EARLY,SOY,NORMAL
