job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,89,46,0,0
J0002,95,43,0,0
J0003,109,48,0,0
J0004,111,49,0,0
J0005,114,51,5,0
J0006,135,52,4,0
J0007,132,46,0,0
J0008,135,49,2,0
J0009,146,60,7,0
J0010,157,70,9,0
J0011,149,62,20,0
J0012,156,67,22,0
J0013,158,65,17,0
J0014,170,76,26,0
J0015,182,81,31,0
J0016,180,78,32,0
J0017,183,76,21,0
J0018,182,74,23,0
J0019,191,76,29,0
J0020,203,88,43,0
J0021,202,87,41,0
J0022,208,88,33,0
J0023,215,92,30,0
J0024,226,102,48,0
J0025,214,90,40,0
J0026,234,105,53,0
J0027,241,109,58,0
J0028,255,121,64,0
J0029,260,122,74,0
J0030,264,105,49,0
J0031,274,102,56,0
J0032,285,112,56,0
J0033,253,62,10,0
J0034,286,95,50,0
J0035,301,97,40,0
J0036,311,96,42,0
J0037,275,53,1,0
J0038,271,43,1,0
J0039,292,62,18,0
J0040,283,53,4,0
J0041,306,73,14,0
J0042,309,76,36,0
J0043,313,78,21,0
J0044,325,89,37,0
J0045,336,97,45,0
J0046,336,97,49,0
J0047,332,93,46,0
J0048,344,104,56,0
J0049,332,91,36,0
J0050,362,112,57,0
J0051,349,99,58,0
J0052,338,88,42,0
J0053,366,108,46,0
J0054,364,101,53,0
J0055,385,121,75,0
J0056,385,111,60,0
J0057,393,119,62,0
J0058,407,130,82,0
J0059,367,89,42,0
J0060,409,126,73,0
J0061,414,130,83,0
J0062,428,141,92,0
J0063,430,142,98,0
J0064,441,144,90,0
J0065,397,96,43,0
J0066,393,88,44,0
J0067,417,104,52,0
J0068,448,126,81,0
J0069,453,106,58,0
J0070,468,120,67,0
J0071,419,55,10,0
J0072,490,43,0,0
J0073,494,45,0,0
J0074,503,42,0,0
J0075,513,51,0,0
J0076,519,48,0,0
J0077,528,48,0,0
J0078,529,45,0,0
J0079,540,56,3,0
J0080,538,53,11,0
J0081,553,68,7,0
J0082,546,52,8,0
J0083,547,50,6,0
J0084,562,57,2,0
J0085,565,46,0,0
J0086,567,47,0,0
J0087,585,60,12,0
J0088,587,47,1,0
J0089,591,43,0,0
J0090,604,49,0,0
J0091,609,52,7,0
J0092,611,53,5,0
J0093,626,63,18,0
J0094,632,55,4,0
J0095,660,47,0,0
J0096,671,46,0,0
