job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB1,43,51,0
J0001,2,SAMPLE_CLASSIFY,LAB1,51,61,0
J0001,3,UNLOAD,HOP4,61,83,0
J0001,4,WEIGH_OUT,WB1,83,89,0
J0002,1,WEIGH_IN,WB1,52,58,0
J0002,2,SAMPLE_CLASSIFY,LAB2,58,71,0
J0002,3,UNLOAD,HOP6,71,89,0
J0002,4,WEIGH_OUT,WB1,89,95,0
J0003,1,WEIGH_IN,WB1,61,68,0
J0003,2,SAMPLE_CLASSIFY,LAB1,68,80,0
J0003,3,UNLOAD,HOP2,80,103,0
J0003,4,WEIGH_OUT,WB1,103,109,0
J0004,1,WEIGH_IN,WB2,62,69,0
J0004,2,SAMPLE_CLASSIFY,LAB3,69,83,0
J0004,3,UNLOAD,HOP1,83,105,0
J0004,4,WEIGH_OUT,WB2,105,111,0
J0005,1,WEIGH_IN,WB3,63,71,0
J0005,2,SAMPLE_CLASSIFY,LAB2,71,84,0
J0005,3,UNLOAD,HOP6,89,108,5
J0005,4,WEIGH_OUT,WB4,108,114,0
J0006,1,WEIGH_IN,WB3,83,91,0
J0006,2,SAMPLE_CLASSIFY,LAB1,91,101,0
J0006,3,UNLOAD,HOP1,105,129,4
J0006,4,WEIGH_OUT,WB1,129,135,0
J0007,1,WEIGH_IN,WB2,86,93,0
J0007,2,SAMPLE_CLASSIFY,LAB3,93,104,0
J0007,3,UNLOAD,HOP4,104,126,0
J0007,4,WEIGH_OUT,WB2,126,132,0
J0008,1,WEIGH_IN,WB4,86,93,0
J0008,2,SAMPLE_CLASSIFY,LAB2,93,106,0
J0008,3,UNLOAD,HOP6,108,129,2
J0008,4,WEIGH_OUT,WB4,129,135,0
J0009,1,WEIGH_IN,WB3,91,99,5
J0009,2,SAMPLE_CLASSIFY,LAB1,101,115,2
J0009,3,UNLOAD,HOP2,115,140,0
J0009,4,WEIGH_OUT,WB1,140,146,0
J0010,1,WEIGH_IN,WB2,93,101,6
J0010,2,SAMPLE_CLASSIFY,LAB3,104,119,3
J0010,3,UNLOAD,HOP3,119,151,0
J0010,4,WEIGH_OUT,WB1,151,157,0
J0011,1,WEIGH_IN,WB4,93,100,6
J0011,2,SAMPLE_CLASSIFY,LAB2,106,118,6
J0011,3,UNLOAD,HOP4,126,143,8
J0011,4,WEIGH_OUT,WB2,143,149,0
J0012,1,WEIGH_IN,WB1,95,102,6
J0012,2,SAMPLE_CLASSIFY,LAB1,115,126,13
J0012,3,UNLOAD,HOP6,129,150,3
J0012,4,WEIGH_OUT,WB2,150,156,0
J0013,1,WEIGH_IN,WB3,99,107,6
J0013,2,SAMPLE_CLASSIFY,LAB2,118,129,11
J0013,3,UNLOAD,HOP1,129,152,0
J0013,4,WEIGH_OUT,WB3,152,158,0
J0014,1,WEIGH_IN,WB4,100,108,6
J0014,2,SAMPLE_CLASSIFY,LAB3,119,134,11
J0014,3,UNLOAD,HOP4,143,165,9
J0014,4,WEIGH_OUT,WB1,165,170,0
J0015,1,WEIGH_IN,WB3,107,115,6
J0015,2,SAMPLE_CLASSIFY,LAB1,126,136,11
J0015,3,UNLOAD,HOP6,150,176,14
J0015,4,WEIGH_OUT,WB1,176,182,0
J0016,1,WEIGH_IN,WB1,109,116,7
J0016,2,SAMPLE_CLASSIFY,LAB2,129,139,13
J0016,3,UNLOAD,HOP3,151,174,12
J0016,4,WEIGH_OUT,WB2,174,180,0
J0017,1,WEIGH_IN,WB2,111,119,4
