job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,145,47,0,0
J0002,153,47,0,0
J0003,164,43,0,0
J0004,182,48,0,0
J0005,226,51,0,0
J0006,228,50,0,0
J0007,266,51,0,0
J0008,266,47,0,0
J0009,310,50,0,0
J0010,328,68,6,0
J0011,327,57,2,0
J0012,340,52,0,0
J0013,356,61,9,0
J0014,361,51,0,0
J0015,367,53,0,0
J0016,381,48,0,0
J0017,398,60,0,0
J0018,411,55,0,0
J0019,407,51,5,0
J0020,416,56,10,0
J0021,425,60,10,0
J0022,435,62,12,0
J0023,440,63,9,0
J0024,450,68,9,0
J0025,451,57,8,0
J0026,467,67,14,0
J0027,463,60,8,0
J0028,482,74,17,0
J0029,490,59,11,0
J0030,492,56,8,0
J0031,513,65,21,0
J0032,505,55,0,0
J0033,513,58,14,0
J0034,516,57,4,0
J0035,531,58,8,0
J0036,538,47,0,0
J0037,550,53,0,0
J0038,564,57,6,0
J0039,565,56,4,0
J0040,578,54,1,0
J0041,581,55,0,0
J0042,595,69,11,0
J0043,619,54,0,0
J0044,625,48,0,0
J0045,630,47,0,0
J0046,649,45,0,0
J0047,658,52,0,0
J0048,673,55,0,0
