job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB2,28,35,0
J0001,2,SAMPLE_CLASSIFY,LAB1,35,50,0
J0001,3,UNLOAD,HOP1,50,80,0
J0001,4,WEIGH_OUT,WB1,80,86,0
J0002,1,WEIGH_IN,WB1,44,51,0
J0002,2,SAMPLE_CLASSIFY,LAB1,51,62,0
J0002,3,UNLOAD,HOP4,62,84,0
J0002,4,WEIGH_OUT,WB2,84,90,0
J0003,1,WEIGH_IN,WB1,103,110,0
J0003,2,SAMPLE_CLASSIFY,LAB1,110,120,0
J0003,3,UNLOAD,HOP1,120,139,0
J0003,4,WEIGH_OUT,WB1,139,145,0
J0004,1,WEIGH_IN,WB1,114,121,0
J0004,2,SAMPLE_CLASSIFY,LAB1,121,134,0
J0004,3,UNLOAD,HOP4,134,163,0
J0004,4,WEIGH_OUT,WB1,163,169,0
J0005,1,WEIGH_IN,WB1,153,160,0
J0005,2,SAMPLE_CLASSIFY,LAB2,160,171,0
J0005,3,UNLOAD,HOP4,171,192,0
J0005,4,WEIGH_OUT,WB1,192,197,0
J0006,1,WEIGH_IN,WB2,154,161,0
J0006,2,SAMPLE_CLASSIFY,LAB1,161,170,0
J0006,3,UNLOAD,HOP1,170,195,0
J0006,4,WEIGH_OUT,WB2,195,201,0
J0007,1,WEIGH_IN,WB2,161,171,0
J0007,2,SAMPLE_CLASSIFY,LAB1,171,180,0
J0007,3,UNLOAD,HOP3,180,214,0
J0007,4,WEIGH_OUT,WB1,214,220,0
J0008,1,WEIGH_IN,WB1,169,176,0
J0008,2,SAMPLE_CLASSIFY,LAB2,176,193,0
J0008,3,UNLOAD,HOP2,193,221,0
J0008,4,WEIGH_OUT,WB1,221,227,0
J0009,1,WEIGH_IN,WB2,186,193,0
J0009,2,SAMPLE_CLASSIFY,LAB1,193,204,0
J0009,3,UNLOAD,HOP4,204,224,0
J0009,4,WEIGH_OUT,WB2,224,230,0
J0010,1,WEIGH_IN,WB2,206,213,0
J0010,2,SAMPLE_CLASSIFY,LAB1,213,227,0
J0010,3,UNLOAD,HOP4,227,254,0
J0010,4,WEIGH_OUT,WB1,254,260,0
J0011,1,WEIGH_IN,WB3,208,215,0
J0011,2,SAMPLE_CLASSIFY,LAB2,215,231,0
J0011,3,UNLOAD,HOP1,231,264,0
J0011,4,WEIGH_OUT,WB1,264,270,0
J0012,1,WEIGH_IN,WB2,213,221,3
J0012,2,SAMPLE_CLASSIFY,LAB1,227,238,6
J0012,3,UNLOAD,HOP3,238,270,0
J0012,4,WEIGH_OUT,WB1,270,276,0
J0013,1,WEIGH_IN,WB3,215,223,0
J0013,2,SAMPLE_CLASSIFY,LAB2,231,245,8
J0013,3,UNLOAD,HOP2,245,268,0
J0013,4,WEIGH_OUT,WB2,268,274,0
J0014,1,WEIGH_IN,WB1,239,246,0
J0014,2,SAMPLE_CLASSIFY,LAB2,246,256,0
J0014,3,UNLOAD,HOP4,256,275,0
J0014,4,WEIGH_OUT,WB2,275,280,0
J0015,1,WEIGH_IN,WB3,243,251,0
J0015,2,SAMPLE_CLASSIFY,LAB1,251,263,0
