job_id,op_seq,machine_id,stage_name,proc_time_nominal_min,proc_time_observed_min,machine_latent_log,shift_latent_log,instance_latent_log,regime_log,congestion_log,commodity_log,moisture_log,idio_log,additive_pause_min,arrival_congestion_score,shift_bucket,commodity,moisture_class
J0001,1,WB1,WEIGH_IN,7,8,0.03139,-0.00864,0.00311,0.0,0.00212,0.0,0.0,0.0465,0,0.10597,EARLY,SOY,WET
J0001,1,WB2,WEIGH_IN,7,7,0.00349,-0.00864,0.00311,0.0,0.00212,0.0,0.0,0.00038,0,0.10597,EARLY,SOY,WET
J0001,1,WB3,WEIGH_IN,8,8,-0.02066,-0.00864,0.00311,0.0,0.00212,0.0,0.0,0.02535,0,0.10597,EARLY,SOY,WET
J0001,2,LAB1,SAMPLE_CLASSIFY,14,15,-0.03197,0.02105,0.00402,0.0,0.00371,0.02,0.045,0.01596,0,0.10597,EARLY,SOY,WET
J0001,2,LAB2,SAMPLE_CLASSIFY,16,17,0.00539,0.02105,0.00402,0.0,0.00371,0.02,0.045,-0.03405,0,0.10597,EARLY,SOY,WET
J0001,3,HOP1,UNLOAD,30,30,-0.04065,0.01058,0.00952,0.0,0.0053,0.01,0.028,-0.01016,0,0.10597,EARLY,SOY,WET
J0001,3,HOP2,UNLOAD,28,32,-0.06189,0.01058,0.00952,0.0,0.0053,0.01,0.028,0.0679,2,0.10597,EARLY,SOY,WET
J0001,3,HOP4,UNLOAD,27,30,0.00891,0.01058,0.00952,0.0,0.0053,0.01,0.028,0.02033,0,0.10597,EARLY,SOY,WET
J0001,4,WB1,WEIGH_OUT,6,6,0.03139,0.00139,-0.00408,0.0,0.00159,0.0,0.0,0.00912,0,0.10597,EARLY,SOY,WET
J0001,4,WB2,WEIGH_OUT,6,6,0.00349,0.00139,-0.00408,0.0,0.00159,0.0,0.0,0.00102,0,0.10597,EARLY,SOY,WET
J0001,4,WB3,WEIGH_OUT,6,6,-0.02066,0.00139,-0.00408,0.0,0.00159,0.0,0.0,0.00785,0,0.10597,EARLY,SOY,WET
J0002,1,WB1,WEIGH_IN,7,7,0.03139,-0.00864,0.00311,0.0,0.00217,0.0,0.0,-0.00433,0,0.10838,EARLY,SOY,DRY
J0002,1,WB2,WEIGH_IN,8,8,0.00349,-0.00864,0.00311,0.0,0.00217,0.0,0.0,0.02714,0,0.10838,EARLY,SOY,DRY
J0002,1,WB3,WEIGH_IN,8,8,-0.02066,-0.00864,0.00311,0.0,0.00217,0.0,0.0,0.02783,0,0.10838,EARLY,SOY,DRY
J0002,2,LAB1,SAMPLE_CLASSIFY,11,11,-0.03197,0.02105,0.00402,0.0,0.00379,0.02,-0.02,-0.00052,0,0.10838,EARLY,SOY,DRY
J0002,2,LAB2,SAMPLE_CLASSIFY,11,11,0.00539,0.02105,0.00402,0.0,0.00379,0.02,-0.02,-0.02096,0,0.10838,EARLY,SOY,DRY
J0002,3,HOP1,UNLOAD,24,24,-0.04065,0.01058,0.00952,0.0,0.00542,0.01,-0.01,0.01496,0,0.10838,EARLY,SOY,DRY
J0002,3,HOP2,UNLOAD,22,23,-0.06189,0.01058,0.00952,0.0,0.00542,0.01,-0.01,0.06005,0,0.10838,EARLY,SOY,DRY
J0002,3,HOP4,UNLOAD,22,22,0.00891,0.01058,0.00952,0.0,0.00542,0.01,-0.01,-0.02089,0,0.10838,EARLY,SOY,DRY
J0002,4,WB1,WEIGH_OUT,6,6,0.03139,0.00139,-0.00408,0.0,0.00163,0.0,0.0,0.01496,0,0.10838,EARLY,SOY,DRY
J0002,4,WB2,WEIGH_OUT,6,6,0.00349,0.00139,-0.00408,0.0,0.00163,0.0,0.0,-0.04147,0,0.10838,EARLY,SOY,DRY
J0002,4,WB3,WEIGH_OUT,6,6,-0.02066,0.00139,-0.00408,0.0,0.00163,0.0,0.0,-0.02853,0,0.10838,EARLY,SOY,DRY
J0003,1,WB1,WEIGH_IN,7,7,0.03139,-0.00864,0.00311,0.0,0.00342,0.0,0.0,-0.02328,0,0.171,EARLY,CORN,DRY
J0003,1,WB2,WEIGH_IN,7,7,0.00349,-0.00864,0.00311,0.0,0.00342,0.0,0.0,-0.02265,0,0.171,EARLY,CORN,DRY
J0003,1,WB3,WEIGH_IN,7,7,-0.02066,-0.00864,0.00311,0.0,0.00342,0.0,0.0,-0.01704,0,0.171,EARLY,CORN,DRY
J0003,2,LAB1,SAMPLE_CLASSIFY,10,10,-0.03197,0.02105,0.00402,0.0,0.00599,0.0,-0.02,-0.03036,0,0.171,EARLY,CORN,DRY
J0003,2,LAB2,SAMPLE_CLASSIFY,11,13,0.00539,0.02105,0.00402,0.0,0.00599,0.0,-0.02,0.12035,0,0.171,EARLY,CORN,DRY
J0003,3,HOP1,UNLOAD,22,19,-0.04065,0.01058,0.00952,0.0,0.00855,0.0,-0.01,-0.12071,0,0.171,EARLY,CORN,DRY
J0003,3,HOP3,UNLOAD,24,24,-0.01087,0.01058,0.00952,0.0,0.00855,0.0,-0.01,-0.01125,0,0.171,EARLY,CORN,DRY
J0003,3,HOP4,UNLOAD,20,21,0.00891,0.01058,0.00952,0.0,0.00855,0.0,-0.01,0.02089,0,0.171,EARLY,CORN,DRY
J0003,4,WB1,WEIGH_OUT,6,6,0.03139,0.00139,-0.00408,0.0,0.00257,0.0,0.0,-0.0274,0,0.171,EARLY,CORN,DRY
J0003,4,WB2,WEIGH_OUT,6,6,0.00349,0.00139,-0.00408,0.0,0.00257,0.0,0.0,0.03347,0,0.171,EARLY,CORN,DRY
J0003,4,WB3,WEIGH_OUT,6,6,-0.02066,0.00139,-0.00408,0.0,0.00257,0.0,0.0,-0.01171,0,0.171,EARLY,CORN,DRY
J0004,1,WB1,WEIGH_IN,7,7,0.03139,-0.00864,0.00311,0.0,0.0052,0.0,0.0,0.02245,0,0.26012,EARLY,SOY,WET
J0004,1,WB2,WEIGH_IN,7,7,0.00349,-0.00864,0.00311,0.0,0.0052,0.0,0.0,0.00865,0,0.26012,EARLY,SOY,WET
J0004,1,WB3,WEIGH_IN,8,8,-0.02066,-0.00864,0.00311,0.0,0.0052,0.0,0.0,-0.00838,0,0.26012,EARLY,SOY,WET
J0004,2,LAB1,SAMPLE_CLASSIFY,13,13,-0.03197,0.02105,0.00402,0.0,0.0091,0.02,0.045,-0.04729,0,0.26012,EARLY,SOY,WET
J0004,2,LAB2,SAMPLE_CLASSIFY,15,18,0.00539,0.02105,0.00402,0.0,0.0091,0.02,0.045,0.07674,0,0.26012,EARLY,SOY,WET
J0004,3,HOP1,UNLOAD,29,28,-0.04065,0.01058,0.00952,0.0,0.01301,0.01,0.028,-0.05998,0,0.26012,EARLY,SOY,WET
J0004,3,HOP2,UNLOAD,27,30,-0.06189,0.01058,0.00952,0.0,0.01301,0.01,0.028,0.10122,0,0.26012,EARLY,SOY,WET
