event_time_min,event_type,entity_type,entity_id,payload_json
0,JOB_VISIBLE,JOB,J0002,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""CONTRACTED""}"
0,JOB_VISIBLE,JOB,J0005,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0006,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0008,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0012,"{""commodity"":""CORN"",""load_tons"":38,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0015,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
7,JOB_VISIBLE,JOB,J0003,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""CONTRACTED""}"
9,JOB_VISIBLE,JOB,J0001,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
46,JOB_VISIBLE,JOB,J0013,"{""commodity"":""CORN"",""load_tons"":41,""priority_class"":""REGULAR""}"
46,JOB_VISIBLE,JOB,J0019,"{""commodity"":""CORN"",""load_tons"":41,""priority_class"":""CONTRACTED""}"
57,JOB_VISIBLE,JOB,J0011,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
65,JOB_VISIBLE,JOB,J0023,"{""commodity"":""CORN"",""load_tons"":37,""priority_class"":""REGULAR""}"
76,JOB_VISIBLE,JOB,J0017,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
98,JOB_ARRIVAL,JOB,J0001,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
115,JOB_ARRIVAL,JOB,J0002,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""CONTRACTED""}"
116,JOB_VISIBLE,JOB,J0004,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""URGENT""}"
129,JOB_ARRIVAL,JOB,J0003,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""CONTRACTED""}"
131,JOB_ARRIVAL,JOB,J0004,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""URGENT""}"
133,JOB_ARRIVAL,JOB,J0005,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
136,JOB_ARRIVAL,JOB,J0006,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
153,JOB_ARRIVAL,JOB,J0007,"{""commodity"":""CORN"",""load_tons"":36,""priority_class"":""CONTRACTED""}"
153,JOB_VISIBLE,JOB,J0007,"{""commodity"":""CORN"",""load_tons"":36,""priority_class"":""CONTRACTED""}"
156,JOB_VISIBLE,JOB,J0010,"{""commodity"":""CORN"",""load_tons"":41,""priority_class"":""URGENT""}"
160,JOB_VISIBLE,JOB,J0020,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""CONTRACTED""}"
161,JOB_ARRIVAL,JOB,J0008,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""REGULAR""}"
