job_id,arrival_time_min,completion_due_nominal_min,completion_due_observed_min,due_slack_nominal_min,due_slack_observed_min,base_priority_slack_min,fixed_appointment_min,fixed_commodity_min,fixed_moisture_min,fixed_shift_min,fixed_regime_min,random_instance_min,random_shift_min,random_idio_min,nominal_processing_lb_min,shift_bucket
J0001,98,398,383,300,285,300,-8,0,0,8,0,-9.7728,-4.9419,-0.1063,47,EARLY
J0002,115,385,395,270,280,270,-8,10,0,8,0,-9.7728,-4.9419,15.0309,50,EARLY
J0003,129,399,392,270,263,270,-8,10,0,8,0,-9.7728,-4.9419,-1.9431,48,EARLY
J0004,131,371,374,240,243,240,-8,10,0,8,0,-9.7728,-4.9419,7.3836,47,EARLY
J0005,133,433,410,300,277,300,-8,0,0,8,0,-9.7728,-4.9419,-8.4194,48,EARLY
J0006,136,436,443,300,307,300,-8,10,0,8,0,-9.7728,-4.9419,11.6348,46,EARLY
J0007,153,423,420,270,267,270,6,0,0,8,0,-9.7728,-4.9419,-2.1563,44,EARLY
J0008,161,461,449,300,288,300,-8,0,0,8,0,-9.7728,-4.9419,2.7019,49,EARLY
J0009,164,464,463,300,299,300,6,0,9,8,0,-9.7728,-4.9419,-9.1253,50,EARLY
J0010,171,411,365,240,194,240,-8,0,-5,8,0,-9.7728,-4.9419,-26.6303,45,EARLY
J0011,186,486,453,300,267,300,-8,10,0,8,0,-9.7728,-4.9419,-28.2767,44,EARLY
J0012,192,492,469,300,277,300,-8,0,0,8,0,-9.7728,-4.9419,-7.9663,46,EARLY
J0013,194,494,496,300,302,300,-8,0,9,8,0,-9.7728,-4.9419,7.7905,51,EARLY
J0014,224,524,523,300,299,300,6,0,0,8,0,-9.7728,-4.9419,0.1493,45,EARLY
J0015,233,533,515,300,282,300,-8,10,0,8,0,-9.7728,-4.9419,-13.2773,47,EARLY
J0016,244,544,549,300,305,300,6,10,0,0,0,-9.7728,-2.3347,1.3969,50,MID
J0017,253,553,549,300,296,300,-8,10,0,0,0,-9.7728,-2.3347,6.5212,47,MID
J0018,278,578,561,300,283,300,-8,10,0,0,0,-9.7728,-2.3347,-6.5197,49,MID
J0019,278,548,521,270,243,270,-8,0,0,0,0,-9.7728,-2.3347,-7.0047,47,MID
J0020,288,558,559,270,271,270,-8,0,9,0,0,-9.7728,-2.3347,12.2711,52,MID
J0021,293,563,566,270,273,270,6,10,0,0,0,-9.7728,-2.3347,-0.4687,47,MID
J0022,293,593,589,300,296,300,-8,10,0,0,0,-9.7728,-2.3347,6.3189,45,MID
J0023,297,597,586,300,289,300,-8,0,-5,0,0,-9.7728,-2.3347,13.9355,43,MID
J0024,308,608,630,300,322,300,6,10,0,0,0,-9.7728,-2.3347,18.2892,47,MID
J0025,324,624,633,300,309,300,6,10,9,0,0,-9.7728,-2.3347,-4.3488,53,MID
J0026,338,578,559,240,221,240,-8,10,-5,0,0,-9.7728,-2.3347,-4.1444,46,MID
J0027,352,592,582,240,230,240,-8,5,0,0,0,-9.7728,-2.3347,4.8882,41,MID
J0028,367,637,614,270,247,270,6,0,-5,0,0,-9.7728,-2.3347,-11.8651,44,MID
J0029,368,668,641,300,273,300,-8,0,0,0,0,-9.7728,-2.3347,-6.6307,43,MID
J0030,379,679,658,300,279,300,-8,0,0,0,0,-9.7728,-2.3347,-0.6902,47,MID
J0031,399,699,690,300,291,300,-8,10,0,0,0,-9.7728,-2.3347,1.0887,45,MID
J0032,413,713,721,300,308,300,-8,10,9,0,0,-9.7728,-2.3347,9.3037,50,MID
J0033,420,720,683,300,263,300,-8,0,-5,0,0,-9.7728,-2.3347,-12.1302,43,MID
J0034,422,722,735,300,313,300,6,0,9,0,0,-9.7728,-2.3347,10.4693,53,MID
J0035,432,732,696,300,264,300,-8,0,0,0,0,-9.7728,-2.3347,-16.1119,46,MID
J0036,445,745,739,300,294,300,-8,10,9,0,0,-9.7728,-2.3347,-4.5543,53,MID
J0037,448,748,731,300,283,300,-8,0,0,0,0,-9.7728,-2.3347,3.4441,47,MID
J0038,459,729,713,270,254,270,-8,0,0,0,0,-9.7728,-2.3347,3.6095,43,MID
J0039,459,759,771,300,312,300,6,10,0,0,0,-9.7728,-2.3347,8.0369,48,MID
J0040,505,805,803,300,298,300,6,10,0,-12,0,-9.7728,-0.2394,4.3461,48,LATE
J0041,509,809,804,300,295,300,6,0,9,-12,0,-9.7728,-0.2394,2.0322,54,LATE
J0042,510,810,776,300,266,300,-8,0,0,-12,0,-9.7728,-0.2394,-3.6624,49,LATE
J0043,525,825,825,300,300,300,6,0,0,-12,0,-9.7728,-0.2394,16.4418,49,LATE
J0044,528,798,767,270,239,270,-8,10,-5,-12,0,-9.7728,-0.2394,-6.2929,46,LATE
J0045,543,813,810,270,267,270,6,10,0,-12,0,-9.7728,-0.2394,3.3823,46,LATE
J0046,575,815,793,240,218,240,-8,0,9,-12,0,-9.7728,-0.2394,-1.4415,49,LATE
J0047,590,890,892,300,302,300,6,10,-5,-12,0,-9.7728,-0.2394,12.7371,47,LATE
J0048,612,912,925,300,313,300,6,10,9,-12,0,-9.7728,-0.2394,9.8275,51,LATE
