job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,CORN,42,98,9,REGULAR,1.0,1,NORMAL,300,383,1.687,EARLY,0.39461649026525547
J0002,SOY,40,115,0,CONTRACTED,1.25,1,NORMAL,300,395,1.6067,EARLY,0.6925388736443225
J0003,SOY,39,129,7,CONTRACTED,1.25,1,NORMAL,300,392,1.5665,EARLY,0.9199006925388737
J0004,SOY,36,131,116,URGENT,1.75,1,NORMAL,300,374,1.446,EARLY,0.9460342349405463
J0005,CORN,42,133,0,REGULAR,1.0,1,NORMAL,300,410,1.687,EARLY,0.9643277146217171
J0006,SOY,35,136,0,REGULAR,1.0,1,NORMAL,300,443,1.4058,EARLY,0.985234548543055
J0007,CORN,36,153,153,CONTRACTED,1.25,0,NORMAL,300,420,1.446,EARLY,1.0296615706258985
J0008,CORN,44,161,0,REGULAR,1.0,1,NORMAL,300,449,1.7673,EARLY,1.016594799425062
J0009,CORN,38,164,164,REGULAR,1.0,0,WET,300,463,1.5263,EARLY,1.0009146739840586
J0010,CORN,41,171,156,URGENT,1.75,1,DRY,300,365,1.6468,EARLY,0.9460342349405463
J0011,SOY,35,186,57,REGULAR,1.0,1,NORMAL,300,453,1.4058,EARLY,0.8179798771723508
J0012,CORN,38,192,0,REGULAR,1.0,1,NORMAL,300,469,1.5263,EARLY,0.7657127923690056
J0013,CORN,41,194,46,REGULAR,1.0,1,WET,300,496,1.6468,EARLY,0.7500326669280021
J0014,CORN,37,224,224,REGULAR,1.0,0,NORMAL,300,523,1.4862,EARLY,0.5775512870769633
J0015,SOY,38,233,0,REGULAR,1.0,1,NORMAL,300,515,1.5263,EARLY,0.5958447667581341
J0016,SOY,41,244,244,REGULAR,1.0,0,NORMAL,300,549,1.6468,MID,0.6716320397229845
J0017,SOY,38,253,76,REGULAR,1.0,1,NORMAL,300,549,1.5263,MID,0.7291258330066641
J0018,SOY,40,278,173,REGULAR,1.0,1,NORMAL,300,561,1.6067,MID,0.9591010061413826
J0019,CORN,41,278,46,CONTRACTED,1.25,1,NORMAL,300,521,1.6468,MID,0.9591010061413826
J0020,CORN,42,288,160,CONTRACTED,1.25,1,WET,300,559,1.687,MID,0.9956879655037241
J0021,SOY,38,293,293,CONTRACTED,1.25,0,NORMAL,300,566,1.5263,MID,0.9983013197438915
J0022,SOY,35,293,231,REGULAR,1.0,1,NORMAL,300,589,1.4058,MID,0.9983013197438915
J0023,CORN,37,297,65,REGULAR,1.0,1,DRY,300,586,1.4862,MID,0.9773944858225533
J0024,SOY,39,308,308,REGULAR,1.0,0,NORMAL,300,630,1.5665,MID,0.8754736704560305
J0025,SOY,39,324,324,REGULAR,1.0,0,WET,300,633,1.5665,MID,0.7918463347706782
J0026,SOY,35,338,323,URGENT,1.75,1,DRY,300,559,1.4058,MID,0.6820854566836535
J0027,SORGHUM,34,352,347,URGENT,1.75,1,NORMAL,300,582,1.3657,MID,0.6167516006794722
J0028,CORN,38,367,367,CONTRACTED,1.25,0,DRY,300,614,1.5263,MID,0.66640533124265
J0029,CORN,34,368,239,REGULAR,1.0,1,NORMAL,300,641,1.3657,MID,0.6690186854828173
J0030,CORN,40,379,298,REGULAR,1.0,1,NORMAL,300,658,1.6067,MID,0.6873121651639881
J0031,SOY,36,399,317,REGULAR,1.0,1,NORMAL,300,690,1.446,MID,0.7421926042075004
J0032,SOY,35,413,180,REGULAR,1.0,1,WET,300,721,1.4058,MID,0.8545668365346922
J0033,CORN,34,420,334,REGULAR,1.0,1,DRY,300,683,1.3657,MID,0.8911537958970339
J0034,CORN,45,422,422,REGULAR,1.0,0,WET,300,735,1.8075,MID,0.8911537958970339
J0035,CORN,37,432,212,REGULAR,1.0,1,NORMAL,300,696,1.4862,MID,0.8624068992551941
J0036,SOY,40,445,359,REGULAR,1.0,1,WET,300,739,1.6067,MID,0.8101398144518489
J0037,CORN,43,448,321,REGULAR,1.0,1,NORMAL,300,731,1.7272,MID,0.7944596890108454
J0038,CORN,34,459,353,CONTRACTED,1.25,1,NORMAL,300,713,1.3657,MID,0.729125833006664
J0039,SOY,39,459,459,REGULAR,1.0,0,NORMAL,300,771,1.5665,MID,0.729125833006664
J0040,SOY,39,505,505,REGULAR,1.0,0,NORMAL,300,803,1.5665,LATE,0.6298183718803085
J0041,CORN,44,509,509,REGULAR,1.0,0,WET,300,804,1.7673,LATE,0.6428851430811446
J0042,CORN,42,510,432,REGULAR,1.0,1,NORMAL,300,776,1.687,LATE,0.6428851430811446
J0043,CORN,44,525,525,REGULAR,1.0,0,NORMAL,300,825,1.7673,LATE,0.6219783091598067
J0044,SOY,38,528,305,CONTRACTED,1.25,1,DRY,300,767,1.5263,LATE,0.6141382464393049
J0045,SOY,36,543,543,CONTRACTED,1.25,0,NORMAL,300,810,1.446,LATE,0.5305109107539526
J0046,CORN,35,575,568,URGENT,1.75,1,WET,300,793,1.4058,LATE,0.31098915457990334
J0047,SOY,41,590,590,REGULAR,1.0,0,DRY,300,892,1.6468,LATE,0.25088200705605646
J0048,SOY,36,612,612,REGULAR,1.0,0,WET,300,925,1.446,LATE,0.15941460865020254
