job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,102,50,0,0
J0002,116,58,0,0
J0003,119,59,3,0
J0004,127,66,12,0
J0005,137,70,7,0
J0006,144,75,19,0
J0007,157,84,26,0
J0008,158,84,25,0
J0009,163,87,34,0
J0010,170,91,38,0
J0011,195,114,47,0
J0012,189,106,55,0
J0013,190,106,51,0
J0014,201,114,57,0
J0015,214,123,71,0
J0016,231,139,81,0
J0017,226,129,70,0
J0018,239,140,89,0
J0019,257,157,100,0
J0020,258,154,101,0
J0021,270,163,104,0
J0022,283,165,116,0
J0023,282,57,7,0
J0024,291,56,0,0
J0025,296,58,8,0
J0026,313,75,18,0
J0027,324,85,23,0
J0028,322,81,28,0
J0029,340,98,45,0
J0030,329,85,29,0
J0031,356,109,47,0
J0032,362,106,43,0
J0033,369,107,52,0
J0034,370,106,36,0
J0035,384,119,65,0
J0036,403,119,56,0
J0037,394,110,47,0
J0038,406,119,54,0
J0039,416,129,71,0
J0040,425,138,80,0
J0041,437,105,43,0
J0042,458,53,0,0
J0043,467,62,2,0
J0044,479,63,1,0
J0045,482,58,0,0
J0046,491,66,17,0
J0047,491,52,0,0
J0048,509,58,1,0
J0049,515,60,9,0
J0050,522,65,8,0
J0051,540,83,25,0
J0052,540,78,29,0
J0053,548,85,34,0
J0054,566,103,50,0
J0055,588,124,53,0
J0056,597,130,74,0
J0057,574,105,41,0
J0058,615,143,90,0
J0059,605,126,67,0
J0060,621,137,88,0
J0061,632,146,92,0
J0062,641,149,96,0
J0063,653,158,97,0
J0064,649,140,82,0
