job_id,arrival_time_min,completion_due_nominal_min,completion_due_observed_min,due_slack_nominal_min,due_slack_observed_min,base_priority_slack_min,fixed_appointment_min,fixed_commodity_min,fixed_moisture_min,fixed_shift_min,fixed_regime_min,random_instance_min,random_shift_min,random_idio_min,nominal_processing_lb_min,shift_bucket
J0001,52,352,391,300,339,300,-8,0,0,8,18,3.7728,5.1319,12.0627,47,EARLY
J0002,58,358,408,300,350,300,6,0,9,8,18,3.7728,5.1319,0.4858,49,EARLY
J0003,60,330,354,270,294,270,-8,0,-5,8,18,3.7728,5.1319,2.2787,46,EARLY
J0004,61,301,348,240,287,240,-8,10,0,8,18,3.7728,5.1319,10.1492,46,EARLY
J0005,67,367,397,300,330,300,6,0,9,8,18,3.7728,5.1319,-20.3395,53,EARLY
J0006,69,369,451,300,382,300,6,10,9,8,18,3.7728,5.1319,21.8038,52,EARLY
J0007,73,373,417,300,344,300,6,10,0,8,18,3.7728,5.1319,-6.6653,45,EARLY
J0008,74,374,430,300,356,300,6,0,0,8,18,3.7728,5.1319,14.9594,44,EARLY
J0009,76,376,407,300,331,300,-8,10,0,8,18,3.7728,5.1319,-6.2428,48,EARLY
J0010,79,349,403,270,324,270,6,10,0,8,18,3.7728,5.1319,3.5289,48,EARLY
J0011,81,381,437,300,356,300,-8,10,9,8,18,3.7728,5.1319,10.5867,54,EARLY
J0012,83,383,426,300,343,300,-8,0,0,8,18,3.7728,5.1319,16.1295,47,EARLY
J0013,84,384,401,300,317,300,-8,5,9,8,18,3.7728,5.1319,-24.1973,44,EARLY
J0014,87,387,422,300,335,300,-8,0,9,8,18,3.7728,5.1319,-0.4354,49,EARLY
J0015,91,331,344,240,253,240,-8,10,0,8,18,3.7728,5.1319,-23.9711,47,EARLY
J0016,92,392,438,300,346,300,6,0,9,8,18,3.7728,5.1319,-3.8662,52,EARLY
J0017,97,397,440,300,343,300,-8,10,0,8,18,3.7728,5.1319,6.3574,50,EARLY
J0018,99,399,446,300,347,300,-8,10,0,8,18,3.7728,5.1319,9.8698,48,EARLY
J0019,100,340,392,240,292,240,-8,10,0,8,18,3.7728,5.1319,15.3504,48,EARLY
J0020,104,404,460,300,356,300,6,10,0,8,18,3.7728,5.1319,5.2702,48,EARLY
J0021,107,407,460,300,353,300,-8,10,9,8,18,3.7728,5.1319,6.9404,52,EARLY
J0022,118,418,456,300,338,300,-8,10,0,8,18,3.7728,5.1319,1.2108,46,EARLY
J0023,225,495,554,270,329,270,6,10,0,8,18,3.7728,5.1319,8.3562,45,EARLY
J0024,235,535,569,300,334,300,-8,5,0,8,18,3.7728,5.1319,1.9757,45,EARLY
J0025,238,538,579,300,341,300,6,0,0,8,18,3.7728,5.1319,-0.1223,45,EARLY
J0026,238,538,546,300,308,300,-8,0,0,8,18,3.7728,5.1319,-19.0766,49,EARLY
J0027,239,539,592,300,353,300,-8,0,9,8,18,3.7728,5.1319,17.1987,51,EARLY
J0028,241,541,600,300,359,300,6,0,0,0,18,3.7728,1.5275,29.6531,47,MID
J0029,242,512,536,270,294,270,-8,0,0,0,18,3.7728,1.5275,8.5443,46,MID
J0030,244,544,582,300,338,300,6,10,0,0,18,3.7728,1.5275,-1.2934,46,MID
J0031,247,547,585,300,338,300,6,10,9,0,18,3.7728,1.5275,-10.2928,53,MID
J0032,256,556,633,300,377,300,6,10,9,0,18,3.7728,1.5275,28.7241,53,MID
J0033,262,532,557,270,295,270,-8,10,0,0,18,3.7728,1.5275,-0.158,48,MID
J0034,264,504,518,240,254,240,-8,0,9,0,18,3.7728,1.5275,-10.4115,52,MID
J0035,265,565,581,300,316,300,-8,0,0,0,18,3.7728,1.5275,0.3967,44,MID
J0036,284,584,606,300,322,300,-8,0,9,0,18,3.7728,1.5275,-2.3241,53,MID
J0037,284,584,623,300,339,300,-8,10,9,0,18,3.7728,1.5275,4.3986,52,MID
J0038,287,587,627,300,340,300,6,0,9,0,18,3.7728,1.5275,1.7867,50,MID
J0039,287,587,635,300,348,300,-8,0,9,0,18,3.7728,1.5275,23.9023,53,MID
J0040,287,587,597,300,310,300,-8,10,0,0,18,3.7728,1.5275,-15.3776,47,MID
J0041,332,632,644,300,312,300,6,5,9,0,18,3.7728,1.5275,-31.4549,49,MID
J0042,405,645,656,240,251,240,-8,10,0,0,18,3.7728,1.5275,-14.5884,48,MID
J0043,405,705,741,300,336,300,-8,10,9,0,18,3.7728,1.5275,1.73,51,MID
J0044,416,716,762,300,346,300,6,10,9,0,18,3.7728,1.5275,-2.1423,53,MID
J0045,424,724,747,300,323,300,-8,0,0,0,18,3.7728,1.5275,7.9091,47,MID
J0046,425,725,735,300,310,300,-8,5,0,0,18,3.7728,1.5275,-9.9532,41,MID
J0047,439,739,747,300,308,300,-8,10,0,0,18,3.7728,1.5275,-17.0875,47,MID
J0048,451,751,771,300,320,300,-8,10,0,0,18,3.7728,1.5275,-5.1414,47,MID
J0049,455,755,788,300,333,300,-8,10,0,0,18,3.7728,1.5275,7.848,45,MID
J0050,457,727,757,270,300,270,-8,0,0,0,18,3.7728,1.5275,14.5586,50,MID
J0051,457,757,769,300,312,300,-8,10,0,0,18,3.7728,1.5275,-12.9318,48,MID
J0052,462,702,724,240,262,240,-8,0,0,0,18,3.7728,1.5275,6.9556,43,MID
J0053,463,763,791,300,328,300,-8,0,-5,0,18,3.7728,1.5275,17.735,44,MID
J0054,463,763,784,300,321,300,6,0,-5,0,18,3.7728,1.5275,-3.7405,44,MID
