event_time_min,event_type,entity_type,entity_id,payload_json
0,JOB_VISIBLE,JOB,J0002,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0004,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0009,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0013,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0014,"{""commodity"":""CORN"",""load_tons"":36,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0017,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0021,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0023,"{""commodity"":""CORN"",""load_tons"":38,""priority_class"":""CONTRACTED""}"
8,JOB_VISIBLE,JOB,J0022,"{""commodity"":""CORN"",""load_tons"":40,""priority_class"":""REGULAR""}"
12,JOB_VISIBLE,JOB,J0010,"{""commodity"":""SORGHUM"",""load_tons"":36,""priority_class"":""REGULAR""}"
21,JOB_VISIBLE,JOB,J0038,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
23,JOB_VISIBLE,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""URGENT""}"
31,JOB_ARRIVAL,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""URGENT""}"
33,JOB_VISIBLE,JOB,J0044,"{""commodity"":""CORN"",""load_tons"":37,""priority_class"":""CONTRACTED""}"
35,JOB_VISIBLE,JOB,J0028,"{""commodity"":""CORN"",""load_tons"":45,""priority_class"":""REGULAR""}"
40,JOB_ARRIVAL,JOB,J0002,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
42,JOB_VISIBLE,JOB,J0005,"{""commodity"":""SORGHUM"",""load_tons"":38,""priority_class"":""URGENT""}"
