job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,SOY,41,31,23,URGENT,1.75,1,NORMAL,300,310,1.6468,EARLY,0.458980044345898
J0002,SOY,37,40,0,REGULAR,1.0,1,NORMAL,300,355,1.4862,EARLY,0.6319290465631929
J0003,SOY,38,45,45,REGULAR,1.0,0,NORMAL,300,398,1.5263,EARLY,0.7317073170731708
J0004,SOY,41,45,0,REGULAR,1.0,1,WET,300,401,1.6468,EARLY,0.7317073170731708
J0005,SORGHUM,38,46,42,URGENT,1.75,1,NORMAL,300,310,1.5263,EARLY,0.747228381374723
J0006,SOY,41,49,49,REGULAR,1.0,0,NORMAL,300,399,1.6468,EARLY,0.7871396895787139
J0007,CORN,42,54,54,REGULAR,1.0,0,NORMAL,300,381,1.687,EARLY,0.844789356984479
J0008,SOY,37,56,56,REGULAR,1.0,0,NORMAL,300,433,1.4862,EARLY,0.8647450110864746
J0009,SOY,36,62,0,REGULAR,1.0,1,WET,300,399,1.446,EARLY,0.9124168514412418
J0010,SORGHUM,36,72,12,REGULAR,1.0,1,WET,300,408,1.446,EARLY,0.9878048780487806
J0011,SORGHUM,31,73,66,URGENT,1.75,1,NORMAL,300,329,1.2452,EARLY,0.993348115299335
J0012,CORN,34,75,71,URGENT,1.75,1,NORMAL,300,333,1.3657,EARLY,1.0000000000000002
J0013,SOY,36,82,0,REGULAR,1.0,1,NORMAL,300,430,1.446,EARLY,1.007760532150776
J0014,CORN,36,83,0,REGULAR,1.0,1,NORMAL,300,413,1.446,EARLY,1.0066518847006654
J0015,CORN,35,85,85,REGULAR,1.0,0,WET,300,437,1.4058,EARLY,1.0
J0016,CORN,45,85,80,URGENT,1.75,1,WET,300,368,1.8075,EARLY,1.0
J0017,SOY,36,90,0,REGULAR,1.0,1,NORMAL,300,409,1.446,EARLY,0.9611973392461198
J0018,CORN,37,91,91,REGULAR,1.0,0,NORMAL,300,386,1.4862,EARLY,0.9512195121951221
J0019,SOY,40,92,77,URGENT,1.75,1,WET,300,365,1.6067,EARLY,0.9401330376940134
J0020,SOY,37,96,96,CONTRACTED,1.25,0,NORMAL,300,364,1.4862,EARLY,0.8869179600886918
J0021,SOY,38,100,0,REGULAR,1.0,1,WET,300,444,1.5263,EARLY,0.8248337028824834
J0022,CORN,40,100,8,REGULAR,1.0,1,NORMAL,300,429,1.6067,EARLY,0.8248337028824834
J0023,CORN,38,112,0,CONTRACTED,1.25,1,WET,300,428,1.5263,EARLY,0.6330376940133038
J0024,SOY,37,121,109,URGENT,1.75,1,NORMAL,300,416,1.4862,EARLY,0.5077605321507761
J0025,SOY,35,124,124,REGULAR,1.0,0,NORMAL,300,473,1.4058,EARLY,0.4667405764966741
J0026,SORGHUM,36,164,164,REGULAR,1.0,0,NORMAL,300,482,1.446,EARLY,0.23059866962305992
J0027,CORN,40,180,175,URGENT,1.75,1,DRY,300,431,1.6067,EARLY,0.3314855875831486
J0028,CORN,45,191,35,REGULAR,1.0,1,NORMAL,300,556,1.8075,EARLY,0.4235033259423504
J0029,SOY,40,194,194,REGULAR,1.0,0,NORMAL,300,559,1.6067,EARLY,0.44900221729490025
J0030,CORN,45,198,184,URGENT,1.75,1,NORMAL,300,461,1.8075,EARLY,0.4778270509977828
J0031,SOY,41,209,209,REGULAR,1.0,0,NORMAL,300,572,1.6468,EARLY,0.5565410199556542
J0032,SORGHUM,37,212,67,REGULAR,1.0,1,NORMAL,300,537,1.4862,EARLY,0.5798226164079824
J0033,SOY,36,221,221,REGULAR,1.0,0,WET,300,582,1.446,EARLY,0.6419068736141906
J0034,CORN,36,224,224,REGULAR,1.0,0,WET,300,583,1.446,EARLY,0.6618625277161863
J0035,SOY,40,228,135,REGULAR,1.0,1,NORMAL,300,551,1.6067,EARLY,0.6851441241685144
J0036,SORGHUM,30,233,233,REGULAR,1.0,0,NORMAL,300,596,1.205,EARLY,0.7073170731707318
J0037,SOY,37,240,240,REGULAR,1.0,0,WET,300,581,1.4862,MID,0.722838137472284
J0038,CORN,39,251,21,REGULAR,1.0,1,WET,300,579,1.5665,MID,0.7405764966740577
J0039,SORGHUM,31,252,187,REGULAR,1.0,1,NORMAL,300,568,1.2452,MID,0.7416851441241685
J0040,SOY,35,256,256,REGULAR,1.0,0,NORMAL,300,619,1.4058,MID,0.7394678492239469
J0041,SOY,41,262,262,REGULAR,1.0,0,WET,300,608,1.6468,MID,0.7305986696230599
J0042,CORN,36,266,57,CONTRACTED,1.25,1,NORMAL,300,542,1.446,MID,0.7172949002217296
J0043,CORN,36,266,73,REGULAR,1.0,1,WET,300,564,1.446,MID,0.7172949002217296
J0044,CORN,37,266,33,CONTRACTED,1.25,1,WET,300,556,1.4862,MID,0.7172949002217296
J0045,SOY,36,273,53,REGULAR,1.0,1,WET,300,598,1.446,MID,0.6596452328159645
J0046,CORN,43,278,55,REGULAR,1.0,1,DRY,300,544,1.7272,MID,0.61529933481153
J0047,SOY,35,281,281,CONTRACTED,1.25,0,WET,300,593,1.4058,MID,0.5820399113082041
J0048,SORGHUM,35,287,284,URGENT,1.75,1,NORMAL,300,548,1.4058,MID,0.5121951219512196
J0049,CORN,37,306,306,REGULAR,1.0,0,WET,300,654,1.4862,MID,0.3004434589800444
J0050,SORGHUM,32,327,170,REGULAR,1.0,1,NORMAL,300,649,1.2853,MID,0.09977827050997784
J0051,CORN,36,420,412,URGENT,1.75,1,WET,300,671,1.446,MID,0.14634146341463417
J0052,SOY,39,426,426,CONTRACTED,1.25,0,NORMAL,300,750,1.5665,MID,0.18403547671840356
J0053,CORN,44,436,371,REGULAR,1.0,1,NORMAL,300,763,1.7673,MID,0.2572062084257206
J0054,CORN,34,461,460,URGENT,1.75,1,WET,300,729,1.3657,MID,0.4201773835920178
J0055,CORN,36,469,469,REGULAR,1.0,0,DRY,300,792,1.446,MID,0.45898004434589806
J0056,CORN,43,478,473,URGENT,1.75,1,NORMAL,300,728,1.7272,MID,0.4977827050997783
J0057,SOY,41,478,478,REGULAR,1.0,0,WET,300,827,1.6468,MID,0.49778270509977834
J0058,SORGHUM,30,482,482,REGULAR,1.0,0,WET,300,830,1.205,LATE,0.5000000000000001
J0059,SORGHUM,33,487,487,CONTRACTED,1.25,0,NORMAL,300,783,1.3255,LATE,0.49556541019955663
J0060,CORN,38,487,334,CONTRACTED,1.25,1,WET,300,775,1.5263,LATE,0.49556541019955663
J0061,SOY,41,488,488,REGULAR,1.0,0,NORMAL,300,837,1.6468,LATE,0.49113082039911315
J0062,SOY,38,499,403,REGULAR,1.0,1,WET,300,815,1.5263,LATE,0.4212860310421287
J0063,SOY,38,526,353,REGULAR,1.0,1,NORMAL,300,821,1.5263,LATE,0.2172949002217295
J0064,CORN,35,530,530,CONTRACTED,1.25,0,NORMAL,300,817,1.4058,LATE,0.1829268292682927
