job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB1,25,33,0
J0001,2,SAMPLE_CLASSIFY,LAB1,33,46,0
J0001,3,UNLOAD,HOP4,46,69,0
J0001,4,WEIGH_OUT,WB1,69,74,0
J0002,1,WEIGH_IN,WB1,46,53,0
J0002,2,SAMPLE_CLASSIFY,LAB1,53,67,0
J0002,3,UNLOAD,HOP1,67,93,0
J0002,4,WEIGH_OUT,WB1,93,99,0
J0003,1,WEIGH_IN,WB2,48,58,0
J0003,2,SAMPLE_CLASSIFY,LAB2,58,75,0
J0003,3,UNLOAD,HOP4,75,96,0
J0003,4,WEIGH_OUT,WB2,96,102,0
J0004,1,WEIGH_IN,WB3,48,55,0
J0004,2,SAMPLE_CLASSIFY,LAB1,67,82,12
J0004,3,UNLOAD,HOP2,82,114,0
J0004,4,WEIGH_OUT,WB1,114,120,0
J0005,1,WEIGH_IN,WB1,53,60,4
J0005,2,SAMPLE_CLASSIFY,LAB2,75,92,15
J0005,3,UNLOAD,HOP4,96,122,4
J0005,4,WEIGH_OUT,WB1,122,127,0
J0006,1,WEIGH_IN,WB3,55,62,3
J0006,2,SAMPLE_CLASSIFY,LAB1,82,96,20
J0006,3,UNLOAD,HOP1,96,124,0
J0006,4,WEIGH_OUT,WB3,124,130,0
J0007,1,WEIGH_IN,WB2,58,66,4
J0007,2,SAMPLE_CLASSIFY,LAB2,92,110,26
J0007,3,UNLOAD,HOP2,114,144,4
J0007,4,WEIGH_OUT,WB1,144,150,0
J0008,1,WEIGH_IN,WB1,60,67,6
J0008,2,SAMPLE_CLASSIFY,LAB1,96,112,29
J0008,3,UNLOAD,HOP4,122,150,10
J0008,4,WEIGH_OUT,WB1,150,156,0
J0009,1,WEIGH_IN,WB3,62,69,7
J0009,2,SAMPLE_CLASSIFY,LAB2,110,123,41
J0009,3,UNLOAD,HOP1,124,149,1
J0009,4,WEIGH_OUT,WB2,149,155,0
J0010,1,WEIGH_IN,WB2,66,76,6
J0010,2,SAMPLE_CLASSIFY,LAB1,112,125,36
J0010,3,UNLOAD,HOP3,125,155,0
J0010,4,WEIGH_OUT,WB2,155,161,0
J0011,1,WEIGH_IN,WB3,69,78,8
J0011,2,SAMPLE_CLASSIFY,LAB1,125,140,47
J0011,3,UNLOAD,HOP2,144,175,4
J0011,4,WEIGH_OUT,WB1,175,181,0
J0012,1,WEIGH_IN,WB1,74,81,6
J0012,2,SAMPLE_CLASSIFY,LAB2,123,136,42
J0012,3,UNLOAD,HOP4,150,173,14
J0012,4,WEIGH_OUT,WB2,173,179,0
J0013,1,WEIGH_IN,WB2,76,85,7
J0013,2,SAMPLE_CLASSIFY,LAB2,136,151,51
J0013,3,UNLOAD,HOP1,151,179,0
J0013,4,WEIGH_OUT,WB3,179,185,0
J0014,1,WEIGH_IN,WB3,78,87,5
J0014,2,SAMPLE_CLASSIFY,LAB1,140,151,53
J0014,3,UNLOAD,HOP4,173,198,22
J0014,4,WEIGH_OUT,WB1,198,204,0
J0015,1,WEIGH_IN,WB1,81,88,7
J0015,2,SAMPLE_CLASSIFY,LAB1,151,161,63
J0015,3,UNLOAD,HOP3,161,191,0
J0015,4,WEIGH_OUT,WB1,191,196,0
J0016,1,WEIGH_IN,WB2,85,94,10
J0016,2,SAMPLE_CLASSIFY,LAB2,151,163,57
J0016,3,UNLOAD,HOP1,179,204,16
J0016,4,WEIGH_OUT,WB1,204,210,0
J0017,1,WEIGH_IN,WB3,87,94,9
J0017,2,SAMPLE_CLASSIFY,LAB1,161,176,67
J0017,3,UNLOAD,HOP2,176,204,0
J0017,4,WEIGH_OUT,WB3,204,210,0
J0018,1,WEIGH_IN,WB3,94,103,0
J0018,2,SAMPLE_CLASSIFY,LAB2,163,179,60
J0018,3,UNLOAD,HOP4,198,228,19
J0018,4,WEIGH_OUT,WB1,228,234,0
J0019,1,WEIGH_IN,WB1,99,107,4
J0019,2,SAMPLE_CLASSIFY,LAB1,176,189,69
J0019,3,UNLOAD,HOP1,204,230,15
J0019,4,WEIGH_OUT,WB3,230,236,0
J0020,1,WEIGH_IN,WB2,102,111,4
J0020,2,SAMPLE_CLASSIFY,LAB2,179,197,68
J0020,3,UNLOAD,HOP2,204,234,7
J0020,4,WEIGH_OUT,WB1,234,240,0
J0021,1,WEIGH_IN,WB3,103,111,4
J0021,2,SAMPLE_CLASSIFY,LAB1,189,203,78
J0021,3,UNLOAD,HOP3,203,235,0
J0021,4,WEIGH_OUT,WB2,235,241,0
J0022,1,WEIGH_IN,WB1,107,114,5
J0022,2,SAMPLE_CLASSIFY,LAB2,197,208,83
J0022,3,UNLOAD,HOP4,228,256,20
J0022,4,WEIGH_OUT,WB1,256,262,0
J0023,1,WEIGH_IN,WB3,111,118,8
J0023,2,SAMPLE_CLASSIFY,LAB1,203,216,85
J0023,3,UNLOAD,HOP1,230,268,14
J0023,4,WEIGH_OUT,WB1,268,274,0
J0024,1,WEIGH_IN,WB2,111,119,5
J0024,2,SAMPLE_CLASSIFY,LAB2,208,223,89
J0024,3,UNLOAD,HOP2,234,261,11
J0024,4,WEIGH_OUT,WB3,261,267,0
J0025,1,WEIGH_IN,WB2,119,127,13
J0025,2,SAMPLE_CLASSIFY,LAB1,216,227,89
J0025,3,UNLOAD,HOP3,235,261,8
J0025,4,WEIGH_OUT,WB2,261,267,0
J0026,1,WEIGH_IN,WB2,188,196,0
J0026,2,SAMPLE_CLASSIFY,LAB2,223,242,27
J0026,3,UNLOAD,HOP4,256,284,14
J0026,4,WEIGH_OUT,WB1,284,290,0
J0027,1,WEIGH_IN,WB3,195,203,0
J0027,2,SAMPLE_CLASSIFY,LAB1,227,240,24
J0027,3,UNLOAD,HOP3,261,298,21
J0027,4,WEIGH_OUT,WB1,298,304,0
J0028,1,WEIGH_IN,WB2,203,212,0
J0028,2,SAMPLE_CLASSIFY,LAB1,240,251,28
J0028,3,UNLOAD,HOP4,284,302,33
J0028,4,WEIGH_OUT,WB2,302,308,0
J0029,1,WEIGH_IN,WB1,210,217,6
J0029,2,SAMPLE_CLASSIFY,LAB2,242,257,25
J0029,3,UNLOAD,HOP1,268,295,11
J0029,4,WEIGH_OUT,WB1,304,310,9
J0030,1,WEIGH_IN,WB3,210,217,0
J0030,2,SAMPLE_CLASSIFY,LAB1,251,267,34
J0030,3,UNLOAD,HOP2,267,294,0
J0030,4,WEIGH_OUT,WB2,294,301,0
J0031,1,WEIGH_IN,WB2,212,223,0
J0031,2,SAMPLE_CLASSIFY,LAB2,257,269,34
J0031,3,UNLOAD,HOP1,295,320,26
J0031,4,WEIGH_OUT,WB1,320,326,0
J0032,1,WEIGH_IN,WB2,223,232,0
J0032,2,SAMPLE_CLASSIFY,LAB1,267,280,35
J0032,3,UNLOAD,HOP2,294,320,14
J0032,4,WEIGH_OUT,WB2,320,326,0
J0033,1,WEIGH_IN,WB3,236,244,13
J0033,2,SAMPLE_CLASSIFY,LAB2,269,283,25
J0033,3,UNLOAD,HOP4,302,332,19
J0033,4,WEIGH_OUT,WB1,332,338,0
J0034,1,WEIGH_IN,WB1,240,249,10
J0034,2,SAMPLE_CLASSIFY,LAB1,280,293,31
J0034,3,UNLOAD,HOP1,320,345,27
J0034,4,WEIGH_OUT,WB1,345,351,0
J0035,1,WEIGH_IN,WB2,241,250,3
J0035,2,SAMPLE_CLASSIFY,LAB2,283,296,33
J0035,3,UNLOAD,HOP3,298,334,2
J0035,4,WEIGH_OUT,WB2,334,341,0
J0036,1,WEIGH_IN,WB3,244,252,5
J0036,2,SAMPLE_CLASSIFY,LAB1,293,306,41
J0036,3,UNLOAD,HOP4,332,360,26
J0036,4,WEIGH_OUT,WB1,360,366,0
J0037,1,WEIGH_IN,WB2,250,258,4
J0037,2,SAMPLE_CLASSIFY,LAB2,296,309,38
J0037,3,UNLOAD,HOP2,320,343,11
J0037,4,WEIGH_OUT,WB2,343,349,0
J0038,1,WEIGH_IN,WB3,252,261,1
J0038,2,SAMPLE_CLASSIFY,LAB1,306,321,45
J0038,3,UNLOAD,HOP2,343,370,22
J0038,4,WEIGH_OUT,WB1,370,376,0
J0039,1,WEIGH_IN,WB3,267,274,7
J0039,2,SAMPLE_CLASSIFY,LAB2,309,323,35
J0039,3,UNLOAD,HOP3,334,365,11
J0039,4,WEIGH_OUT,WB3,365,371,0
J0040,1,WEIGH_IN,WB2,267,275,5
J0040,2,SAMPLE_CLASSIFY,LAB1,321,335,46
J0040,3,UNLOAD,HOP1,345,381,10
J0040,4,WEIGH_OUT,WB1,381,387,0
J0041,1,WEIGH_IN,WB1,274,281,11
J0041,2,SAMPLE_CLASSIFY,LAB2,323,334,42
J0041,3,UNLOAD,HOP4,360,385,26
J0041,4,WEIGH_OUT,WB3,385,392,0
J0042,1,WEIGH_IN,WB3,274,283,8
J0042,2,SAMPLE_CLASSIFY,LAB2,334,349,51
J0042,3,UNLOAD,HOP3,365,402,16
J0042,4,WEIGH_OUT,WB1,402,408,0
J0043,1,WEIGH_IN,WB2,275,284,6
J0043,2,SAMPLE_CLASSIFY,LAB1,335,349,51
J0043,3,UNLOAD,HOP1,381,410,32
J0043,4,WEIGH_OUT,WB1,410,416,0
J0044,1,WEIGH_IN,WB2,284,292,14
J0044,2,SAMPLE_CLASSIFY,LAB1,349,366,57
J0044,3,UNLOAD,HOP2,370,401,4
J0044,4,WEIGH_OUT,WB2,401,408,0
J0045,1,WEIGH_IN,WB1,290,297,16
J0045,2,SAMPLE_CLASSIFY,LAB1,366,379,69
J0045,3,UNLOAD,HOP4,385,411,6
J0045,4,WEIGH_OUT,WB3,411,417,0
J0046,1,WEIGH_IN,WB2,308,317,13
J0046,2,SAMPLE_CLASSIFY,LAB1,379,392,62
J0046,3,UNLOAD,HOP2,401,428,9
J0046,4,WEIGH_OUT,WB1,428,434,0
J0047,1,WEIGH_IN,WB1,310,317,14
J0047,2,SAMPLE_CLASSIFY,LAB2,388,402,71
J0047,3,UNLOAD,HOP4,411,436,9
J0047,4,WEIGH_OUT,WB1,436,441,0
J0048,1,WEIGH_IN,WB2,326,334,22
J0048,2,SAMPLE_CLASSIFY,LAB1,392,405,58
J0048,3,UNLOAD,HOP2,428,452,23
J0048,4,WEIGH_OUT,WB2,452,458,0
J0049,1,WEIGH_IN,WB1,338,345,19
J0049,2,SAMPLE_CLASSIFY,LAB2,402,415,57
J0049,3,UNLOAD,HOP4,436,461,21
J0049,4,WEIGH_OUT,WB1,461,467,0
J0050,1,WEIGH_IN,WB3,376,383,0
J0050,2,SAMPLE_CLASSIFY,LAB1,405,418,22
J0050,3,UNLOAD,HOP2,452,477,34
J0050,4,WEIGH_OUT,WB1,477,483,0
J0051,1,WEIGH_IN,WB2,426,434,0
J0051,2,SAMPLE_CLASSIFY,LAB1,434,445,0
J0051,3,UNLOAD,HOP3,445,476,0
J0051,4,WEIGH_OUT,WB2,476,483,0
J0052,1,WEIGH_IN,WB1,447,454,0
J0052,2,SAMPLE_CLASSIFY,LAB1,454,467,0
J0052,3,UNLOAD,HOP4,467,491,0
J0052,4,WEIGH_OUT,WB1,491,497,0
J0053,1,WEIGH_IN,WB3,450,458,0
J0053,2,SAMPLE_CLASSIFY,LAB2,458,472,0
J0053,3,UNLOAD,HOP3,476,516,4
J0053,4,WEIGH_OUT,WB1,516,522,0
J0054,1,WEIGH_IN,WB1,454,460,0
J0054,2,SAMPLE_CLASSIFY,LAB1,467,479,7
J0054,3,UNLOAD,HOP1,488,511,9
J0054,4,WEIGH_OUT,WB3,511,517,0
J0055,1,WEIGH_IN,WB2,460,468,0
J0055,2,SAMPLE_CLASSIFY,LAB2,472,488,4
J0055,3,UNLOAD,HOP4,491,521,3
J0055,4,WEIGH_OUT,WB3,521,527,0
J0056,1,WEIGH_IN,WB1,467,474,0
J0056,2,SAMPLE_CLASSIFY,LAB1,479,495,5
J0056,3,UNLOAD,HOP1,511,541,16
J0056,4,WEIGH_OUT,WB1,541,547,0
J0057,1,WEIGH_IN,WB3,472,479,0
J0057,2,SAMPLE_CLASSIFY,LAB2,488,504,9
J0057,3,UNLOAD,HOP2,504,533,0
J0057,4,WEIGH_OUT,WB1,533,539,0
J0058,1,WEIGH_IN,WB3,479,486,7
J0058,2,SAMPLE_CLASSIFY,LAB1,495,505,9
J0058,3,UNLOAD,HOP4,521,544,16
J0058,4,WEIGH_OUT,WB3,544,550,0
J0059,1,WEIGH_IN,WB1,483,490,9
J0059,2,SAMPLE_CLASSIFY,LAB2,504,520,14
J0059,3,UNLOAD,HOP2,533,565,13
