job_id,op_seq,machine_id,stage_name,proc_time_nominal_min,proc_time_observed_min,machine_latent_log,shift_latent_log,instance_latent_log,regime_log,congestion_log,commodity_log,moisture_log,idio_log,additive_pause_min,arrival_congestion_score,shift_bucket,commodity,moisture_class
J0001,1,WB1,WEIGH_IN,7,8,-0.02491,0.01822,-0.00208,0.02,0.00834,0.0,0.0,0.06207,0,0.41717,EARLY,SOY,NORMAL
J0001,1,WB2,WEIGH_IN,7,8,0.07942,0.01822,-0.00208,0.02,0.00834,0.0,0.0,-0.00672,0,0.41717,EARLY,SOY,NORMAL
J0001,1,WB3,WEIGH_IN,8,8,-0.00832,0.01822,-0.00208,0.02,0.00834,0.0,0.0,0.00532,0,0.41717,EARLY,SOY,NORMAL
J0001,2,LAB1,SAMPLE_CLASSIFY,12,13,-0.04248,0.02015,0.01587,0.03,0.0146,0.02,0.0,-0.00161,0,0.41717,EARLY,SOY,NORMAL
J0001,2,LAB2,SAMPLE_CLASSIFY,12,13,-0.02988,0.02015,0.01587,0.03,0.0146,0.02,0.0,0.01362,0,0.41717,EARLY,SOY,NORMAL
J0001,3,HOP1,UNLOAD,24,26,-0.04508,0.00746,0.00264,0.04,0.02086,0.01,0.0,0.0539,0,0.41717,EARLY,SOY,NORMAL
J0001,3,HOP2,UNLOAD,23,28,0.01513,0.00746,0.00264,0.04,0.02086,0.01,0.0,-0.01226,3,0.41717,EARLY,SOY,NORMAL
J0001,3,HOP4,UNLOAD,22,23,-0.03803,0.00746,0.00264,0.04,0.02086,0.01,0.0,0.00412,0,0.41717,EARLY,SOY,NORMAL
J0001,4,WB1,WEIGH_OUT,5,5,-0.02491,-0.01697,-0.00568,0.015,0.00626,0.0,0.0,-0.00053,0,0.41717,EARLY,SOY,NORMAL
J0001,4,WB2,WEIGH_OUT,6,7,0.07942,-0.01697,-0.00568,0.015,0.00626,0.0,0.0,-0.00502,1,0.41717,EARLY,SOY,NORMAL
J0001,4,WB3,WEIGH_OUT,6,6,-0.00832,-0.01697,-0.00568,0.015,0.00626,0.0,0.0,0.00839,0,0.41717,EARLY,SOY,NORMAL
J0002,1,WB1,WEIGH_IN,7,7,-0.02491,0.01822,-0.00208,0.02,0.01593,0.0,0.0,0.01078,0,0.79642,EARLY,CORN,WET
J0002,1,WB2,WEIGH_IN,7,8,0.07942,0.01822,-0.00208,0.02,0.01593,0.0,0.0,0.02735,0,0.79642,EARLY,CORN,WET
J0002,1,WB3,WEIGH_IN,7,7,-0.00832,0.01822,-0.00208,0.02,0.01593,0.0,0.0,-0.02367,0,0.79642,EARLY,CORN,WET
J0002,2,LAB1,SAMPLE_CLASSIFY,13,14,-0.04248,0.02015,0.01587,0.03,0.02787,0.0,0.045,-0.05341,0,0.79642,EARLY,CORN,WET
J0002,2,LAB2,SAMPLE_CLASSIFY,13,15,-0.02988,0.02015,0.01587,0.03,0.02787,0.0,0.045,0.04309,0,0.79642,EARLY,CORN,WET
J0002,3,HOP1,UNLOAD,25,26,-0.04508,0.00746,0.00264,0.04,0.03982,0.0,0.028,-0.04308,0,0.79642,EARLY,CORN,WET
J0002,3,HOP3,UNLOAD,28,29,0.01525,0.00746,0.00264,0.04,0.03982,0.0,0.028,-0.11233,0,0.79642,EARLY,CORN,WET
