job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB1,42,49,0
J0001,2,SAMPLE_CLASSIFY,LAB1,49,62,0
J0001,3,UNLOAD,HOP1,62,91,0
J0001,4,WEIGH_OUT,WB1,91,97,0
J0002,1,WEIGH_IN,WB2,42,49,0
J0002,2,SAMPLE_CLASSIFY,LAB2,49,64,0
J0002,3,UNLOAD,HOP4,64,97,0
J0002,4,WEIGH_OUT,WB1,97,103,0
J0003,1,WEIGH_IN,WB3,45,54,0
J0003,2,SAMPLE_CLASSIFY,LAB1,62,74,8
J0003,3,UNLOAD,HOP2,74,99,0
J0003,4,WEIGH_OUT,WB2,99,105,0
J0004,1,WEIGH_IN,WB1,55,62,0
J0004,2,SAMPLE_CLASSIFY,LAB2,64,77,2
J0004,3,UNLOAD,HOP3,77,110,0
J0004,4,WEIGH_OUT,WB1,110,115,0
J0005,1,WEIGH_IN,WB2,60,68,0
J0005,2,SAMPLE_CLASSIFY,LAB1,74,84,6
J0005,3,UNLOAD,HOP1,91,116,7
J0005,4,WEIGH_OUT,WB1,116,122,0
J0006,1,WEIGH_IN,WB1,70,77,0
J0006,2,SAMPLE_CLASSIFY,LAB2,77,91,0
J0006,3,UNLOAD,HOP2,99,126,8
J0006,4,WEIGH_OUT,WB1,126,132,0
J0007,1,WEIGH_IN,WB1,80,87,0
J0007,2,SAMPLE_CLASSIFY,LAB1,87,99,0
J0007,3,UNLOAD,HOP4,99,126,0
J0007,4,WEIGH_OUT,WB2,126,132,0
J0008,1,WEIGH_IN,WB3,83,91,0
J0008,2,SAMPLE_CLASSIFY,LAB2,91,107,0
J0008,3,UNLOAD,HOP1,116,144,9
J0008,4,WEIGH_OUT,WB1,144,150,0
J0009,1,WEIGH_IN,WB2,84,93,0
J0009,2,SAMPLE_CLASSIFY,LAB1,99,111,6
J0009,3,UNLOAD,HOP4,126,155,15
J0009,4,WEIGH_OUT,WB1,155,161,0
J0010,1,WEIGH_IN,WB3,91,98,5
J0010,2,SAMPLE_CLASSIFY,LAB2,107,122,9
J0010,3,UNLOAD,HOP2,126,152,4
J0010,4,WEIGH_OUT,WB2,152,158,0
J0011,1,WEIGH_IN,WB3,98,106,10
J0011,2,SAMPLE_CLASSIFY,LAB1,111,125,5
J0011,3,UNLOAD,HOP3,125,160,0
J0011,4,WEIGH_OUT,WB2,160,165,0
J0012,1,WEIGH_IN,WB1,103,110,11
J0012,2,SAMPLE_CLASSIFY,LAB1,125,140,15
J0012,3,UNLOAD,HOP1,144,177,4
J0012,4,WEIGH_OUT,WB1,177,183,0
J0013,1,WEIGH_IN,WB2,105,112,11
J0013,2,SAMPLE_CLASSIFY,LAB2,122,136,10
J0013,3,UNLOAD,HOP2,152,181,16
J0013,4,WEIGH_OUT,WB2,181,187,0
J0014,1,WEIGH_IN,WB3,106,114,10
J0014,2,SAMPLE_CLASSIFY,LAB2,136,154,22
J0014,3,UNLOAD,HOP4,155,190,1
J0014,4,WEIGH_OUT,WB2,190,196,0
J0015,1,WEIGH_IN,WB2,112,120,9
J0015,2,SAMPLE_CLASSIFY,LAB1,140,152,20
J0015,3,UNLOAD,HOP3,160,190,8
J0015,4,WEIGH_OUT,WB1,190,195,0
J0016,1,WEIGH_IN,WB3,114,122,6
J0016,2,SAMPLE_CLASSIFY,LAB1,152,165,30
J0016,3,UNLOAD,HOP1,177,204,12
J0016,4,WEIGH_OUT,WB1,204,210,0
J0017,1,WEIGH_IN,WB3,122,130,12
J0017,2,SAMPLE_CLASSIFY,LAB2,154,168,24
J0017,3,UNLOAD,HOP2,181,210,13
J0017,4,WEIGH_OUT,WB1,210,216,0
J0018,1,WEIGH_IN,WB3,130,138,15
J0018,2,SAMPLE_CLASSIFY,LAB1,165,176,27
J0018,3,UNLOAD,HOP4,190,217,14
J0018,4,WEIGH_OUT,WB1,217,223,0
J0019,1,WEIGH_IN,WB1,132,139,17
J0019,2,SAMPLE_CLASSIFY,LAB2,168,182,29
J0019,3,UNLOAD,HOP3,190,227,8
J0019,4,WEIGH_OUT,WB1,227,233,0
J0020,1,WEIGH_IN,WB2,132,139,5
J0020,2,SAMPLE_CLASSIFY,LAB1,176,187,37
J0020,3,UNLOAD,HOP1,204,228,17
J0020,4,WEIGH_OUT,WB2,228,234,0
J0021,1,WEIGH_IN,WB3,138,146,3
J0021,2,SAMPLE_CLASSIFY,LAB2,182,194,36
J0021,3,UNLOAD,HOP4,217,242,23
J0021,4,WEIGH_OUT,WB1,242,248,0
J0022,1,WEIGH_IN,WB2,139,147,3
J0022,2,SAMPLE_CLASSIFY,LAB1,187,200,40
J0022,3,UNLOAD,HOP2,210,238,10
J0022,4,WEIGH_OUT,WB2,238,244,0
J0023,1,WEIGH_IN,WB3,146,154,6
J0023,2,SAMPLE_CLASSIFY,LAB2,194,208,40
J0023,3,UNLOAD,HOP1,228,257,20
J0023,4,WEIGH_OUT,WB1,257,263,0
J0024,1,WEIGH_IN,WB3,154,163,7
J0024,2,SAMPLE_CLASSIFY,LAB1,200,212,37
J0024,3,UNLOAD,HOP2,238,270,26
J0024,4,WEIGH_OUT,WB1,270,276,0
J0025,1,WEIGH_IN,WB2,166,173,0
J0025,2,SAMPLE_CLASSIFY,LAB2,208,221,35
J0025,3,UNLOAD,HOP3,227,257,6
J0025,4,WEIGH_OUT,WB2,257,263,0
J0026,1,WEIGH_IN,WB1,169,176,0
J0026,2,SAMPLE_CLASSIFY,LAB1,212,224,36
J0026,3,UNLOAD,HOP4,242,269,18
J0026,4,WEIGH_OUT,WB2,269,275,0
J0027,1,WEIGH_IN,WB3,225,234,0
J0027,2,SAMPLE_CLASSIFY,LAB1,234,244,0
J0027,3,UNLOAD,HOP1,257,281,13
J0027,4,WEIGH_OUT,WB1,281,287,0
J0028,1,WEIGH_IN,WB1,233,240,7
J0028,2,SAMPLE_CLASSIFY,LAB2,240,257,0
J0028,3,UNLOAD,HOP3,257,291,0
J0028,4,WEIGH_OUT,WB1,291,296,0
J0029,1,WEIGH_IN,WB2,247,255,0
J0029,2,SAMPLE_CLASSIFY,LAB1,255,269,0
J0029,3,UNLOAD,HOP4,269,297,0
J0029,4,WEIGH_OUT,WB1,297,302,0
J0030,1,WEIGH_IN,WB1,249,256,0
J0030,2,SAMPLE_CLASSIFY,LAB2,257,268,1
J0030,3,UNLOAD,HOP2,270,296,2
J0030,4,WEIGH_OUT,WB2,296,302,0
J0031,1,WEIGH_IN,WB3,251,260,0
