job_id,arrival_time_min,completion_due_nominal_min,completion_due_observed_min,due_slack_nominal_min,due_slack_observed_min,base_priority_slack_min,fixed_appointment_min,fixed_commodity_min,fixed_moisture_min,fixed_shift_min,fixed_regime_min,random_instance_min,random_shift_min,random_idio_min,nominal_processing_lb_min,shift_bucket
J0001,42,342,360,300,318,300,6,10,0,8,8,-5.2554,0.0447,-8.6889,49,EARLY
J0002,42,342,364,300,322,300,-8,0,9,8,8,-5.2554,0.0447,10.5744,51,EARLY
J0003,45,315,354,270,309,270,6,10,0,8,8,-5.2554,0.0447,12.515,46,EARLY
J0004,55,355,360,300,305,300,-8,5,0,8,8,-5.2554,0.0447,-3.2394,42,EARLY
J0005,60,330,345,270,285,270,6,0,0,8,8,-5.2554,0.0447,-1.5503,46,EARLY
J0006,70,310,330,240,260,240,-8,10,0,8,8,-5.2554,0.0447,7.6555,48,EARLY
J0007,80,380,396,300,316,300,-8,10,0,8,8,-5.2554,0.0447,3.1087,47,EARLY
J0008,83,323,330,240,247,240,-8,10,0,8,8,-5.2554,0.0447,-5.8808,49,EARLY
J0009,84,384,422,300,338,300,6,10,0,8,8,-5.2554,0.0447,11.3128,48,EARLY
J0010,86,356,381,270,295,270,-8,10,0,8,8,-5.2554,0.0447,11.9654,45,EARLY
J0011,88,358,386,270,298,270,-8,5,9,8,8,-5.2554,0.0447,11.4939,43,EARLY
J0012,92,362,393,270,301,270,-8,10,9,8,8,-5.2554,0.0447,9.3564,52,EARLY
J0013,94,394,389,300,295,300,-8,10,0,8,8,-5.2554,0.0447,-17.5295,47,EARLY
J0014,96,366,384,270,288,270,-8,10,9,8,8,-5.2554,0.0447,-3.4671,55,EARLY
J0015,103,403,410,300,307,300,-8,0,0,8,8,-5.2554,0.0447,4.4239,45,EARLY
J0016,108,378,392,270,284,270,-8,10,0,8,8,-5.2554,0.0447,1.6361,46,EARLY
J0017,110,380,376,270,266,270,-8,10,0,8,8,-5.2554,0.0447,-16.4539,48,EARLY
J0018,115,385,390,270,275,270,-8,0,0,8,8,-5.2554,0.0447,2.633,45,EARLY
J0019,115,415,459,300,344,300,6,0,9,8,8,-5.2554,0.0447,17.7716,50,EARLY
J0020,127,427,443,300,316,300,6,0,-5,8,8,-5.2554,0.0447,3.9849,42,EARLY
J0021,135,435,438,300,303,300,-8,0,0,8,8,-5.2554,0.0447,0.1802,46,EARLY
J0022,136,436,476,300,340,300,-8,10,0,8,8,-5.2554,0.0447,27.4117,47,EARLY
J0023,140,440,465,300,325,300,6,10,0,8,8,-5.2554,0.0447,-2.019,47,EARLY
J0024,147,447,462,300,315,300,-8,10,0,8,8,-5.2554,0.0447,2.4366,48,EARLY
J0025,166,466,468,300,302,300,-8,0,0,8,8,-5.2554,0.0447,-0.332,45,EARLY
J0026,169,469,506,300,337,300,-8,10,-5,8,8,-5.2554,0.0447,28.8746,45,EARLY
J0027,225,495,525,270,300,270,6,0,-5,8,8,-5.2554,0.0447,18.2083,43,EARLY
J0028,226,526,560,300,334,300,6,0,9,8,8,-5.2554,0.0447,8.0975,49,EARLY
J0029,247,547,554,300,307,300,-8,10,9,0,8,-5.2554,-2.4081,-4.7898,49,MID
J0030,249,549,556,300,307,300,-8,10,-5,0,8,-5.2554,-2.4081,9.2092,46,MID
J0031,251,521,523,270,272,270,-8,10,0,0,8,-5.2554,-2.4081,-0.3565,46,MID
J0032,260,560,600,300,340,300,6,0,0,0,8,-5.2554,-2.4081,33.8491,45,MID
J0033,260,530,538,270,278,270,6,10,-5,0,8,-5.2554,-2.4081,-3.7052,43,MID
J0034,260,560,548,300,288,300,-8,0,0,0,8,-5.2554,-2.4081,-4.5007,45,MID
J0035,284,584,572,300,288,300,-8,0,0,0,8,-5.2554,-2.4081,-4.001,44,MID
J0036,285,585,568,300,283,300,-8,0,0,0,8,-5.2554,-2.4081,-9.194,49,MID
J0037,286,586,579,300,293,300,6,10,0,0,8,-5.2554,-2.4081,-23.7863,48,MID
J0038,292,592,604,300,312,300,-8,5,9,0,8,-5.2554,-2.4081,6.0217,48,MID
J0039,297,567,599,270,302,270,6,10,9,0,8,-5.2554,-2.4081,6.1959,54,MID
J0040,309,609,603,300,294,300,-8,10,-5,0,8,-5.2554,-2.4081,-3.0052,46,MID
J0041,313,613,587,300,274,300,-8,5,9,0,8,-5.2554,-2.4081,-31.968,46,MID
J0042,315,615,628,300,313,300,-8,10,-5,0,8,-5.2554,-2.4081,15.6555,45,MID
J0043,319,589,636,270,317,270,6,10,9,0,8,-5.2554,-2.4081,21.5414,52,MID
J0044,321,621,587,300,266,300,-8,10,9,0,8,-5.2554,-2.4081,-44.9298,54,MID
J0045,322,562,556,240,234,240,-8,0,0,0,8,-5.2554,-2.4081,1.3055,43,MID
J0046,326,626,612,300,286,300,-8,10,0,0,8,-5.2554,-2.4081,-15.9513,49,MID
J0047,326,626,627,300,301,300,6,0,0,0,8,-5.2554,-2.4081,-5.4832,46,MID
J0048,333,633,650,300,317,300,-8,10,0,0,8,-5.2554,-2.4081,14.9418,45,MID
J0049,451,751,747,300,296,300,-8,0,9,0,8,-5.2554,-2.4081,-5.4826,54,MID
J0050,470,710,730,240,260,240,-8,10,0,0,8,-5.2554,-2.4081,17.8734,49,MID
J0051,489,789,764,300,275,300,-8,0,0,-12,8,-5.2554,-3.5048,-4.5005,48,LATE
J0052,502,772,770,270,268,270,-8,0,9,-12,8,-5.2554,-3.5048,9.3161,49,LATE
J0053,505,745,734,240,229,240,-8,10,0,-12,8,-5.2554,-3.5048,-0.363,49,LATE
J0054,506,776,781,270,275,270,-8,0,9,-12,8,-5.2554,-3.5048,17.1838,48,LATE
J0055,519,819,814,300,295,300,-8,10,0,-12,8,-5.2554,-3.5048,5.3782,47,LATE
J0056,523,793,786,270,263,270,-8,5,0,-12,8,-5.2554,-3.5048,8.5908,40,LATE
J0057,527,767,770,240,243,240,-8,0,9,-12,8,-5.2554,-3.5048,14.3703,48,LATE
J0058,536,836,801,300,265,300,-8,0,0,-12,8,-5.2554,-3.5048,-13.8919,44,LATE
J0059,545,845,856,300,311,300,6,10,9,-12,8,-5.2554,-3.5048,-1.5105,53,LATE
J0060,559,859,851,300,292,300,-8,0,9,-12,8,-5.2554,-3.5048,3.8592,50,LATE
J0061,561,831,834,270,273,270,-8,0,0,-12,8,-5.2554,-3.5048,23.3904,46,LATE
J0062,565,865,862,300,297,300,-8,5,-5,-12,8,-5.2554,-3.5048,18.1353,39,LATE
J0063,574,844,846,270,272,270,6,10,-5,-12,8,-5.2554,-3.5048,4.0782,47,LATE
J0064,588,828,824,240,236,240,-8,0,9,-12,8,-5.2554,-3.5048,7.6009,50,LATE
