event_time_min,event_type,entity_type,entity_id,payload_json
0,JOB_VISIBLE,JOB,J0002,"{""commodity"":""CORN"",""load_tons"":40,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0004,"{""commodity"":""CORN"",""load_tons"":38,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0005,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0009,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0012,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""CONTRACTED""}"
0,JOB_VISIBLE,JOB,J0013,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
3,JOB_VISIBLE,JOB,J0017,"{""commodity"":""CORN"",""load_tons"":37,""priority_class"":""REGULAR""}"
31,JOB_VISIBLE,JOB,J0027,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
33,JOB_VISIBLE,JOB,J0024,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
42,JOB_ARRIVAL,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""CONTRACTED""}"
42,JOB_VISIBLE,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""CONTRACTED""}"
43,JOB_ARRIVAL,JOB,J0002,"{""commodity"":""CORN"",""load_tons"":40,""priority_class"":""REGULAR""}"
44,JOB_VISIBLE,JOB,J0021,"{""commodity"":""SORGHUM"",""load_tons"":36,""priority_class"":""REGULAR""}"
52,JOB_VISIBLE,JOB,J0030,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""REGULAR""}"
56,JOB_ARRIVAL,JOB,J0003,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
56,JOB_VISIBLE,JOB,J0003,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
58,JOB_ARRIVAL,JOB,J0004,"{""commodity"":""CORN"",""load_tons"":38,""priority_class"":""REGULAR""}"
58,JOB_VISIBLE,JOB,J0006,"{""commodity"":""SORGHUM"",""load_tons"":35,""priority_class"":""URGENT""}"
64,JOB_ARRIVAL,JOB,J0005,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
72,JOB_ARRIVAL,JOB,J0006,"{""commodity"":""SORGHUM"",""load_tons"":35,""priority_class"":""URGENT""}"
73,JOB_VISIBLE,JOB,J0022,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
75,JOB_VISIBLE,JOB,J0029,"{""commodity"":""CORN"",""load_tons"":38,""priority_class"":""REGULAR""}"
75,JOB_VISIBLE,JOB,J0033,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""CONTRACTED""}"
85,JOB_ARRIVAL,JOB,J0007,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
85,JOB_VISIBLE,JOB,J0007,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
87,JOB_ARRIVAL,JOB,J0008,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""CONTRACTED""}"
87,JOB_VISIBLE,JOB,J0008,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""CONTRACTED""}"
96,JOB_VISIBLE,JOB,J0038,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
100,JOB_ARRIVAL,JOB,J0009,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
107,JOB_VISIBLE,JOB,J0018,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
