job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,86,44,0,0
J0002,91,48,0,0
J0003,103,47,0,0
J0004,106,48,0,0
J0005,114,50,4,0
J0006,121,49,0,0
J0007,139,54,0,0
J0008,139,52,0,0
J0009,154,54,0,0
J0010,171,48,0,0
J0011,171,48,0,0
J0012,186,58,4,0
J0013,197,63,8,0
J0014,201,58,2,0
J0015,206,61,15,0
J0016,246,46,0,0
J0017,253,49,4,0
J0018,260,50,0,0
J0019,264,49,2,0
J0020,271,52,4,0
J0021,275,53,9,0
J0022,287,58,11,0
J0023,294,55,0,0
J0024,296,55,6,0
J0025,313,71,19,0
J0026,323,69,13,0
J0027,326,66,6,0
J0028,324,59,5,0
J0029,338,54,7,0
J0030,351,66,12,0
J0031,347,62,10,0
J0032,363,74,16,0
J0033,360,66,17,0
J0034,367,72,28,0
J0035,385,86,33,0
J0036,378,77,30,0
J0037,395,83,23,0
J0038,391,73,26,0
J0039,411,89,38,0
J0040,400,70,24,0
J0041,416,61,18,0
J0042,414,53,5,0
J0043,439,73,18,0
J0044,425,53,3,0
J0045,516,51,0,0
J0046,517,48,0,0
J0047,527,55,5,0
J0048,540,50,2,0
J0049,551,51,3,0
J0050,554,53,0,0
J0051,560,55,7,0
J0052,561,53,11,0
J0053,573,60,18,0
J0054,584,69,8,0
J0055,588,59,9,0
J0056,595,65,19,0
J0057,588,53,4,0
J0058,609,74,24,0
J0059,614,78,25,0
J0060,624,87,29,0
J0061,635,91,35,0
J0062,642,94,40,0
J0063,650,90,38,0
J0064,643,47,0,0
