job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,SOY,35,42,42,CONTRACTED,1.25,0,DRY,300,315,1.4058,EARLY,0.3939726887458798
J0002,CORN,40,43,0,REGULAR,1.0,1,NORMAL,300,327,1.6067,EARLY,0.4049599748862031
J0003,SOY,37,56,56,REGULAR,1.0,0,NORMAL,300,379,1.4862,EARLY,0.5069847747606341
J0004,CORN,38,58,0,REGULAR,1.0,1,NORMAL,300,354,1.5263,EARLY,0.516402448595197
J0005,SOY,38,64,0,REGULAR,1.0,1,NORMAL,300,359,1.5263,EARLY,0.5289593470412809
J0006,SORGHUM,35,72,58,URGENT,1.75,1,WET,300,328,1.4058,EARLY,0.5477946947104065
J0007,SOY,38,85,85,REGULAR,1.0,0,WET,300,414,1.5263,EARLY,0.5681996546852928
J0008,SOY,38,87,87,CONTRACTED,1.25,0,NORMAL,300,378,1.5263,EARLY,0.5713388792968137
J0009,SOY,36,100,0,REGULAR,1.0,1,WET,300,398,1.446,EARLY,0.5509339193219275
J0010,SOY,40,123,123,REGULAR,1.0,0,NORMAL,300,435,1.6067,EARLY,0.5258201224297598
J0011,CORN,38,123,123,REGULAR,1.0,0,NORMAL,300,446,1.5263,EARLY,0.5258201224297598
J0012,SOY,40,128,0,CONTRACTED,1.25,1,NORMAL,300,408,1.6067,EARLY,0.5085543870663947
J0013,SOY,36,134,0,REGULAR,1.0,1,WET,300,454,1.446,EARLY,0.47402291633966415
J0014,SOY,38,143,143,REGULAR,1.0,0,WET,300,472,1.5263,EARLY,0.40809919949772416
J0015,SOY,36,145,145,REGULAR,1.0,0,NORMAL,300,473,1.446,EARLY,0.3908334641343589
J0016,CORN,44,200,200,REGULAR,1.0,0,DRY,300,507,1.7673,EARLY,0.522680897818239
J0017,CORN,37,204,3,REGULAR,1.0,1,NORMAL,300,490,1.4862,EARLY,0.5744781039083346
J0018,SOY,36,210,107,REGULAR,1.0,1,NORMAL,300,547,1.446,EARLY,0.6560979438078796
J0019,CORN,42,215,134,REGULAR,1.0,1,NORMAL,300,485,1.687,EARLY,0.7110343745094962
J0020,CORN,38,219,152,CONTRACTED,1.25,1,NORMAL,300,481,1.5263,EARLY,0.7424266206247058
J0021,SORGHUM,36,222,44,REGULAR,1.0,1,NORMAL,300,515,1.446,EARLY,0.75655313137655
J0022,CORN,42,229,73,REGULAR,1.0,1,NORMAL,300,535,1.687,EARLY,0.7879453774917596
J0023,SOY,37,239,227,URGENT,1.75,1,WET,300,506,1.4862,EARLY,0.8491602574164181
J0024,SOY,36,241,33,REGULAR,1.0,1,NORMAL,300,550,1.446,MID,0.8617171558625021
J0025,SOY,40,242,242,REGULAR,1.0,0,NORMAL,300,543,1.6067,MID,0.8664259927797834
J0026,SOY,41,254,254,REGULAR,1.0,0,WET,300,574,1.6468,MID,0.8884005650604302
J0027,SOY,37,260,31,REGULAR,1.0,1,WET,300,570,1.4862,MID,0.8915397896719511
