job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,68,47,0,0
J0002,103,51,0,0
J0003,113,55,0,0
J0004,135,48,0,0
J0005,231,50,0,0
J0006,243,52,0,0
J0007,251,58,0,0
J0008,281,54,0,0
J0009,290,53,0,0
J0010,300,49,7,0
J0011,319,63,0,0
J0012,330,54,0,0
J0013,369,57,0,0
J0014,434,48,0,0
J0015,492,51,0,0
J0016,501,48,0,0
J0017,512,59,0,0
J0018,518,53,2,0
J0019,544,77,17,0
J0020,531,58,4,0
J0021,553,58,0,0
J0022,570,67,0,0
J0023,577,72,16,0
J0024,584,77,20,0
J0025,611,96,35,0
J0026,597,82,31,0
J0027,637,53,0,0
J0028,649,61,6,0
J0029,668,65,0,0
J0030,692,51,0,0
