job_id,arrival_time_min,completion_due_nominal_min,completion_due_observed_min,due_slack_nominal_min,due_slack_observed_min,base_priority_slack_min,fixed_appointment_min,fixed_commodity_min,fixed_moisture_min,fixed_shift_min,fixed_regime_min,random_instance_min,random_shift_min,random_idio_min,nominal_processing_lb_min,shift_bucket
J0001,21,321,327,300,306,300,-8,0,0,8,0,7.6025,5.4155,-7.0678,45,EARLY
J0002,52,322,348,270,296,270,-8,10,0,8,0,7.6025,5.4155,2.8898,47,EARLY
J0003,58,358,381,300,323,300,-8,0,0,8,0,7.6025,5.4155,9.9302,49,EARLY
J0004,87,387,423,300,336,300,6,5,0,8,0,7.6025,5.4155,3.7517,45,EARLY
J0005,181,481,508,300,327,300,-8,10,-5,8,0,7.6025,5.4155,9.3797,47,EARLY
J0006,191,491,509,300,318,300,-8,0,0,8,0,7.6025,5.4155,4.7007,49,EARLY
J0007,193,493,515,300,322,300,-8,0,0,8,0,7.6025,5.4155,8.9421,47,EARLY
J0008,227,527,554,300,327,300,6,0,0,8,0,7.6025,5.4155,0.3922,50,EARLY
J0009,237,537,575,300,338,300,6,10,0,8,0,7.6025,5.4155,0.5648,50,EARLY
J0010,251,551,571,300,320,300,6,5,-5,0,0,7.6025,1.0376,5.402,39,MID
J0011,256,556,588,300,332,300,-8,10,9,0,0,7.6025,1.0376,11.8725,55,MID
J0012,276,576,584,300,308,300,-8,10,0,0,0,7.6025,1.0376,-2.426,51,MID
J0013,312,612,646,300,334,300,6,10,9,0,0,7.6025,1.0376,0.4258,52,MID
J0014,386,686,690,300,304,300,-8,5,0,0,0,7.6025,1.0376,-1.6805,47,MID
J0015,441,741,766,300,325,300,6,10,0,0,0,7.6025,1.0376,0.1755,49,MID
J0016,453,753,757,300,304,300,-8,0,0,0,0,7.6025,1.0376,3.6502,48,MID
J0017,453,753,768,300,315,300,6,10,0,0,0,7.6025,1.0376,-9.4547,51,MID
J0018,465,735,772,270,307,270,6,10,0,0,0,7.6025,1.0376,12.0503,48,MID
J0019,467,767,768,300,301,300,-8,10,0,0,0,7.6025,1.0376,-9.7018,50,MID
J0020,473,713,706,240,233,240,-8,0,0,0,0,7.6025,1.0376,-7.2233,46,MID
J0021,495,795,793,300,298,300,-8,10,9,-12,0,7.6025,-3.3252,-5.463,52,LATE
J0022,503,803,790,300,287,300,-8,0,9,-12,0,7.6025,-3.3252,-6.317,57,LATE
J0023,505,805,789,300,284,300,-8,0,-5,-12,0,7.6025,-3.3252,4.5455,48,LATE
J0024,507,807,834,300,327,300,-8,10,0,-12,0,7.6025,-3.3252,32.3025,50,LATE
J0025,515,815,810,300,295,300,-8,10,0,-12,0,7.6025,-3.3252,0.9717,52,LATE
J0026,515,815,818,300,303,300,6,0,-5,-12,0,7.6025,-3.3252,9.251,46,LATE
J0027,584,884,870,300,286,300,-8,10,-5,-12,0,7.6025,-3.3252,-3.3865,48,LATE
J0028,588,888,883,300,295,300,-8,10,-5,-12,0,7.6025,-3.3252,5.285,48,LATE
J0029,603,903,900,300,297,300,-8,0,9,-12,0,7.6025,-3.3252,4.1745,58,LATE
J0030,641,911,904,270,263,270,6,0,0,-12,0,7.6025,-3.3252,-5.5287,48,LATE
