job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,CORN,42,93,93,REGULAR,1.0,0,NORMAL,300,386,1.687,EARLY,0.18289014559018169
J0002,SOY,40,108,108,REGULAR,1.0,0,DRY,300,431,1.6067,EARLY,0.2550836241126218
J0003,SOY,41,133,66,REGULAR,1.0,1,DRY,300,435,1.6468,EARLY,0.2550836241126218
J0004,SOY,35,142,16,REGULAR,1.0,1,NORMAL,300,446,1.4058,EARLY,0.21176753699915776
J0005,SOY,35,226,101,REGULAR,1.0,1,NORMAL,300,519,1.4058,EARLY,0.6617735531223681
J0006,SOY,39,231,163,REGULAR,1.0,1,NORMAL,300,531,1.5665,EARLY,0.7484057273492961
J0007,SOY,39,235,235,REGULAR,1.0,0,WET,300,571,1.5665,EARLY,0.8157863073035736
J0008,SOY,35,248,132,REGULAR,1.0,1,DRY,300,557,1.4058,MID,0.9722055107688604
J0009,CORN,40,252,252,REGULAR,1.0,0,DRY,300,551,1.6067,MID,1.0010829021778367
J0010,SORGHUM,38,252,37,REGULAR,1.0,1,WET,300,565,1.5263,MID,1.0010829021778367
J0011,SOY,35,253,52,REGULAR,1.0,1,NORMAL,300,564,1.4058,MID,0.9986764528937552
J0012,CORN,40,259,246,URGENT,1.75,1,NORMAL,300,492,1.6067,MID,0.9553603657802912
J0013,SOY,41,283,283,REGULAR,1.0,0,WET,300,586,1.6468,MID,0.6665864516905305
J0014,CORN,43,290,83,CONTRACTED,1.25,1,WET,300,564,1.7272,MID,0.5582962339068704
J0015,SOY,35,291,213,REGULAR,1.0,1,WET,300,605,1.4058,MID,0.5390446396342197
J0016,CORN,41,351,250,REGULAR,1.0,1,WET,300,647,1.6468,MID,0.32727710263506193
J0017,SOY,39,359,221,REGULAR,1.0,1,WET,300,657,1.5665,MID,0.36578029118036337
J0018,SOY,38,368,364,URGENT,1.75,1,NORMAL,300,599,1.5263,MID,0.37781253760077005
J0019,SOY,38,370,200,REGULAR,1.0,1,WET,300,685,1.5263,MID,0.37781253760077005
J0020,SORGHUM,38,423,423,REGULAR,1.0,0,NORMAL,300,730,1.5263,MID,0.2911803633738419
J0021,SOY,35,428,428,REGULAR,1.0,0,NORMAL,300,717,1.4058,MID,0.3032126097942485
J0022,SORGHUM,30,462,450,URGENT,1.75,1,DRY,300,695,1.205,MID,0.4764769582481049
J0023,CORN,34,462,241,REGULAR,1.0,1,WET,300,729,1.3657,MID,0.4764769582481049
J0024,SOY,35,471,376,REGULAR,1.0,1,NORMAL,300,793,1.4058,MID,0.45481891469137287
J0025,SOY,41,497,497,REGULAR,1.0,0,NORMAL,300,788,1.6468,LATE,0.348935146191794
J0026,CORN,39,507,507,REGULAR,1.0,0,NORMAL,300,815,1.5665,LATE,0.32487065335098064
J0027,SOY,40,547,547,REGULAR,1.0,0,NORMAL,300,849,1.6067,LATE,0.1949223920105884
J0028,CORN,38,556,494,REGULAR,1.0,1,NORMAL,300,838,1.5263,LATE,0.1516063048971243
J0029,CORN,40,625,478,REGULAR,1.0,1,DRY,300,900,1.6067,LATE,0.13716760919263626
J0030,SOY,40,628,628,CONTRACTED,1.25,0,WET,300,908,1.6067,LATE,0.13716760919263626
