job_id,op_seq,machine_id,proc_time_min,setup_included
J0001,1,WB1,7,1
J0001,1,WB2,8,1
J0001,2,LAB1,13,1
J0001,2,LAB2,12,1
J0001,3,HOP1,29,1
J0001,3,HOP3,25,1
J0001,4,WB1,8,1
J0001,4,WB2,6,1
J0002,1,WB1,7,1
J0002,1,WB2,8,1
J0002,2,LAB1,11,1
J0002,2,LAB2,11,1
J0002,3,HOP1,24,1
J0002,3,HOP3,22,1
J0002,4,WB1,5,1
J0002,4,WB2,7,1
J0003,1,WB1,7,1
J0003,1,WB2,8,1
J0003,2,LAB1,13,1
J0003,2,LAB2,12,1
J0003,3,HOP1,28,1
J0003,3,HOP2,32,1
J0003,3,HOP3,24,1
J0003,4,WB1,7,1
J0003,4,WB2,6,1
J0004,1,WB1,7,1
J0004,1,WB2,8,1
J0004,2,LAB1,11,1
J0004,2,LAB2,12,1
J0004,3,HOP1,28,1
J0004,3,HOP2,30,1
J0004,3,HOP3,25,1
J0004,4,WB1,6,1
J0004,4,WB2,7,1
J0005,1,WB1,7,1
J0005,1,WB2,8,1
J0005,2,LAB1,10,1
J0005,2,LAB2,12,1
J0005,3,HOP1,28,1
J0005,3,HOP2,29,1
J0005,3,HOP3,23,1
J0005,4,WB1,6,1
J0005,4,WB2,6,1
J0006,1,WB1,7,1
J0006,1,WB2,8,1
J0006,2,LAB1,12,1
J0006,2,LAB2,12,1
J0006,3,HOP1,36,1
J0006,3,HOP3,26,1
J0006,4,WB1,6,1
J0006,4,WB2,6,1
J0007,1,WB1,7,1
J0007,1,WB2,7,1
J0007,2,LAB1,9,1
J0007,2,LAB2,11,1
J0007,3,HOP2,26,1
J0007,3,HOP3,19,1
J0007,4,WB1,5,1
J0007,4,WB2,6,1
J0008,1,WB1,7,1
J0008,1,WB2,8,1
J0008,2,LAB1,10,1
J0008,2,LAB2,13,1
J0008,3,HOP1,24,1
J0008,3,HOP2,27,1
J0008,3,HOP3,22,1
J0008,4,WB1,6,1
J0008,4,WB2,6,1
J0009,1,WB1,8,1
J0009,1,WB2,7,1
J0009,2,LAB1,14,1
J0009,2,LAB2,14,1
J0009,3,HOP1,28,1
J0009,3,HOP3,25,1
J0009,4,WB1,6,1
J0009,4,WB2,6,1
J0010,1,WB1,7,1
J0010,1,WB2,8,1
J0010,2,LAB1,14,1
J0010,2,LAB2,12,1
J0010,3,HOP1,29,1
J0010,3,HOP2,34,1
J0010,3,HOP3,26,1
J0010,4,WB1,6,1
J0010,4,WB2,6,1
J0011,1,WB1,8,1
J0011,1,WB2,7,1
J0011,2,LAB1,10,1
J0011,2,LAB2,11,1
J0011,3,HOP1,24,1
J0011,3,HOP2,25,1
J0011,3,HOP3,20,1
J0011,4,WB1,6,1
J0011,4,WB2,6,1
J0012,1,WB1,8,1
J0012,1,WB2,8,1
J0012,2,LAB1,11,1
J0012,2,LAB2,14,1
J0012,3,HOP1,27,1
J0012,3,HOP2,31,1
J0012,3,HOP3,23,1
J0012,4,WB1,6,1
J0012,4,WB2,7,1
J0013,1,WB1,7,1
J0013,1,WB2,7,1
J0013,2,LAB1,13,1
J0013,2,LAB2,14,1
J0013,3,HOP1,28,1
J0013,3,HOP3,28,1
J0013,4,WB1,6,1
J0013,4,WB2,6,1
J0014,1,WB1,7,1
J0014,1,WB2,7,1
J0014,2,LAB1,14,1
J0014,2,LAB2,17,1
J0014,3,HOP1,35,1
J0014,3,HOP2,41,1
J0014,3,HOP3,32,1
J0014,4,WB1,6,1
J0014,4,WB2,6,1
