event_time_min,event_type,entity_type,entity_id,payload_json
0,JOB_VISIBLE,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0002,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
38,JOB_VISIBLE,JOB,J0006,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
67,JOB_ARRIVAL,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
112,JOB_VISIBLE,JOB,J0009,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
118,JOB_VISIBLE,JOB,J0013,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
123,JOB_ARRIVAL,JOB,J0002,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
144,JOB_ARRIVAL,JOB,J0003,"{""commodity"":""CORN"",""load_tons"":43,""priority_class"":""REGULAR""}"
144,JOB_VISIBLE,JOB,J0003,"{""commodity"":""CORN"",""load_tons"":43,""priority_class"":""REGULAR""}"
148,JOB_ARRIVAL,JOB,J0004,"{""commodity"":""CORN"",""load_tons"":38,""priority_class"":""REGULAR""}"
148,JOB_VISIBLE,JOB,J0004,"{""commodity"":""CORN"",""load_tons"":38,""priority_class"":""REGULAR""}"
148,JOB_VISIBLE,JOB,J0011,"{""commodity"":""CORN"",""load_tons"":34,""priority_class"":""REGULAR""}"
164,JOB_ARRIVAL,JOB,J0005,"{""commodity"":""CORN"",""load_tons"":40,""priority_class"":""REGULAR""}"
164,JOB_VISIBLE,JOB,J0005,"{""commodity"":""CORN"",""load_tons"":40,""priority_class"":""REGULAR""}"
183,JOB_VISIBLE,JOB,J0018,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
187,JOB_VISIBLE,JOB,J0007,"{""commodity"":""SORGHUM"",""load_tons"":30,""priority_class"":""URGENT""}"
194,JOB_ARRIVAL,JOB,J0006,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
196,JOB_ARRIVAL,JOB,J0007,"{""commodity"":""SORGHUM"",""load_tons"":30,""priority_class"":""URGENT""}"
201,JOB_VISIBLE,JOB,J0008,"{""commodity"":""CORN"",""load_tons"":34,""priority_class"":""URGENT""}"
203,JOB_ARRIVAL,JOB,J0008,"{""commodity"":""CORN"",""load_tons"":34,""priority_class"":""URGENT""}"
245,JOB_VISIBLE,JOB,J0023,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
251,JOB_ARRIVAL,JOB,J0009,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
255,JOB_VISIBLE,JOB,J0017,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""CONTRACTED""}"
270,JOB_VISIBLE,JOB,J0020,"{""commodity"":""CORN"",""load_tons"":34,""priority_class"":""REGULAR""}"
285,JOB_VISIBLE,JOB,J0012,"{""commodity"":""CORN"",""load_tons"":40,""priority_class"":""URGENT""}"
290,JOB_ARRIVAL,JOB,J0010,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""REGULAR""}"
290,JOB_VISIBLE,JOB,J0010,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""REGULAR""}"
293,JOB_ARRIVAL,JOB,J0011,"{""commodity"":""CORN"",""load_tons"":34,""priority_class"":""REGULAR""}"
297,JOB_ARRIVAL,JOB,J0012,"{""commodity"":""CORN"",""load_tons"":40,""priority_class"":""URGENT""}"
297,JOB_VISIBLE,JOB,J0019,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""CONTRACTED""}"
322,JOB_VISIBLE,JOB,J0021,"{""commodity"":""SORGHUM"",""load_tons"":35,""priority_class"":""REGULAR""}"
324,JOB_ARRIVAL,JOB,J0013,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
338,JOB_VISIBLE,JOB,J0015,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""URGENT""}"
346,JOB_ARRIVAL,JOB,J0014,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""REGULAR""}"
346,JOB_VISIBLE,JOB,J0014,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""REGULAR""}"
349,JOB_ARRIVAL,JOB,J0015,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""URGENT""}"
362,JOB_ARRIVAL,JOB,J0016,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
362,JOB_VISIBLE,JOB,J0016,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
369,JOB_ARRIVAL,JOB,J0017,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""CONTRACTED""}"
371,JOB_ARRIVAL,JOB,J0018,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
373,JOB_VISIBLE,JOB,J0022,"{""commodity"":""SORGHUM"",""load_tons"":34,""priority_class"":""REGULAR""}"
388,JOB_ARRIVAL,JOB,J0019,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""CONTRACTED""}"
404,JOB_ARRIVAL,JOB,J0020,"{""commodity"":""CORN"",""load_tons"":34,""priority_class"":""REGULAR""}"
418,JOB_VISIBLE,JOB,J0030,"{""commodity"":""CORN"",""load_tons"":44,""priority_class"":""REGULAR""}"
454,JOB_ARRIVAL,JOB,J0021,"{""commodity"":""SORGHUM"",""load_tons"":35,""priority_class"":""REGULAR""}"
460,JOB_ARRIVAL,JOB,J0022,"{""commodity"":""SORGHUM"",""load_tons"":34,""priority_class"":""REGULAR""}"
461,JOB_ARRIVAL,JOB,J0023,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
472,JOB_ARRIVAL,JOB,J0024,"{""commodity"":""SORGHUM"",""load_tons"":34,""priority_class"":""REGULAR""}"
472,JOB_VISIBLE,JOB,J0024,"{""commodity"":""SORGHUM"",""load_tons"":34,""priority_class"":""REGULAR""}"
473,JOB_ARRIVAL,JOB,J0025,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
473,JOB_VISIBLE,JOB,J0025,"{""commodity"":""CORN"",""load_tons"":42,""priority_class"":""REGULAR""}"
