job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB1,67,74,0
J0001,2,SAMPLE_CLASSIFY,LAB2,74,86,0
J0001,3,UNLOAD,HOP3,86,111,0
J0001,4,WEIGH_OUT,WB2,111,117,0
J0002,1,WEIGH_IN,WB1,123,130,0
J0002,2,SAMPLE_CLASSIFY,LAB1,130,141,0
J0002,3,UNLOAD,HOP3,141,163,0
J0002,4,WEIGH_OUT,WB1,163,168,0
J0003,1,WEIGH_IN,WB1,144,151,0
J0003,2,SAMPLE_CLASSIFY,LAB2,151,163,0
J0003,3,UNLOAD,HOP3,163,187,0
J0003,4,WEIGH_OUT,WB2,187,193,0
J0004,1,WEIGH_IN,WB2,148,156,0
J0004,2,SAMPLE_CLASSIFY,LAB1,156,167,0
J0004,3,UNLOAD,HOP1,167,195,0
J0004,4,WEIGH_OUT,WB1,195,201,0
J0005,1,WEIGH_IN,WB2,164,172,0
J0005,2,SAMPLE_CLASSIFY,LAB1,172,182,0
J0005,3,UNLOAD,HOP3,187,210,5
J0005,4,WEIGH_OUT,WB1,210,216,0
J0006,1,WEIGH_IN,WB2,194,202,0
J0006,2,SAMPLE_CLASSIFY,LAB1,202,214,0
J0006,3,UNLOAD,HOP3,214,240,0
J0006,4,WEIGH_OUT,WB1,240,246,0
J0007,1,WEIGH_IN,WB1,201,208,5
J0007,2,SAMPLE_CLASSIFY,LAB2,208,219,0
J0007,3,UNLOAD,HOP2,219,245,0
J0007,4,WEIGH_OUT,WB2,245,251,0
J0008,1,WEIGH_IN,WB2,203,211,0
J0008,2,SAMPLE_CLASSIFY,LAB1,214,224,3
J0008,3,UNLOAD,HOP1,224,248,0
J0008,4,WEIGH_OUT,WB1,248,254,0
J0009,1,WEIGH_IN,WB2,251,258,0
J0009,2,SAMPLE_CLASSIFY,LAB1,258,272,0
J0009,3,UNLOAD,HOP3,272,297,0
J0009,4,WEIGH_OUT,WB1,297,303,0
J0010,1,WEIGH_IN,WB1,290,297,0
J0010,2,SAMPLE_CLASSIFY,LAB2,297,309,0
J0010,3,UNLOAD,HOP3,309,335,0
J0010,4,WEIGH_OUT,WB1,335,341,0
J0011,1,WEIGH_IN,WB2,293,300,0
J0011,2,SAMPLE_CLASSIFY,LAB1,300,310,0
J0011,3,UNLOAD,HOP1,310,334,0
J0011,4,WEIGH_OUT,WB2,334,340,0
J0012,1,WEIGH_IN,WB2,300,308,3
J0012,2,SAMPLE_CLASSIFY,LAB1,310,321,2
J0012,3,UNLOAD,HOP2,321,352,0
J0012,4,WEIGH_OUT,WB1,352,358,0
J0013,1,WEIGH_IN,WB1,324,331,0
J0013,2,SAMPLE_CLASSIFY,LAB1,331,344,0
J0013,3,UNLOAD,HOP1,344,372,0
J0013,4,WEIGH_OUT,WB1,372,378,0
J0014,1,WEIGH_IN,WB2,346,353,0
J0014,2,SAMPLE_CLASSIFY,LAB1,353,367,0
J0014,3,UNLOAD,HOP3,367,399,0
J0014,4,WEIGH_OUT,WB1,399,405,0
J0015,1,WEIGH_IN,WB2,353,361,4
J0015,2,SAMPLE_CLASSIFY,LAB2,361,379,0
J0015,3,UNLOAD,HOP1,379,413,0
J0015,4,WEIGH_OUT,WB1,413,419,0
J0016,1,WEIGH_IN,WB1,362,370,0
J0016,2,SAMPLE_CLASSIFY,LAB1,370,380,0
J0016,3,UNLOAD,HOP2,380,409,0
J0016,4,WEIGH_OUT,WB2,409,415,0
J0017,1,WEIGH_IN,WB2,369,376,0
J0017,2,SAMPLE_CLASSIFY,LAB1,380,396,4
J0017,3,UNLOAD,HOP3,399,429,3
J0017,4,WEIGH_OUT,WB1,429,435,0
J0018,1,WEIGH_IN,WB2,376,384,5
J0018,2,SAMPLE_CLASSIFY,LAB2,384,402,0
J0018,3,UNLOAD,HOP1,413,448,11
J0018,4,WEIGH_OUT,WB1,448,453,0
J0019,1,WEIGH_IN,WB1,388,396,0
J0019,2,SAMPLE_CLASSIFY,LAB1,396,408,0
J0019,3,UNLOAD,HOP2,409,443,1
J0019,4,WEIGH_OUT,WB2,443,450,0
J0020,1,WEIGH_IN,WB1,405,411,1
J0020,2,SAMPLE_CLASSIFY,LAB1,411,424,0
J0020,3,UNLOAD,HOP3,429,450,5
J0020,4,WEIGH_OUT,WB2,450,456,0
J0021,1,WEIGH_IN,WB1,454,461,0
J0021,2,SAMPLE_CLASSIFY,LAB1,461,475,0
J0021,3,UNLOAD,HOP3,475,504,0
J0021,4,WEIGH_OUT,WB1,504,510,0
J0022,1,WEIGH_IN,WB2,460,467,0
J0022,2,SAMPLE_CLASSIFY,LAB2,467,477,0
J0022,3,UNLOAD,HOP2,477,501,0
J0022,4,WEIGH_OUT,WB2,501,507,0
J0023,1,WEIGH_IN,WB1,461,469,0
J0023,2,SAMPLE_CLASSIFY,LAB1,475,488,6
J0023,3,UNLOAD,HOP1,488,514,0
J0023,4,WEIGH_OUT,WB1,514,519,0
J0024,1,WEIGH_IN,WB1,472,479,0
J0024,2,SAMPLE_CLASSIFY,LAB2,479,491,0
J0024,3,UNLOAD,HOP3,504,525,13
J0024,4,WEIGH_OUT,WB1,525,530,0
J0025,1,WEIGH_IN,WB2,473,482,0
J0025,2,SAMPLE_CLASSIFY,LAB1,488,500,6
J0025,3,UNLOAD,HOP2,501,534,1
J0025,4,WEIGH_OUT,WB1,534,540,0
J0026,1,WEIGH_IN,WB1,547,554,0
J0026,2,SAMPLE_CLASSIFY,LAB1,554,564,0
J0026,3,UNLOAD,HOP3,564,585,0
J0026,4,WEIGH_OUT,WB1,585,591,0
J0027,1,WEIGH_IN,WB2,548,556,0
J0027,2,SAMPLE_CLASSIFY,LAB2,556,567,0
J0027,3,UNLOAD,HOP2,567,591,0
J0027,4,WEIGH_OUT,WB2,591,597,0
J0028,1,WEIGH_IN,WB1,591,598,7
J0028,2,SAMPLE_CLASSIFY,LAB1,598,609,0
J0028,3,UNLOAD,HOP3,609,633,0
J0028,4,WEIGH_OUT,WB1,633,638,0
J0029,1,WEIGH_IN,WB1,599,607,0
J0029,2,SAMPLE_CLASSIFY,LAB2,607,621,0
J0029,3,UNLOAD,HOP1,621,651,0
J0029,4,WEIGH_OUT,WB1,651,657,0
J0030,1,WEIGH_IN,WB1,638,645,0
J0030,2,SAMPLE_CLASSIFY,LAB1,645,655,0
J0030,3,UNLOAD,HOP3,655,682,0
J0030,4,WEIGH_OUT,WB1,682,688,0
