job_id,op_seq,machine_id,stage_name,proc_time_nominal_min,proc_time_observed_min,machine_latent_log,shift_latent_log,instance_latent_log,regime_log,congestion_log,commodity_log,moisture_log,idio_log,additive_pause_min,arrival_congestion_score,shift_bucket,commodity,moisture_class
J0001,1,WB1,WEIGH_IN,7,7,-0.00017,0.01099,-0.00062,0.0,0.0003,0.0,0.0,0.03101,0,0.01497,EARLY,SOY,NORMAL
J0001,1,WB2,WEIGH_IN,8,8,-0.00969,0.01099,-0.00062,0.0,0.0003,0.0,0.0,0.01913,0,0.01497,EARLY,SOY,NORMAL
J0001,2,LAB1,SAMPLE_CLASSIFY,12,13,-0.02606,-0.01805,0.01768,0.0,0.00052,0.02,0.0,0.00066,1,0.01497,EARLY,SOY,NORMAL
J0001,2,LAB2,SAMPLE_CLASSIFY,12,12,0.00897,-0.01805,0.01768,0.0,0.00052,0.02,0.0,0.00793,0,0.01497,EARLY,SOY,NORMAL
J0001,3,HOP1,UNLOAD,26,29,0.05634,0.00753,-0.01073,0.0,0.00075,0.01,0.0,0.04704,0,0.01497,EARLY,SOY,NORMAL
J0001,3,HOP3,UNLOAD,24,25,-0.00831,0.00753,-0.01073,0.0,0.00075,0.01,0.0,0.02919,0,0.01497,EARLY,SOY,NORMAL
J0001,4,WB1,WEIGH_OUT,6,8,-0.00017,-0.00285,0.00048,0.0,0.00022,0.0,0.0,-0.0084,2,0.01497,EARLY,SOY,NORMAL
J0001,4,WB2,WEIGH_OUT,6,6,-0.00969,-0.00285,0.00048,0.0,0.00022,0.0,0.0,-0.01938,0,0.01497,EARLY,SOY,NORMAL
J0002,1,WB1,WEIGH_IN,7,7,-0.00017,0.01099,-0.00062,0.0,0.00726,0.0,0.0,-0.0065,0,0.36302,EARLY,SOY,DRY
J0002,1,WB2,WEIGH_IN,8,8,-0.00969,0.01099,-0.00062,0.0,0.00726,0.0,0.0,-0.00876,0,0.36302,EARLY,SOY,DRY
J0002,2,LAB1,SAMPLE_CLASSIFY,11,11,-0.02606,-0.01805,0.01768,0.0,0.01271,0.02,-0.02,-0.00686,0,0.36302,EARLY,SOY,DRY
J0002,2,LAB2,SAMPLE_CLASSIFY,11,11,0.00897,-0.01805,0.01768,0.0,0.01271,0.02,-0.02,-0.02601,0,0.36302,EARLY,SOY,DRY
J0002,3,HOP1,UNLOAD,24,24,0.05634,0.00753,-0.01073,0.0,0.01815,0.01,-0.01,-0.05074,0,0.36302,EARLY,SOY,DRY
J0002,3,HOP3,UNLOAD,22,22,-0.00831,0.00753,-0.01073,0.0,0.01815,0.01,-0.01,-0.02516,0,0.36302,EARLY,SOY,DRY
J0002,4,WB1,WEIGH_OUT,5,5,-0.00017,-0.00285,0.00048,0.0,0.00545,0.0,0.0,-0.00527,0,0.36302,EARLY,SOY,DRY
J0002,4,WB2,WEIGH_OUT,7,7,-0.00969,-0.00285,0.00048,0.0,0.00545,0.0,0.0,-0.01044,0,0.36302,EARLY,SOY,DRY
J0003,1,WB1,WEIGH_IN,7,7,-0.00017,0.01099,-0.00062,0.0,0.01153,0.0,0.0,0.00111,0,0.57635,EARLY,CORN,DRY
J0003,1,WB2,WEIGH_IN,8,8,-0.00969,0.01099,-0.00062,0.0,0.01153,0.0,0.0,0.01279,0,0.57635,EARLY,CORN,DRY
J0003,2,LAB1,SAMPLE_CLASSIFY,10,13,-0.02606,-0.01805,0.01768,0.0,0.02017,0.0,-0.02,-0.0051,3,0.57635,EARLY,CORN,DRY
J0003,2,LAB2,SAMPLE_CLASSIFY,11,12,0.00897,-0.01805,0.01768,0.0,0.02017,0.0,-0.02,0.01425,1,0.57635,EARLY,CORN,DRY
J0003,3,HOP1,UNLOAD,27,28,0.05634,0.00753,-0.01073,0.0,0.02882,0.0,-0.01,-0.04257,0,0.57635,EARLY,CORN,DRY
J0003,3,HOP2,UNLOAD,30,32,0.05072,0.00753,-0.01073,0.0,0.02882,0.0,-0.01,-0.00241,0,0.57635,EARLY,CORN,DRY
J0003,3,HOP3,UNLOAD,25,24,-0.00831,0.00753,-0.01073,0.0,0.02882,0.0,-0.01,-0.03256,0,0.57635,EARLY,CORN,DRY
J0003,4,WB1,WEIGH_OUT,7,7,-0.00017,-0.00285,0.00048,0.0,0.00865,0.0,0.0,-0.02,0,0.57635,EARLY,CORN,DRY
J0003,4,WB2,WEIGH_OUT,6,6,-0.00969,-0.00285,0.00048,0.0,0.00865,0.0,0.0,-0.02313,0,0.57635,EARLY,CORN,DRY
J0004,1,WB1,WEIGH_IN,7,7,-0.00017,0.01099,-0.00062,0.0,0.01243,0.0,0.0,0.02341,0,0.62126,EARLY,CORN,NORMAL
J0004,1,WB2,WEIGH_IN,8,8,-0.00969,0.01099,-0.00062,0.0,0.01243,0.0,0.0,0.02818,0,0.62126,EARLY,CORN,NORMAL
J0004,2,LAB1,SAMPLE_CLASSIFY,11,11,-0.02606,-0.01805,0.01768,0.0,0.02174,0.0,0.0,-0.01558,0,0.62126,EARLY,CORN,NORMAL
J0004,2,LAB2,SAMPLE_CLASSIFY,11,12,0.00897,-0.01805,0.01768,0.0,0.02174,0.0,0.0,0.02173,0,0.62126,EARLY,CORN,NORMAL
J0004,3,HOP1,UNLOAD,25,28,0.05634,0.00753,-0.01073,0.0,0.03106,0.0,0.0,0.02863,0,0.62126,EARLY,CORN,NORMAL
J0004,3,HOP2,UNLOAD,28,30,0.05072,0.00753,-0.01073,0.0,0.03106,0.0,0.0,-0.01839,0,0.62126,EARLY,CORN,NORMAL
J0004,3,HOP3,UNLOAD,23,25,-0.00831,0.00753,-0.01073,0.0,0.03106,0.0,0.0,0.06864,0,0.62126,EARLY,CORN,NORMAL
J0004,4,WB1,WEIGH_OUT,6,6,-0.00017,-0.00285,0.00048,0.0,0.00932,0.0,0.0,0.0121,0,0.62126,EARLY,CORN,NORMAL
J0004,4,WB2,WEIGH_OUT,7,7,-0.00969,-0.00285,0.00048,0.0,0.00932,0.0,0.0,-0.00519,0,0.62126,EARLY,CORN,NORMAL
J0005,1,WB1,WEIGH_IN,7,7,-0.00017,0.01099,-0.00062,0.0,0.01362,0.0,0.0,-0.02229,0,0.68114,EARLY,CORN,DRY
J0005,1,WB2,WEIGH_IN,8,8,-0.00969,0.01099,-0.00062,0.0,0.01362,0.0,0.0,0.00624,0,0.68114,EARLY,CORN,DRY
J0005,2,LAB1,SAMPLE_CLASSIFY,10,10,-0.02606,-0.01805,0.01768,0.0,0.02384,0.0,-0.02,0.05509,0,0.68114,EARLY,CORN,DRY
J0005,2,LAB2,SAMPLE_CLASSIFY,10,12,0.00897,-0.01805,0.01768,0.0,0.02384,0.0,-0.02,0.17197,0,0.68114,EARLY,CORN,DRY
J0005,3,HOP1,UNLOAD,25,28,0.05634,0.00753,-0.01073,0.0,0.03406,0.0,-0.01,0.02316,0,0.68114,EARLY,CORN,DRY
J0005,3,HOP2,UNLOAD,28,29,0.05072,0.00753,-0.01073,0.0,0.03406,0.0,-0.01,-0.0238,0,0.68114,EARLY,CORN,DRY
J0005,3,HOP3,UNLOAD,23,23,-0.00831,0.00753,-0.01073,0.0,0.03406,0.0,-0.01,-0.00821,0,0.68114,EARLY,CORN,DRY
J0005,4,WB1,WEIGH_OUT,6,6,-0.00017,-0.00285,0.00048,0.0,0.01022,0.0,0.0,-0.00422,0,0.68114,EARLY,CORN,DRY
J0005,4,WB2,WEIGH_OUT,6,6,-0.00969,-0.00285,0.00048,0.0,0.01022,0.0,0.0,-0.0207,0,0.68114,EARLY,CORN,DRY
J0006,1,WB1,WEIGH_IN,7,7,-0.00017,0.01099,-0.00062,0.0,0.01243,0.0,0.0,0.02274,0,0.62126,EARLY,SOY,NORMAL
J0006,1,WB2,WEIGH_IN,8,8,-0.00969,0.01099,-0.00062,0.0,0.01243,0.0,0.0,-0.00057,0,0.62126,EARLY,SOY,NORMAL
J0006,2,LAB1,SAMPLE_CLASSIFY,12,12,-0.02606,-0.01805,0.01768,0.0,0.02174,0.02,0.0,-0.03163,0,0.62126,EARLY,SOY,NORMAL
