job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,92,53,0,0
J0002,99,58,0,0
J0003,111,63,4,0
J0004,132,78,17,0
J0005,116,47,0,0
J0006,139,69,12,0
J0007,163,92,34,0
J0008,169,95,33,0
J0009,143,63,14,0
J0010,167,85,34,0
J0011,196,107,41,0
J0012,194,105,52,0
J0013,218,127,71,0
J0014,233,141,74,0
J0015,250,155,89,0
J0016,264,165,108,0
J0017,216,110,53,0
J0018,277,142,85,0
J0019,262,59,0,0
J0020,292,87,27,0
J0021,293,65,8,0
J0022,303,65,10,0
J0023,323,81,23,0
J0024,319,74,24,0
J0025,329,75,23,0
J0026,345,90,38,0
J0027,356,100,41,0
J0028,362,91,28,0
J0029,374,97,43,0
J0030,391,111,42,0
J0031,397,110,55,0
J0032,403,98,43,0
J0033,415,74,22,0
J0034,436,94,32,0
J0035,459,95,39,0
J0036,489,49,0,0
J0037,498,50,0,0
J0038,523,71,9,0
J0039,528,65,5,0
J0040,560,52,0,0
