job_id,arrival_time_min,arrival_congestion_score,shift_bucket
J0001,39,0.503283890487787,EARLY
J0002,41,0.5446092539295994,EARLY
J0003,48,0.6715371559294518,EARLY
J0004,54,0.7689469411851525,EARLY
J0005,69,0.9681942292081767,EARLY
J0006,70,0.9785255700686298,EARLY
J0007,71,0.9859050992546676,EARLY
J0008,74,0.999188251789536,EARLY
J0009,80,1.0154232159988195,EARLY
J0010,82,1.0154232159988195,EARLY
J0011,89,0.9947605342779132,EARLY
J0012,89,0.9947605342779132,EARLY
J0013,91,0.9770496642314223,EARLY
J0014,92,0.9652424175337615,EARLY
J0015,95,0.9209652424175339,EARLY
J0016,99,0.8501217622315697,EARLY
J0017,106,0.7231938602317173,EARLY
J0018,135,0.2184340639067228,EARLY
J0019,203,0.26713895653457315,EARLY
J0020,205,0.28780163825547933,EARLY
J0021,228,0.5121393255110325,EARLY
J0022,238,0.6154527341155636,EARLY
J0023,242,0.6449708508597152,MID
J0024,245,0.6582540033945835,MID
J0025,254,0.6848203084643201,MID
J0026,255,0.6848203084643201,MID
J0027,256,0.6818684967899049,MID
J0028,271,0.613976828278356,MID
J0029,277,0.5785550881853738,MID
J0030,280,0.5519887831156373,MID
J0031,287,0.48557302044129597,MID
J0032,305,0.3143679433252159,MID
J0033,341,0.18596413548815588,MID
J0034,342,0.1844882296509483,MID
J0035,364,0.11216884362777656,MID
J0036,440,0.20219909969743932,MID
J0037,448,0.2258135930927607,MID
J0038,452,0.23171721644159105,MID
J0039,463,0.21548225223230763,MID
J0040,508,0.02804221090694414,LATE
