job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB1,25,32,0
J0001,2,SAMPLE_CLASSIFY,LAB1,32,50,0
J0001,3,UNLOAD,HOP3,50,81,0
J0001,4,WEIGH_OUT,WB1,81,87,0
J0002,1,WEIGH_IN,WB2,25,34,0
J0002,2,SAMPLE_CLASSIFY,LAB2,34,50,0
J0002,3,UNLOAD,HOP1,50,76,0
J0002,4,WEIGH_OUT,WB2,76,82,0
J0003,1,WEIGH_IN,WB1,32,39,1
J0003,2,SAMPLE_CLASSIFY,LAB2,50,62,11
J0003,3,UNLOAD,HOP1,76,104,14
J0003,4,WEIGH_OUT,WB1,104,110,0
J0004,1,WEIGH_IN,WB1,53,60,0
J0004,2,SAMPLE_CLASSIFY,LAB1,60,75,0
J0004,3,UNLOAD,HOP3,81,107,6
J0004,4,WEIGH_OUT,WB2,107,114,0
J0005,1,WEIGH_IN,WB2,59,67,0
J0005,2,SAMPLE_CLASSIFY,LAB2,67,82,0
J0005,3,UNLOAD,HOP2,82,119,0
J0005,4,WEIGH_OUT,WB1,119,125,0
J0006,1,WEIGH_IN,WB2,82,89,5
J0006,2,SAMPLE_CLASSIFY,LAB2,89,106,0
J0006,3,UNLOAD,HOP1,106,135,0
J0006,4,WEIGH_OUT,WB1,135,141,0
J0007,1,WEIGH_IN,WB1,87,94,8
J0007,2,SAMPLE_CLASSIFY,LAB1,94,108,0
J0007,3,UNLOAD,HOP3,108,134,0
J0007,4,WEIGH_OUT,WB2,134,140,0
J0008,1,WEIGH_IN,WB2,89,96,10
J0008,2,SAMPLE_CLASSIFY,LAB2,106,118,10
J0008,3,UNLOAD,HOP2,119,148,1
J0008,4,WEIGH_OUT,WB1,148,153,0
J0009,1,WEIGH_IN,WB1,94,101,6
J0009,2,SAMPLE_CLASSIFY,LAB1,108,121,7
J0009,3,UNLOAD,HOP3,134,163,13
J0009,4,WEIGH_OUT,WB1,163,169,0
J0010,1,WEIGH_IN,WB2,96,103,5
J0010,2,SAMPLE_CLASSIFY,LAB2,118,130,15
J0010,3,UNLOAD,HOP1,135,161,5
J0010,4,WEIGH_OUT,WB2,161,167,0
J0011,1,WEIGH_IN,WB1,110,118,13
J0011,2,SAMPLE_CLASSIFY,LAB1,121,134,3
J0011,3,UNLOAD,HOP2,148,181,14
J0011,4,WEIGH_OUT,WB1,181,187,0
J0012,1,WEIGH_IN,WB1,193,201,0
J0012,2,SAMPLE_CLASSIFY,LAB2,201,216,0
J0012,3,UNLOAD,HOP3,216,242,0
J0012,4,WEIGH_OUT,WB1,242,247,0
J0013,1,WEIGH_IN,WB2,202,209,0
J0013,2,SAMPLE_CLASSIFY,LAB1,209,224,0
J0013,3,UNLOAD,HOP1,224,259,0
J0013,4,WEIGH_OUT,WB2,259,265,0
J0014,1,WEIGH_IN,WB1,206,214,0
J0014,2,SAMPLE_CLASSIFY,LAB2,216,229,2
J0014,3,UNLOAD,HOP2,229,263,0
J0014,4,WEIGH_OUT,WB1,263,269,0
J0015,1,WEIGH_IN,WB2,209,217,1
J0015,2,SAMPLE_CLASSIFY,LAB1,224,237,7
J0015,3,UNLOAD,HOP3,242,269,5
J0015,4,WEIGH_OUT,WB1,269,275,0
J0016,1,WEIGH_IN,WB1,221,229,0
J0016,2,SAMPLE_CLASSIFY,LAB2,229,240,0
J0016,3,UNLOAD,HOP1,259,290,19
J0016,4,WEIGH_OUT,WB1,290,296,0
J0017,1,WEIGH_IN,WB2,239,247,0
J0017,2,SAMPLE_CLASSIFY,LAB1,247,261,0
J0017,3,UNLOAD,HOP3,269,295,8
J0017,4,WEIGH_OUT,WB2,295,302,0
J0018,1,WEIGH_IN,WB1,247,255,5
J0018,2,SAMPLE_CLASSIFY,LAB2,255,273,0
J0018,3,UNLOAD,HOP1,290,322,17
J0018,4,WEIGH_OUT,WB1,322,327,0
J0019,1,WEIGH_IN,WB2,247,254,4
J0019,2,SAMPLE_CLASSIFY,LAB1,261,274,7
J0019,3,UNLOAD,HOP3,295,320,21
J0019,4,WEIGH_OUT,WB2,320,326,0
J0020,1,WEIGH_IN,WB2,265,272,7
J0020,2,SAMPLE_CLASSIFY,LAB2,273,286,1
J0020,3,UNLOAD,HOP3,320,348,34
J0020,4,WEIGH_OUT,WB1,348,353,0
J0021,1,WEIGH_IN,WB2,272,280,12
J0021,2,SAMPLE_CLASSIFY,LAB1,280,293,0
J0021,3,UNLOAD,HOP2,293,328,0
J0021,4,WEIGH_OUT,WB1,328,334,0
J0022,1,WEIGH_IN,WB1,275,282,13
J0022,2,SAMPLE_CLASSIFY,LAB2,286,299,4
J0022,3,UNLOAD,HOP1,322,349,23
J0022,4,WEIGH_OUT,WB1,353,359,4
J0023,1,WEIGH_IN,WB2,280,288,18
J0023,2,SAMPLE_CLASSIFY,LAB1,293,307,5
J0023,3,UNLOAD,HOP3,348,377,41
J0023,4,WEIGH_OUT,WB1,377,383,0
J0024,1,WEIGH_IN,WB1,296,305,31
J0024,2,SAMPLE_CLASSIFY,LAB2,305,322,0
J0024,3,UNLOAD,HOP1,349,389,27
J0024,4,WEIGH_OUT,WB1,389,397,0
J0025,1,WEIGH_IN,WB1,282,290,16
J0025,2,SAMPLE_CLASSIFY,LAB1,307,320,17
J0025,3,UNLOAD,HOP3,377,402,57
J0025,4,WEIGH_OUT,WB1,402,409,0
J0026,1,WEIGH_IN,WB2,302,310,26
J0026,2,SAMPLE_CLASSIFY,LAB1,320,337,10
J0026,3,UNLOAD,HOP1,389,424,52
J0026,4,WEIGH_OUT,WB1,424,430,0
J0027,1,WEIGH_IN,WB1,305,314,10
J0027,2,SAMPLE_CLASSIFY,LAB1,337,352,23
J0027,3,UNLOAD,HOP3,402,430,50
J0027,4,WEIGH_OUT,WB1,430,436,0
J0028,1,WEIGH_IN,WB2,310,318,11
J0028,2,SAMPLE_CLASSIFY,LAB1,352,366,34
J0028,3,UNLOAD,HOP1,424,453,58
J0028,4,WEIGH_OUT,WB1,453,458,0
J0029,1,WEIGH_IN,WB1,314,321,4
J0029,2,SAMPLE_CLASSIFY,LAB2,322,331,1
J0029,3,UNLOAD,HOP2,331,363,0
J0029,4,WEIGH_OUT,WB1,363,369,0
J0030,1,WEIGH_IN,WB2,326,334,6
J0030,2,SAMPLE_CLASSIFY,LAB1,366,380,32
J0030,3,UNLOAD,HOP3,430,461,50
J0030,4,WEIGH_OUT,WB1,461,467,0
J0031,1,WEIGH_IN,WB2,433,440,0
J0031,2,SAMPLE_CLASSIFY,LAB1,440,452,0
J0031,3,UNLOAD,HOP1,453,481,1
J0031,4,WEIGH_OUT,WB1,481,487,0
J0032,1,WEIGH_IN,WB1,436,444,3
J0032,2,SAMPLE_CLASSIFY,LAB2,444,457,0
J0032,3,UNLOAD,HOP3,461,489,4
J0032,4,WEIGH_OUT,WB1,489,495,0
J0033,1,WEIGH_IN,WB2,440,447,0
J0033,2,SAMPLE_CLASSIFY,LAB1,452,467,5
J0033,3,UNLOAD,HOP1,481,506,14
J0033,4,WEIGH_OUT,WB1,506,512,0
J0034,1,WEIGH_IN,WB2,453,460,0
J0034,2,SAMPLE_CLASSIFY,LAB2,460,473,0
J0034,3,UNLOAD,HOP3,489,512,16
J0034,4,WEIGH_OUT,WB1,512,518,0
J0035,1,WEIGH_IN,WB1,467,474,0
J0035,2,SAMPLE_CLASSIFY,LAB2,474,487,0
J0035,3,UNLOAD,HOP3,512,545,25
J0035,4,WEIGH_OUT,WB1,545,551,0
J0036,1,WEIGH_IN,WB1,474,481,0
J0036,2,SAMPLE_CLASSIFY,LAB1,481,495,0
J0036,3,UNLOAD,HOP1,506,535,11
J0036,4,WEIGH_OUT,WB1,535,541,0
J0037,1,WEIGH_IN,WB2,483,490,0
J0037,2,SAMPLE_CLASSIFY,LAB2,490,508,0
J0037,3,UNLOAD,HOP1,535,560,27
J0037,4,WEIGH_OUT,WB1,560,566,0
J0038,1,WEIGH_IN,WB2,492,499,0
J0038,2,SAMPLE_CLASSIFY,LAB1,499,513,0
J0038,3,UNLOAD,HOP3,545,573,32
J0038,4,WEIGH_OUT,WB1,573,579,0
J0039,1,WEIGH_IN,WB1,495,503,0
J0039,2,SAMPLE_CLASSIFY,LAB2,508,522,5
J0039,3,UNLOAD,HOP1,560,586,38
J0039,4,WEIGH_OUT,WB1,586,592,0
J0040,1,WEIGH_IN,WB2,499,506,2
J0040,2,SAMPLE_CLASSIFY,LAB1,513,525,7
J0040,3,UNLOAD,HOP3,573,601,48
J0040,4,WEIGH_OUT,WB1,601,607,0
