event_time_min,event_type,entity_type,entity_id,payload_json
0,JOB_VISIBLE,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0002,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0003,"{""commodity"":""CORN"",""load_tons"":45,""priority_class"":""CONTRACTED""}"
0,JOB_VISIBLE,JOB,J0005,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0006,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0007,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0008,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0013,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0015,"{""commodity"":""CORN"",""load_tons"":40,""priority_class"":""REGULAR""}"
5,JOB_VISIBLE,JOB,J0023,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""CONTRACTED""}"
14,JOB_VISIBLE,JOB,J0010,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""CONTRACTED""}"
29,JOB_VISIBLE,JOB,J0022,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
36,JOB_ARRIVAL,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
41,JOB_ARRIVAL,JOB,J0002,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
45,JOB_ARRIVAL,JOB,J0003,"{""commodity"":""CORN"",""load_tons"":45,""priority_class"":""CONTRACTED""}"
47,JOB_VISIBLE,JOB,J0021,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
49,JOB_ARRIVAL,JOB,J0004,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
49,JOB_VISIBLE,JOB,J0004,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
50,JOB_ARRIVAL,JOB,J0005,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
53,JOB_ARRIVAL,JOB,J0006,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
59,JOB_VISIBLE,JOB,J0016,"{""commodity"":""CORN"",""load_tons"":43,""priority_class"":""CONTRACTED""}"
67,JOB_ARRIVAL,JOB,J0007,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
76,JOB_ARRIVAL,JOB,J0008,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
80,JOB_VISIBLE,JOB,J0029,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
82,JOB_ARRIVAL,JOB,J0009,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""CONTRACTED""}"
82,JOB_VISIBLE,JOB,J0009,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""CONTRACTED""}"
82,JOB_VISIBLE,JOB,J0011,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""URGENT""}"
88,JOB_ARRIVAL,JOB,J0010,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""CONTRACTED""}"
90,JOB_VISIBLE,JOB,J0014,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""URGENT""}"
92,JOB_VISIBLE,JOB,J0012,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""URGENT""}"
93,JOB_ARRIVAL,JOB,J0011,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""URGENT""}"
95,JOB_ARRIVAL,JOB,J0012,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""URGENT""}"
101,JOB_VISIBLE,JOB,J0017,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""CONTRACTED""}"
104,JOB_ARRIVAL,JOB,J0013,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
