job_id,arrival_time_min,completion_due_nominal_min,completion_due_observed_min,due_slack_nominal_min,due_slack_observed_min,base_priority_slack_min,fixed_appointment_min,fixed_commodity_min,fixed_moisture_min,fixed_shift_min,fixed_regime_min,random_instance_min,random_shift_min,random_idio_min,nominal_processing_lb_min,shift_bucket
J0001,36,336,383,300,347,300,-8,10,9,8,18,4.589,-2.1364,7.3266,55,EARLY
J0002,41,341,393,300,352,300,-8,10,9,8,18,4.589,-2.1364,12.3712,55,EARLY
J0003,45,315,312,270,267,270,-8,0,0,8,18,4.589,-2.1364,-23.67,51,EARLY
J0004,49,349,315,300,266,300,6,10,-5,8,18,4.589,-2.1364,-73.8158,47,EARLY
J0005,50,350,390,300,340,300,-8,10,-5,8,18,4.589,-2.1364,14.9219,49,EARLY
J0006,53,353,377,300,324,300,-8,10,-5,8,18,4.589,-2.1364,-1.3293,51,EARLY
J0007,67,367,389,300,322,300,-8,10,0,8,18,4.589,-2.1364,-8.3153,51,EARLY
J0008,76,376,407,300,331,300,-8,10,-5,8,18,4.589,-2.1364,5.052,48,EARLY
J0009,82,352,407,270,325,270,6,10,9,8,18,4.589,-2.1364,1.6721,54,EARLY
J0010,88,358,385,270,297,270,-8,10,0,8,18,4.589,-2.1364,-3.4074,49,EARLY
J0011,93,333,362,240,269,240,-8,10,9,8,18,4.589,-2.1364,-10.1963,54,EARLY
J0012,95,335,364,240,269,240,-8,10,0,8,18,4.589,-2.1364,-0.9816,48,EARLY
J0013,104,404,412,300,308,300,-8,10,0,8,18,4.589,-2.1364,-22.6871,52,EARLY
J0014,105,345,385,240,280,240,-8,10,-5,8,18,4.589,-2.1364,14.2717,48,EARLY
J0015,113,413,433,300,320,300,-8,0,-5,8,18,4.589,-2.1364,4.6031,46,EARLY
J0016,121,391,408,270,287,270,-8,0,0,8,18,4.589,-2.1364,-3.2009,49,EARLY
J0017,191,461,491,270,300,270,-8,10,9,8,18,4.589,-2.1364,-9.5086,53,EARLY
J0018,193,493,516,300,323,300,-8,5,0,8,18,4.589,-2.1364,-2.4783,46,EARLY
J0019,218,518,558,300,340,300,6,5,0,8,18,4.589,-2.1364,0.8411,46,EARLY
J0020,235,475,479,240,244,240,-8,0,0,8,18,4.589,-2.1364,-16.5653,46,EARLY
J0021,237,537,578,300,341,300,-8,10,0,8,18,4.589,-2.1364,10.5363,49,EARLY
J0022,238,538,579,300,341,300,-8,10,9,8,18,4.589,-2.1364,1.3947,55,EARLY
J0023,245,515,500,270,255,270,-8,10,0,0,18,4.589,-4.0447,-35.4015,49,MID
J0024,247,547,559,300,312,300,6,0,0,0,18,4.589,-4.0447,-12.9064,46,MID
J0025,258,528,548,270,290,270,6,10,0,0,18,4.589,-4.0447,-14.7437,49,MID
J0026,259,559,575,300,316,300,-8,10,0,0,18,4.589,-4.0447,-5.0436,49,MID
J0027,273,573,637,300,364,300,6,10,9,0,18,4.589,-4.0447,20.5719,55,MID
J0028,275,545,602,270,327,270,6,0,0,0,18,4.589,-4.0447,32.77,45,MID
J0029,291,591,628,300,337,300,-8,10,9,0,18,4.589,-4.0447,6.9587,54,MID
J0030,292,532,545,240,253,240,-8,0,0,0,18,4.589,-4.0447,2.757,45,MID
J0031,316,556,583,240,267,240,-8,10,9,0,18,4.589,-4.0447,-2.9968,52,MID
J0032,465,765,780,300,315,300,-8,5,0,0,18,4.589,-4.0447,-0.4642,45,MID
J0033,466,766,820,300,354,300,6,10,0,0,18,4.589,-4.0447,19.6135,47,MID
J0034,470,770,770,300,300,300,-8,0,0,0,18,4.589,-4.0447,-10.5126,50,MID
J0035,476,716,732,240,256,240,-8,10,0,0,18,4.589,-4.0447,-4.9911,49,MID
J0036,479,779,823,300,344,300,6,0,0,0,18,4.589,-4.0447,19.1587,49,MID
J0037,479,749,767,270,288,270,-8,10,-5,0,18,4.589,-4.0447,2.4596,47,MID
J0038,482,782,864,300,382,300,6,10,0,-12,18,4.589,5.1341,50.2753,49,LATE
J0039,486,786,798,300,312,300,-8,0,9,-12,18,4.589,5.1341,-4.5557,56,LATE
J0040,531,831,843,300,312,300,-8,0,9,-12,18,4.589,5.1341,-4.7981,54,LATE
