job_id,op_seq,machine_id,stage_name,proc_time_nominal_min,proc_time_observed_min,machine_latent_log,shift_latent_log,instance_latent_log,regime_log,congestion_log,commodity_log,moisture_log,idio_log,additive_pause_min,arrival_congestion_score,shift_bucket,commodity,moisture_class
J0001,1,WB1,WEIGH_IN,7,7,-0.01987,0.01261,0.00017,0.02,0.01256,0.0,0.0,0.00869,0,0.62822,EARLY,SOY,WET
J0001,1,WB2,WEIGH_IN,8,8,-0.02605,0.01261,0.00017,0.02,0.01256,0.0,0.0,-0.01101,0,0.62822,EARLY,SOY,WET
J0001,2,LAB1,SAMPLE_CLASSIFY,14,17,0.06403,0.01869,-0.00533,0.03,0.02199,0.02,0.045,0.02728,0,0.62822,EARLY,SOY,WET
J0001,2,LAB2,SAMPLE_CLASSIFY,16,21,-0.00507,0.01869,-0.00533,0.03,0.02199,0.02,0.045,0.04186,2,0.62822,EARLY,SOY,WET
J0001,3,HOP1,UNLOAD,30,32,-0.01843,-0.00156,0.00211,0.04,0.03141,0.01,0.028,-0.03918,0,0.62822,EARLY,SOY,WET
J0001,3,HOP3,UNLOAD,28,30,-0.01919,-0.00156,0.00211,0.04,0.03141,0.01,0.028,-0.00996,0,0.62822,EARLY,SOY,WET
J0001,4,WB1,WEIGH_OUT,6,6,-0.01987,-0.00995,0.01324,0.015,0.00942,0.0,0.0,-0.00871,0,0.62822,EARLY,SOY,WET
J0001,4,WB2,WEIGH_OUT,6,6,-0.02605,-0.00995,0.01324,0.015,0.00942,0.0,0.0,0.01228,0,0.62822,EARLY,SOY,WET
J0002,1,WB1,WEIGH_IN,8,8,-0.01987,0.01261,0.00017,0.02,0.01455,0.0,0.0,0.00705,0,0.72731,EARLY,SOY,WET
J0002,1,WB2,WEIGH_IN,7,9,-0.02605,0.01261,0.00017,0.02,0.01455,0.0,0.0,-0.00023,2,0.72731,EARLY,SOY,WET
J0002,2,LAB1,SAMPLE_CLASSIFY,13,16,0.06403,0.01869,-0.00533,0.03,0.02546,0.02,0.045,-0.01398,0,0.72731,EARLY,SOY,WET
J0002,2,LAB2,SAMPLE_CLASSIFY,15,17,-0.00507,0.01869,-0.00533,0.03,0.02546,0.02,0.045,0.01215,0,0.72731,EARLY,SOY,WET
J0002,3,HOP1,UNLOAD,32,34,-0.01843,-0.00156,0.00211,0.04,0.03637,0.01,0.028,-0.02809,0,0.72731,EARLY,SOY,WET
J0002,3,HOP3,UNLOAD,29,32,-0.01919,-0.00156,0.00211,0.04,0.03637,0.01,0.028,0.00221,0,0.72731,EARLY,SOY,WET
J0002,4,WB1,WEIGH_OUT,6,6,-0.01987,-0.00995,0.01324,0.015,0.01091,0.0,0.0,0.00259,0,0.72731,EARLY,SOY,WET
J0002,4,WB2,WEIGH_OUT,7,7,-0.02605,-0.00995,0.01324,0.015,0.01091,0.0,0.0,0.01356,0,0.72731,EARLY,SOY,WET
J0003,1,WB1,WEIGH_IN,7,7,-0.01987,0.01261,0.00017,0.02,0.01585,0.0,0.0,-0.01913,0,0.79271,EARLY,CORN,NORMAL
J0003,1,WB2,WEIGH_IN,8,9,-0.02605,0.01261,0.00017,0.02,0.01585,0.0,0.0,0.0396,0,0.79271,EARLY,CORN,NORMAL
J0003,2,LAB1,SAMPLE_CLASSIFY,11,13,0.06403,0.01869,-0.00533,0.03,0.02774,0.0,0.0,0.01453,0,0.79271,EARLY,CORN,NORMAL
J0003,2,LAB2,SAMPLE_CLASSIFY,12,14,-0.00507,0.01869,-0.00533,0.03,0.02774,0.0,0.0,0.0558,0,0.79271,EARLY,CORN,NORMAL
J0003,3,HOP1,UNLOAD,29,30,-0.01843,-0.00156,0.00211,0.04,0.03964,0.0,0.0,-0.01772,0,0.79271,EARLY,CORN,NORMAL
J0003,3,HOP2,UNLOAD,32,33,-0.05572,-0.00156,0.00211,0.04,0.03964,0.0,0.0,0.01323,0,0.79271,EARLY,CORN,NORMAL
J0003,3,HOP3,UNLOAD,27,27,-0.01919,-0.00156,0.00211,0.04,0.03964,0.0,0.0,-0.0455,0,0.79271,EARLY,CORN,NORMAL
