job_id,op_seq,machine_id,stage_name,proc_time_nominal_min,proc_time_observed_min,machine_latent_log,shift_latent_log,instance_latent_log,regime_log,congestion_log,commodity_log,moisture_log,idio_log,additive_pause_min,arrival_congestion_score,shift_bucket,commodity,moisture_class
J0001,1,WB1,WEIGH_IN,8,9,0.01202,0.01974,0.00428,0.01,0.0106,0.0,0.0,0.01821,0,0.53005,EARLY,CORN,NORMAL
J0001,1,WB2,WEIGH_IN,8,8,-0.0552,0.01974,0.00428,0.01,0.0106,0.0,0.0,0.0207,0,0.53005,EARLY,CORN,NORMAL
J0001,2,LAB1,SAMPLE_CLASSIFY,11,12,0.02526,0.00955,0.01397,0.018,0.01855,0.0,0.0,0.00593,0,0.53005,EARLY,CORN,NORMAL
J0001,2,LAB2,SAMPLE_CLASSIFY,12,12,-0.0372,0.00955,0.01397,0.018,0.01855,0.0,0.0,-0.01632,0,0.53005,EARLY,CORN,NORMAL
J0001,3,HOP1,UNLOAD,28,36,0.04115,0.02261,0.02648,0.022,0.0265,0.0,0.0,-0.01601,4,0.53005,EARLY,CORN,NORMAL
J0001,3,HOP2,UNLOAD,31,37,0.01792,0.02261,0.02648,0.022,0.0265,0.0,0.0,0.05705,0,0.53005,EARLY,CORN,NORMAL
J0001,3,HOP3,UNLOAD,26,27,-0.06202,0.02261,0.02648,0.022,0.0265,0.0,0.0,-0.00188,0,0.53005,EARLY,CORN,NORMAL
J0001,4,WB1,WEIGH_OUT,6,6,0.01202,0.01026,0.00786,0.008,0.00795,0.0,0.0,0.0195,0,0.53005,EARLY,CORN,NORMAL
J0001,4,WB2,WEIGH_OUT,7,7,-0.0552,0.01026,0.00786,0.008,0.00795,0.0,0.0,-0.00647,0,0.53005,EARLY,CORN,NORMAL
J0002,1,WB1,WEIGH_IN,7,7,0.01202,0.01974,0.00428,0.01,0.01082,0.0,0.0,-0.00229,0,0.54098,EARLY,CORN,WET
J0002,1,WB2,WEIGH_IN,8,8,-0.0552,0.01974,0.00428,0.01,0.01082,0.0,0.0,-0.0174,0,0.54098,EARLY,CORN,WET
J0002,2,LAB1,SAMPLE_CLASSIFY,12,14,0.02526,0.00955,0.01397,0.018,0.01893,0.0,0.045,-0.00874,0,0.54098,EARLY,CORN,WET
J0002,2,LAB2,SAMPLE_CLASSIFY,15,16,-0.0372,0.00955,0.01397,0.018,0.01893,0.0,0.045,-0.03279,0,0.54098,EARLY,CORN,WET
J0002,3,HOP1,UNLOAD,32,36,0.04115,0.02261,0.02648,0.022,0.02705,0.0,0.028,-0.08023,1,0.54098,EARLY,CORN,WET
J0002,3,HOP2,UNLOAD,36,38,0.01792,0.02261,0.02648,0.022,0.02705,0.0,0.028,-0.10006,0,0.54098,EARLY,CORN,WET
J0002,3,HOP3,UNLOAD,30,32,-0.06202,0.02261,0.02648,0.022,0.02705,0.0,0.028,-0.01531,0,0.54098,EARLY,CORN,WET
J0002,4,WB1,WEIGH_OUT,6,6,0.01202,0.01026,0.00786,0.008,0.00811,0.0,0.0,-0.03586,0,0.54098,EARLY,CORN,WET
J0002,4,WB2,WEIGH_OUT,7,7,-0.0552,0.01026,0.00786,0.008,0.00811,0.0,0.0,0.00248,0,0.54098,EARLY,CORN,WET
J0003,1,WB1,WEIGH_IN,8,11,0.01202,0.01974,0.00428,0.01,0.01213,0.0,0.0,0.00791,2,0.60656,EARLY,SOY,NORMAL
J0003,1,WB2,WEIGH_IN,7,7,-0.0552,0.01974,0.00428,0.01,0.01213,0.0,0.0,0.01871,0,0.60656,EARLY,SOY,NORMAL
J0003,2,LAB1,SAMPLE_CLASSIFY,13,16,0.02526,0.00955,0.01397,0.018,0.02123,0.02,0.0,0.10341,0,0.60656,EARLY,SOY,NORMAL
J0003,2,LAB2,SAMPLE_CLASSIFY,12,14,-0.0372,0.00955,0.01397,0.018,0.02123,0.02,0.0,0.07227,0,0.60656,EARLY,SOY,NORMAL
J0003,3,HOP1,UNLOAD,28,33,0.04115,0.02261,0.02648,0.022,0.03033,0.01,0.0,0.0108,0,0.60656,EARLY,SOY,NORMAL
J0003,3,HOP3,UNLOAD,26,27,-0.06202,0.02261,0.02648,0.022,0.03033,0.01,0.0,-0.00318,0,0.60656,EARLY,SOY,NORMAL
J0003,4,WB1,WEIGH_OUT,6,6,0.01202,0.01026,0.00786,0.008,0.0091,0.0,0.0,0.00485,0,0.60656,EARLY,SOY,NORMAL
J0003,4,WB2,WEIGH_OUT,6,6,-0.0552,0.01026,0.00786,0.008,0.0091,0.0,0.0,-0.0124,0,0.60656,EARLY,SOY,NORMAL
J0004,1,WB1,WEIGH_IN,8,8,0.01202,0.01974,0.00428,0.01,0.01497,0.0,0.0,-0.00245,0,0.74863,EARLY,SOY,WET
J0004,1,WB2,WEIGH_IN,7,7,-0.0552,0.01974,0.00428,0.01,0.01497,0.0,0.0,-0.01369,0,0.74863,EARLY,SOY,WET
J0004,2,LAB1,SAMPLE_CLASSIFY,13,17,0.02526,0.00955,0.01397,0.018,0.0262,0.02,0.045,0.01072,2,0.74863,EARLY,SOY,WET
J0004,2,LAB2,SAMPLE_CLASSIFY,16,17,-0.0372,0.00955,0.01397,0.018,0.0262,0.02,0.045,-0.01234,0,0.74863,EARLY,SOY,WET
J0004,3,HOP1,UNLOAD,31,39,0.04115,0.02261,0.02648,0.022,0.03743,0.01,0.028,-0.08688,5,0.74863,EARLY,SOY,WET
J0004,3,HOP3,UNLOAD,29,31,-0.06202,0.02261,0.02648,0.022,0.03743,0.01,0.028,-0.01991,0,0.74863,EARLY,SOY,WET
J0004,4,WB1,WEIGH_OUT,6,6,0.01202,0.01026,0.00786,0.008,0.01123,0.0,0.0,0.02072,0,0.74863,EARLY,SOY,WET
J0004,4,WB2,WEIGH_OUT,6,6,-0.0552,0.01026,0.00786,0.008,0.01123,0.0,0.0,-0.00091,0,0.74863,EARLY,SOY,WET
J0005,1,WB1,WEIGH_IN,7,8,0.01202,0.01974,0.00428,0.01,0.01546,0.0,0.0,-0.00518,1,0.77322,EARLY,SOY,NORMAL
J0005,1,WB2,WEIGH_IN,8,7,-0.0552,0.01974,0.00428,0.01,0.01546,0.0,0.0,-0.0636,0,0.77322,EARLY,SOY,NORMAL
J0005,2,LAB1,SAMPLE_CLASSIFY,12,13,0.02526,0.00955,0.01397,0.018,0.02706,0.02,0.0,-0.0113,0,0.77322,EARLY,SOY,NORMAL
J0005,2,LAB2,SAMPLE_CLASSIFY,13,13,-0.0372,0.00955,0.01397,0.018,0.02706,0.02,0.0,-0.03208,0,0.77322,EARLY,SOY,NORMAL
J0005,3,HOP1,UNLOAD,27,31,0.04115,0.02261,0.02648,0.022,0.03866,0.01,0.0,-0.02108,0,0.77322,EARLY,SOY,NORMAL
J0005,3,HOP3,UNLOAD,25,26,-0.06202,0.02261,0.02648,0.022,0.03866,0.01,0.0,-0.00125,0,0.77322,EARLY,SOY,NORMAL
J0005,4,WB1,WEIGH_OUT,6,6,0.01202,0.01026,0.00786,0.008,0.0116,0.0,0.0,0.01181,0,0.77322,EARLY,SOY,NORMAL
J0005,4,WB2,WEIGH_OUT,6,6,-0.0552,0.01026,0.00786,0.008,0.0116,0.0,0.0,0.0046,0,0.77322,EARLY,SOY,NORMAL
J0006,1,WB1,WEIGH_IN,8,8,0.01202,0.01974,0.00428,0.01,0.01984,0.0,0.0,-0.00704,0,0.9918,EARLY,CORN,WET
