job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,55,49,0,0
J0002,107,56,0,0
J0003,107,55,3,0
J0004,137,78,19,0
J0005,136,61,6,0
J0006,165,81,27,0
J0007,166,81,25,0
J0008,195,99,43,0
J0009,170,71,15,0
J0010,198,96,36,0
J0011,233,111,43,0
J0012,226,91,40,0
J0013,201,53,2,0
J0014,254,66,13,0
J0015,256,57,2,0
J0016,278,47,0,0
J0017,296,59,0,0
J0018,307,69,12,0
J0019,297,47,4,0
J0020,324,72,17,0
J0021,337,78,19,0
J0022,352,89,37,0
J0023,363,99,48,0
J0024,337,73,17,0
J0025,370,96,39,0
J0026,388,101,37,0
J0027,389,93,42,0
J0028,403,100,41,0
J0029,421,117,54,0
J0030,420,109,49,0
J0031,444,122,71,0
J0032,429,103,55,0
J0033,451,108,51,0
J0034,479,49,0,0
J0035,500,48,0,0
J0036,520,49,0,0
J0037,523,47,2,0
J0038,586,48,0,0
J0039,590,48,0,0
J0040,677,49,0,0
