job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB1,6,13,0
J0001,2,SAMPLE_CLASSIFY,LAB1,13,23,0
J0001,3,UNLOAD,HOP3,23,49,0
J0001,4,WEIGH_OUT,WB2,49,55,0
J0002,1,WEIGH_IN,WB1,51,59,0
J0002,2,SAMPLE_CLASSIFY,LAB1,59,69,0
J0002,3,UNLOAD,HOP1,69,101,0
J0002,4,WEIGH_OUT,WB1,101,107,0
J0003,1,WEIGH_IN,WB2,55,62,3
J0003,2,SAMPLE_CLASSIFY,LAB2,62,74,0
J0003,3,UNLOAD,HOP3,74,101,0
J0003,4,WEIGH_OUT,WB2,101,107,0
J0004,1,WEIGH_IN,WB1,59,66,0
J0004,2,SAMPLE_CLASSIFY,LAB1,69,85,3
J0004,3,UNLOAD,HOP1,101,131,16
J0004,4,WEIGH_OUT,WB1,131,137,0
J0005,1,WEIGH_IN,WB1,75,83,0
J0005,2,SAMPLE_CLASSIFY,LAB2,83,95,0
J0005,3,UNLOAD,HOP3,101,130,6
J0005,4,WEIGH_OUT,WB2,130,136,0
J0006,1,WEIGH_IN,WB2,84,91,0
J0006,2,SAMPLE_CLASSIFY,LAB1,91,103,0
J0006,3,UNLOAD,HOP3,130,159,27
J0006,4,WEIGH_OUT,WB1,159,165,0
J0007,1,WEIGH_IN,WB1,85,94,0
J0007,2,SAMPLE_CLASSIFY,LAB2,95,107,1
J0007,3,UNLOAD,HOP1,131,160,24
J0007,4,WEIGH_OUT,WB2,160,166,0
J0008,1,WEIGH_IN,WB1,107,115,11
J0008,2,SAMPLE_CLASSIFY,LAB1,115,127,0
J0008,3,UNLOAD,HOP3,159,189,32
J0008,4,WEIGH_OUT,WB1,189,195,0
J0009,1,WEIGH_IN,WB2,107,115,8
J0009,2,SAMPLE_CLASSIFY,LAB2,115,128,0
J0009,3,UNLOAD,HOP2,128,158,0
J0009,4,WEIGH_OUT,WB1,165,170,7
J0010,1,WEIGH_IN,WB1,115,123,13
J0010,2,SAMPLE_CLASSIFY,LAB1,127,141,4
J0010,3,UNLOAD,HOP1,160,192,19
J0010,4,WEIGH_OUT,WB2,192,198,0
J0011,1,WEIGH_IN,WB2,122,129,0
J0011,2,SAMPLE_CLASSIFY,LAB2,129,146,0
J0011,3,UNLOAD,HOP3,189,227,43
J0011,4,WEIGH_OUT,WB1,227,233,0
J0012,1,WEIGH_IN,WB1,137,144,2
J0012,2,SAMPLE_CLASSIFY,LAB1,144,154,0
J0012,3,UNLOAD,HOP1,192,220,38
J0012,4,WEIGH_OUT,WB1,220,226,0
J0013,1,WEIGH_IN,WB1,148,155,0
J0013,2,SAMPLE_CLASSIFY,LAB2,155,166,0
J0013,3,UNLOAD,HOP2,166,193,0
J0013,4,WEIGH_OUT,WB1,195,201,2
J0014,1,WEIGH_IN,WB2,198,206,10
J0014,2,SAMPLE_CLASSIFY,LAB1,206,217,0
J0014,3,UNLOAD,HOP1,220,248,3
J0014,4,WEIGH_OUT,WB1,248,254,0
J0015,1,WEIGH_IN,WB1,201,207,2
J0015,2,SAMPLE_CLASSIFY,LAB2,207,218,0
J0015,3,UNLOAD,HOP2,218,248,0
J0015,4,WEIGH_OUT,WB2,248,256,0
J0016,1,WEIGH_IN,WB2,231,238,0
J0016,2,SAMPLE_CLASSIFY,LAB1,238,248,0
J0016,3,UNLOAD,HOP3,248,272,0
J0016,4,WEIGH_OUT,WB1,272,278,0
J0017,1,WEIGH_IN,WB1,237,244,0
J0017,2,SAMPLE_CLASSIFY,LAB2,244,260,0
J0017,3,UNLOAD,HOP1,260,290,0
J0017,4,WEIGH_OUT,WB1,290,296,0
J0018,1,WEIGH_IN,WB2,238,246,0
J0018,2,SAMPLE_CLASSIFY,LAB1,248,262,2
J0018,3,UNLOAD,HOP3,272,301,10
J0018,4,WEIGH_OUT,WB1,301,307,0
J0019,1,WEIGH_IN,WB1,254,260,4
J0019,2,SAMPLE_CLASSIFY,LAB2,260,269,0
J0019,3,UNLOAD,HOP2,269,291,0
J0019,4,WEIGH_OUT,WB2,291,297,0
J0020,1,WEIGH_IN,WB2,256,264,4
J0020,2,SAMPLE_CLASSIFY,LAB1,264,277,0
J0020,3,UNLOAD,HOP1,290,319,13
J0020,4,WEIGH_OUT,WB1,319,324,0
J0021,1,WEIGH_IN,WB1,260,267,1
J0021,2,SAMPLE_CLASSIFY,LAB2,269,285,2
J0021,3,UNLOAD,HOP3,301,331,16
J0021,4,WEIGH_OUT,WB1,331,337,0
J0022,1,WEIGH_IN,WB2,264,272,1
J0022,2,SAMPLE_CLASSIFY,LAB1,277,288,5
J0022,3,UNLOAD,HOP1,319,346,31
J0022,4,WEIGH_OUT,WB1,346,352,0
J0023,1,WEIGH_IN,WB2,272,279,8
