job_id,arrival_time_min,completion_due_nominal_min,completion_due_observed_min,due_slack_nominal_min,due_slack_observed_min,base_priority_slack_min,fixed_appointment_min,fixed_commodity_min,fixed_moisture_min,fixed_shift_min,fixed_regime_min,random_instance_min,random_shift_min,random_idio_min,nominal_processing_lb_min,shift_bucket
J0001,6,306,312,300,306,300,-8,10,-5,8,8,0.6934,7.2127,-14.5959,48,EARLY
J0002,51,351,367,300,316,300,-8,0,0,8,8,0.6934,7.2127,0.5815,52,EARLY
J0003,52,352,400,300,348,300,6,10,-5,8,8,0.6934,7.2127,12.9084,48,EARLY
J0004,59,359,416,300,357,300,6,10,9,8,8,0.6934,7.2127,7.9157,53,EARLY
J0005,75,375,388,300,313,300,6,10,0,8,8,0.6934,7.2127,-26.9087,51,EARLY
J0006,84,384,416,300,332,300,6,10,0,8,8,0.6934,7.2127,-8.3458,52,EARLY
J0007,85,355,401,270,316,270,6,10,0,8,8,0.6934,7.2127,5.7468,49,EARLY
J0008,96,396,433,300,337,300,-8,10,0,8,8,0.6934,7.2127,11.4118,52,EARLY
J0009,99,399,418,300,319,300,-8,0,0,8,8,0.6934,7.2127,2.8576,47,EARLY
J0010,102,372,390,270,288,270,-8,10,9,8,8,0.6934,7.2127,-16.5369,55,EARLY
J0011,122,422,476,300,354,300,6,10,9,8,8,0.6934,7.2127,4.9222,56,EARLY
J0012,135,435,460,300,325,300,-8,10,-5,8,8,0.6934,7.2127,4.1006,49,EARLY
J0013,148,448,489,300,341,300,6,0,0,8,8,0.6934,7.2127,11.0546,45,EARLY
J0014,188,458,491,270,303,270,6,10,0,8,8,0.6934,7.2127,-6.8256,50,EARLY
J0015,199,499,523,300,324,300,6,0,0,8,8,0.6934,7.2127,-6.3545,46,EARLY
J0016,231,531,557,300,326,300,-8,10,-5,8,8,0.6934,7.2127,5.215,46,EARLY
J0017,237,537,556,300,319,300,6,0,9,8,8,0.6934,7.2127,-19.6565,51,EARLY
J0018,238,538,582,300,344,300,6,10,0,8,8,0.6934,7.2127,4.553,50,EARLY
J0019,250,550,564,300,314,300,6,5,-5,0,8,0.6934,8.814,-9.1873,40,MID
J0020,252,492,510,240,258,240,-8,0,9,0,8,0.6934,8.814,-0.7746,51,MID
J0021,259,559,610,300,351,300,-8,10,9,0,8,0.6934,8.814,22.163,52,MID
J0022,263,563,598,300,335,300,6,10,0,0,8,0.6934,8.814,1.8245,47,MID
J0023,264,504,512,240,248,240,-8,10,0,0,8,0.6934,8.814,-11.46,47,MID
J0024,264,564,572,300,308,300,-8,5,9,0,8,0.6934,8.814,-15.5571,49,MID
J0025,274,574,591,300,317,300,-8,0,0,0,8,0.6934,8.814,7.4814,51,MID
J0026,287,587,616,300,329,300,-8,0,9,0,8,0.6934,8.814,10.0842,58,MID
J0027,296,596,610,300,314,300,-8,10,0,0,8,0.6934,8.814,-5.6106,48,MID
J0028,303,603,623,300,320,300,-8,0,9,0,8,0.6934,8.814,1.3285,52,MID
J0029,304,604,631,300,327,300,-8,10,9,0,8,0.6934,8.814,-1.261,54,MID
J0030,311,611,664,300,353,300,6,10,9,0,8,0.6934,8.814,10.5461,54,MID
J0031,322,592,599,270,277,270,-8,10,0,0,8,0.6934,8.814,-12.0251,48,MID
J0032,326,566,569,240,243,240,-8,0,-5,0,8,0.6934,8.814,-1.9635,44,MID
J0033,343,643,670,300,327,300,6,10,9,0,8,0.6934,8.814,-15.529,53,MID
J0034,430,670,721,240,291,240,-8,10,-5,0,8,0.6934,8.814,36.4443,48,MID
J0035,452,692,703,240,251,240,-8,0,0,0,8,0.6934,8.814,1.5944,47,MID
J0036,471,771,794,300,323,300,-8,5,-5,0,8,0.6934,8.814,13.3715,43,MID
J0037,476,746,762,270,286,270,6,0,-5,0,8,0.6934,8.814,-2.2659,44,MID
J0038,538,778,774,240,236,240,-8,10,0,-12,8,0.6934,4.6398,-6.9116,48,LATE
J0039,542,842,842,300,300,300,-8,10,0,-12,8,0.6934,4.6398,-3.0402,52,LATE
J0040,628,898,941,270,313,270,6,10,0,-12,8,0.6934,4.6398,25.4972,50,LATE
