job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,SOY,39,6,0,REGULAR,1.0,1,DRY,300,312,1.5665,EARLY,0.06778384485031068
J0002,CORN,45,51,0,REGULAR,1.0,1,NORMAL,300,367,1.8075,EARLY,0.47260402937299945
J0003,SOY,39,52,52,REGULAR,1.0,0,DRY,300,400,1.5665,EARLY,0.4839013368480512
J0004,SOY,35,59,59,REGULAR,1.0,0,WET,300,416,1.4058,EARLY,0.5366221050649596
J0005,SOY,40,75,75,REGULAR,1.0,0,NORMAL,300,388,1.6067,EARLY,0.6382978723404256
J0006,SOY,41,84,84,REGULAR,1.0,0,NORMAL,300,416,1.6468,EARLY,0.6891357559781585
J0007,SOY,37,85,85,CONTRACTED,1.25,0,NORMAL,300,401,1.4862,EARLY,0.6910186405573338
J0008,SOY,40,96,0,REGULAR,1.0,1,NORMAL,300,433,1.6067,EARLY,0.6853699868198079
J0009,CORN,38,99,0,REGULAR,1.0,1,NORMAL,300,418,1.5263,EARLY,0.6740726793447562
J0010,SOY,37,102,39,CONTRACTED,1.25,1,WET,300,390,1.4862,EARLY,0.6514780643946527
J0011,SOY,41,122,122,REGULAR,1.0,0,WET,300,476,1.6468,EARLY,0.4707211447938241
J0012,SOY,41,135,35,REGULAR,1.0,1,DRY,300,460,1.6468,EARLY,0.361513839201657
J0013,CORN,34,148,148,REGULAR,1.0,0,NORMAL,300,489,1.3657,EARLY,0.2692524948220674
J0014,SOY,37,188,188,CONTRACTED,1.25,0,NORMAL,300,491,1.4862,EARLY,0.21464884202598386
J0015,CORN,34,199,199,REGULAR,1.0,0,NORMAL,300,523,1.3657,EARLY,0.27301826398041806
J0016,SOY,35,231,0,REGULAR,1.0,1,DRY,300,557,1.4058,EARLY,0.6910186405573339
J0017,CORN,35,237,237,REGULAR,1.0,0,WET,300,556,1.4058,EARLY,0.7719826774618717
J0018,SOY,38,238,238,REGULAR,1.0,0,NORMAL,300,582,1.5263,EARLY,0.7832799849369234
J0019,SORGHUM,32,250,250,REGULAR,1.0,0,DRY,300,564,1.2853,MID,0.9019017134249669
J0020,CORN,38,252,245,URGENT,1.75,1,WET,300,510,1.5263,MID,0.9226134437958953
J0021,SOY,35,259,51,REGULAR,1.0,1,WET,300,610,1.4058,MID,0.9753342120128036
J0022,SOY,35,263,263,REGULAR,1.0,0,NORMAL,300,598,1.4058,MID,0.9998117115420825
J0023,SOY,35,264,252,URGENT,1.75,1,NORMAL,300,512,1.4058,MID,1.003577480700433
J0024,SORGHUM,34,264,36,REGULAR,1.0,1,WET,300,572,1.3657,MID,1.003577480700433
J0025,CORN,45,274,62,REGULAR,1.0,1,NORMAL,300,591,1.8075,MID,0.9809828657503296
J0026,CORN,44,287,158,REGULAR,1.0,1,WET,300,616,1.7673,MID,0.9150819054791941
J0027,SOY,36,296,154,REGULAR,1.0,1,NORMAL,300,610,1.446,MID,0.85671248352476
J0028,CORN,39,303,220,REGULAR,1.0,1,WET,300,623,1.5665,MID,0.8115232536245528
J0029,SOY,38,304,79,REGULAR,1.0,1,WET,300,631,1.5263,MID,0.8021088307286764
J0030,SOY,37,311,311,REGULAR,1.0,0,WET,300,664,1.4862,MID,0.7117303709282621
J0031,SOY,35,322,97,CONTRACTED,1.25,1,NORMAL,300,599,1.4058,MID,0.5705140274901148
J0032,CORN,35,326,312,URGENT,1.75,1,DRY,300,569,1.4058,MID,0.5234419130107324
J0033,SOY,36,343,343,REGULAR,1.0,0,WET,300,670,1.446,MID,0.31632460930144984
J0034,SOY,40,430,419,URGENT,1.75,1,DRY,300,721,1.6067,MID,0.13368480512144604
J0035,CORN,35,452,437,URGENT,1.75,1,NORMAL,300,703,1.4058,MID,0.2165317266051591
J0036,SORGHUM,37,471,314,REGULAR,1.0,1,DRY,300,794,1.4862,MID,0.2165317266051591
J0037,CORN,35,476,476,CONTRACTED,1.25,0,DRY,300,762,1.4058,MID,0.19770288081340615
J0038,SOY,35,538,534,URGENT,1.75,1,NORMAL,300,774,1.4058,LATE,0.10544153643381661
J0039,SOY,41,542,424,REGULAR,1.0,1,NORMAL,300,842,1.6468,LATE,0.10544153643381661
J0040,SOY,39,628,628,CONTRACTED,1.25,0,NORMAL,300,941,1.5665,LATE,0.0
