job_id,pred_op_seq,succ_op_seq,min_lag_min
J0001,1,2,0
J0001,2,3,0
J0001,3,4,0
J0002,1,2,0
J0002,2,3,0
J0002,3,4,0
J0003,1,2,0
J0003,2,3,0
J0003,3,4,0
J0004,1,2,0
J0004,2,3,0
J0004,3,4,0
J0005,1,2,0
J0005,2,3,0
J0005,3,4,0
J0006,1,2,0
J0006,2,3,0
J0006,3,4,0
J0007,1,2,0
J0007,2,3,0
J0007,3,4,0
J0008,1,2,0
J0008,2,3,0
J0008,3,4,0
J0009,1,2,0
J0009,2,3,0
J0009,3,4,0
J0010,1,2,0
J0010,2,3,0
J0010,3,4,0
J0011,1,2,0
J0011,2,3,0
J0011,3,4,0
J0012,1,2,0
J0012,2,3,0
J0012,3,4,0
J0013,1,2,0
J0013,2,3,0
J0013,3,4,0
J0014,1,2,0
J0014,2,3,0
J0014,3,4,0
J0015,1,2,0
J0015,2,3,0
J0015,3,4,0
J0016,1,2,0
J0016,2,3,0
J0016,3,4,0
J0017,1,2,0
J0017,2,3,0
J0017,3,4,0
J0018,1,2,0
J0018,2,3,0
J0018,3,4,0
J0019,1,2,0
J0019,2,3,0
J0019,3,4,0
J0020,1,2,0
J0020,2,3,0
J0020,3,4,0
J0021,1,2,0
J0021,2,3,0
J0021,3,4,0
J0022,1,2,0
J0022,2,3,0
J0022,3,4,0
J0023,1,2,0
J0023,2,3,0
J0023,3,4,0
J0024,1,2,0
J0024,2,3,0
J0024,3,4,0
J0025,1,2,0
J0025,2,3,0
J0025,3,4,0
J0026,1,2,0
J0026,2,3,0
J0026,3,4,0
J0027,1,2,0
J0027,2,3,0
J0027,3,4,0
J0028,1,2,0
J0028,2,3,0
J0028,3,4,0
J0029,1,2,0
J0029,2,3,0
J0029,3,4,0
J0030,1,2,0
J0030,2,3,0
J0030,3,4,0
J0031,1,2,0
J0031,2,3,0
J0031,3,4,0
J0032,1,2,0
J0032,2,3,0
J0032,3,4,0
J0033,1,2,0
J0033,2,3,0
J0033,3,4,0
J0034,1,2,0
J0034,2,3,0
J0034,3,4,0
J0035,1,2,0
J0035,2,3,0
J0035,3,4,0
J0036,1,2,0
J0036,2,3,0
J0036,3,4,0
J0037,1,2,0
J0037,2,3,0
J0037,3,4,0
J0038,1,2,0
J0038,2,3,0
J0038,3,4,0
J0039,1,2,0
J0039,2,3,0
J0039,3,4,0
J0040,1,2,0
J0040,2,3,0
J0040,3,4,0
