event_time_min,event_type,entity_type,entity_id,payload_json
0,JOB_VISIBLE,JOB,J0002,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""CONTRACTED""}"
0,JOB_VISIBLE,JOB,J0004,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""CONTRACTED""}"
0,JOB_VISIBLE,JOB,J0007,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0008,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0011,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0012,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
8,JOB_VISIBLE,JOB,J0018,"{""commodity"":""CORN"",""load_tons"":37,""priority_class"":""REGULAR""}"
12,JOB_VISIBLE,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""URGENT""}"
12,JOB_VISIBLE,JOB,J0010,"{""commodity"":""CORN"",""load_tons"":34,""priority_class"":""REGULAR""}"
23,JOB_ARRIVAL,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""URGENT""}"
23,JOB_VISIBLE,JOB,J0019,"{""commodity"":""SORGHUM"",""load_tons"":38,""priority_class"":""REGULAR""}"
25,JOB_VISIBLE,JOB,J0005,"{""commodity"":""SORGHUM"",""load_tons"":31,""priority_class"":""REGULAR""}"
32,JOB_ARRIVAL,JOB,J0002,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""CONTRACTED""}"
40,JOB_VISIBLE,JOB,J0013,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
53,JOB_VISIBLE,JOB,J0003,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""URGENT""}"
58,JOB_VISIBLE,JOB,J0025,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""REGULAR""}"
63,JOB_ARRIVAL,JOB,J0003,"{""commodity"":""CORN"",""load_tons"":39,""priority_class"":""URGENT""}"
79,JOB_ARRIVAL,JOB,J0004,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""CONTRACTED""}"
