job_id,arrival_time_min,completion_due_nominal_min,completion_due_observed_min,due_slack_nominal_min,due_slack_observed_min,base_priority_slack_min,fixed_appointment_min,fixed_commodity_min,fixed_moisture_min,fixed_shift_min,fixed_regime_min,random_instance_min,random_shift_min,random_idio_min,nominal_processing_lb_min,shift_bucket
J0001,129,429,447,300,318,300,-8,5,0,8,0,-1.8866,1.6966,13.4508,50,EARLY
J0002,160,460,478,300,318,300,-8,10,0,8,0,-1.8866,1.6966,8.0631,53,EARLY
J0003,219,519,520,300,301,300,-8,0,9,8,0,-1.8866,1.6966,-7.7471,60,EARLY
J0004,231,531,547,300,316,300,-8,10,0,8,0,-1.8866,1.6966,5.8963,53,EARLY
J0005,236,536,553,300,317,300,-8,0,9,8,0,-1.8866,1.6966,8.5468,54,EARLY
J0006,243,543,500,300,257,300,-8,5,0,0,0,-1.8866,-3.4461,-34.7005,48,MID
J0007,292,592,590,300,298,300,-8,10,0,0,0,-1.8866,-3.4461,1.7483,55,MID
J0008,295,595,598,300,303,300,-8,10,9,0,0,-1.8866,-3.4461,-2.5319,57,MID
J0009,306,606,599,300,293,300,-8,10,0,0,0,-1.8866,-3.4461,-3.9523,51,MID
J0010,316,586,552,270,236,270,-8,0,0,0,0,-1.8866,-3.4461,-20.3541,56,MID
J0011,344,644,637,300,293,300,-8,5,-5,0,0,-1.8866,-3.4461,6.4333,49,MID
J0012,428,728,726,300,298,300,6,0,9,0,0,-1.8866,-3.4461,-11.3387,56,MID
J0013,432,732,721,300,289,300,-8,0,0,0,0,-1.8866,-3.4461,2.6058,50,MID
J0014,450,750,704,300,254,300,-8,10,0,0,0,-1.8866,-3.4461,-43.076,53,MID
J0015,456,756,725,300,269,300,-8,10,0,0,0,-1.8866,-3.4461,-27.837,56,MID
J0016,477,777,784,300,307,300,6,10,0,0,0,-1.8866,-3.4461,-3.7498,53,MID
J0017,508,808,803,300,295,300,6,10,0,-12,0,-1.8866,3.374,-10.9091,55,LATE
J0018,535,835,820,300,285,300,-8,10,0,-12,0,-1.8866,3.374,-6.0005,52,LATE
