job_id,op_seq,machine_id,stage_name,proc_time_nominal_min,proc_time_observed_min,machine_latent_log,shift_latent_log,instance_latent_log,regime_log,congestion_log,commodity_log,moisture_log,idio_log,additive_pause_min,arrival_congestion_score,shift_bucket,commodity,moisture_class
J0001,1,WB1,WEIGH_IN,8,8,0.03089,-0.00432,-0.00699,0.0,0.00343,0.0,0.0,0.00371,0,0.1716,EARLY,SORGHUM,NORMAL
J0001,1,WB2,WEIGH_IN,7,7,-0.01225,-0.00432,-0.00699,0.0,0.00343,0.0,0.0,0.01764,0,0.1716,EARLY,SORGHUM,NORMAL
J0001,2,LAB1,SAMPLE_CLASSIFY,9,9,-0.05638,0.01683,0.02073,0.0,0.00601,0.01,0.0,-0.00099,0,0.1716,EARLY,SORGHUM,NORMAL
J0001,3,HOP2,UNLOAD,28,28,-0.03007,0.01012,-0.0421,0.0,0.00858,0.015,0.0,0.02791,0,0.1716,EARLY,SORGHUM,NORMAL
J0001,4,WB1,WEIGH_OUT,6,6,0.03089,0.00381,0.00129,0.0,0.00257,0.0,0.0,-0.03317,0,0.1716,EARLY,SORGHUM,NORMAL
J0001,4,WB2,WEIGH_OUT,6,6,-0.01225,0.00381,0.00129,0.0,0.00257,0.0,0.0,-0.02851,0,0.1716,EARLY,SORGHUM,NORMAL
J0002,1,WB1,WEIGH_IN,7,7,0.03089,-0.00432,-0.00699,0.0,0.00355,0.0,0.0,-0.02336,0,0.17751,EARLY,SOY,NORMAL
J0002,1,WB2,WEIGH_IN,7,7,-0.01225,-0.00432,-0.00699,0.0,0.00355,0.0,0.0,-0.01083,0,0.17751,EARLY,SOY,NORMAL
J0002,2,LAB1,SAMPLE_CLASSIFY,12,12,-0.05638,0.01683,0.02073,0.0,0.00621,0.02,0.0,0.00119,0,0.17751,EARLY,SOY,NORMAL
J0002,3,HOP1,UNLOAD,28,28,0.02929,0.01012,-0.0421,0.0,0.00888,0.01,0.0,-0.01818,0,0.17751,EARLY,SOY,NORMAL
J0002,4,WB1,WEIGH_OUT,6,6,0.03089,0.00381,0.00129,0.0,0.00266,0.0,0.0,0.01564,0,0.17751,EARLY,SOY,NORMAL
J0002,4,WB2,WEIGH_OUT,6,6,-0.01225,0.00381,0.00129,0.0,0.00266,0.0,0.0,0.0362,0,0.17751,EARLY,SOY,NORMAL
J0003,1,WB1,WEIGH_IN,8,8,0.03089,-0.00432,-0.00699,0.0,0.01515,0.0,0.0,-0.00444,0,0.7574,EARLY,CORN,WET
