job_id,op_seq,stage_name,machine_id,start_min,end_min,wait_before_stage_min
J0001,1,WEIGH_IN,WB1,158,165,0
J0001,2,SAMPLE_CLASSIFY,LAB1,165,177,0
J0001,3,UNLOAD,HOP1,177,203,0
J0001,4,WEIGH_OUT,WB1,203,209,0
J0002,1,WEIGH_IN,WB2,160,168,0
J0002,2,SAMPLE_CLASSIFY,LAB1,177,189,9
J0002,3,UNLOAD,HOP2,189,224,0
J0002,4,WEIGH_OUT,WB1,224,230,0
J0003,1,WEIGH_IN,WB1,270,278,0
J0003,2,SAMPLE_CLASSIFY,LAB1,278,290,0
J0003,3,UNLOAD,HOP1,290,322,0
J0003,4,WEIGH_OUT,WB1,322,328,0
J0004,1,WEIGH_IN,WB2,275,283,0
J0004,2,SAMPLE_CLASSIFY,LAB1,290,304,7
J0004,3,UNLOAD,HOP1,322,348,18
J0004,4,WEIGH_OUT,WB1,348,353,0
J0005,1,WEIGH_IN,WB1,289,296,0
J0005,2,SAMPLE_CLASSIFY,LAB1,304,319,8
J0005,3,UNLOAD,HOP2,319,354,0
J0005,4,WEIGH_OUT,WB1,354,360,0
J0006,1,WEIGH_IN,WB2,294,302,0
J0006,2,SAMPLE_CLASSIFY,LAB1,319,334,17
J0006,3,UNLOAD,HOP1,348,377,14
J0006,4,WEIGH_OUT,WB1,377,382,0
J0007,1,WEIGH_IN,WB1,301,310,0
J0007,2,SAMPLE_CLASSIFY,LAB1,334,347,24
J0007,3,UNLOAD,HOP2,354,384,7
J0007,4,WEIGH_OUT,WB1,384,390,0
J0008,1,WEIGH_IN,WB1,314,322,0
J0008,2,SAMPLE_CLASSIFY,LAB1,347,359,25
J0008,3,UNLOAD,HOP1,377,407,18
J0008,4,WEIGH_OUT,WB1,407,414,0
J0009,1,WEIGH_IN,WB2,315,323,0
J0009,2,SAMPLE_CLASSIFY,LAB1,359,374,36
J0009,3,UNLOAD,HOP2,384,421,10
J0009,4,WEIGH_OUT,WB1,421,427,0
J0010,1,WEIGH_IN,WB2,344,351,0
J0010,2,SAMPLE_CLASSIFY,LAB1,374,388,23
J0010,3,UNLOAD,HOP1,407,444,19
J0010,4,WEIGH_OUT,WB1,444,450,0
J0011,1,WEIGH_IN,WB2,377,385,0
J0011,2,SAMPLE_CLASSIFY,LAB1,388,401,3
J0011,3,UNLOAD,HOP1,444,469,43
J0011,4,WEIGH_OUT,WB1,469,475,0
J0012,1,WEIGH_IN,WB2,385,393,8
J0012,2,SAMPLE_CLASSIFY,LAB1,401,412,8
J0012,3,UNLOAD,HOP1,469,494,57
J0012,4,WEIGH_OUT,WB1,494,500,0
J0013,1,WEIGH_IN,WB1,398,405,0
J0013,2,SAMPLE_CLASSIFY,LAB1,412,423,7
J0013,3,UNLOAD,HOP2,423,447,0
J0013,4,WEIGH_OUT,WB2,447,453,0
J0014,1,WEIGH_IN,WB1,433,440,0
J0014,2,SAMPLE_CLASSIFY,LAB1,440,452,0
J0014,3,UNLOAD,HOP1,494,524,42
J0014,4,WEIGH_OUT,WB1,524,530,0
J0015,1,WEIGH_IN,WB1,459,466,0
J0015,2,SAMPLE_CLASSIFY,LAB1,466,477,0
J0015,3,UNLOAD,HOP2,477,509,0
J0015,4,WEIGH_OUT,WB1,509,515,0
J0016,1,WEIGH_IN,WB1,515,522,0
J0016,2,SAMPLE_CLASSIFY,LAB1,522,537,0
J0016,3,UNLOAD,HOP1,537,567,0
J0016,4,WEIGH_OUT,WB1,567,573,0
J0017,1,WEIGH_IN,WB2,520,528,0
J0017,2,SAMPLE_CLASSIFY,LAB1,537,547,9
J0017,3,UNLOAD,HOP1,567,594,20
J0017,4,WEIGH_OUT,WB1,594,601,0
J0018,1,WEIGH_IN,WB2,565,572,0
J0018,2,SAMPLE_CLASSIFY,LAB1,572,583,0
J0018,3,UNLOAD,HOP2,583,611,0
J0018,4,WEIGH_OUT,WB1,611,617,0
