job_id,op_seq,stage_name,machine_family,mandatory,release_time_min
J0001,1,WEIGH_IN,WEIGHBRIDGE,1,158
J0001,2,SAMPLE_CLASSIFY,LAB,1,0
J0001,3,UNLOAD,HOPPER,1,0
J0001,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0002,1,WEIGH_IN,WEIGHBRIDGE,1,160
J0002,2,SAMPLE_CLASSIFY,LAB,1,0
J0002,3,UNLOAD,HOPPER,1,0
J0002,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0003,1,WEIGH_IN,WEIGHBRIDGE,1,270
J0003,2,SAMPLE_CLASSIFY,LAB,1,0
J0003,3,UNLOAD,HOPPER,1,0
J0003,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0004,1,WEIGH_IN,WEIGHBRIDGE,1,275
J0004,2,SAMPLE_CLASSIFY,LAB,1,0
J0004,3,UNLOAD,HOPPER,1,0
J0004,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0005,1,WEIGH_IN,WEIGHBRIDGE,1,289
J0005,2,SAMPLE_CLASSIFY,LAB,1,0
J0005,3,UNLOAD,HOPPER,1,0
J0005,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0006,1,WEIGH_IN,WEIGHBRIDGE,1,294
J0006,2,SAMPLE_CLASSIFY,LAB,1,0
J0006,3,UNLOAD,HOPPER,1,0
J0006,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0007,1,WEIGH_IN,WEIGHBRIDGE,1,301
J0007,2,SAMPLE_CLASSIFY,LAB,1,0
J0007,3,UNLOAD,HOPPER,1,0
J0007,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0008,1,WEIGH_IN,WEIGHBRIDGE,1,314
J0008,2,SAMPLE_CLASSIFY,LAB,1,0
J0008,3,UNLOAD,HOPPER,1,0
J0008,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0009,1,WEIGH_IN,WEIGHBRIDGE,1,315
J0009,2,SAMPLE_CLASSIFY,LAB,1,0
J0009,3,UNLOAD,HOPPER,1,0
J0009,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0010,1,WEIGH_IN,WEIGHBRIDGE,1,344
J0010,2,SAMPLE_CLASSIFY,LAB,1,0
J0010,3,UNLOAD,HOPPER,1,0
J0010,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0011,1,WEIGH_IN,WEIGHBRIDGE,1,377
J0011,2,SAMPLE_CLASSIFY,LAB,1,0
J0011,3,UNLOAD,HOPPER,1,0
J0011,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0012,1,WEIGH_IN,WEIGHBRIDGE,1,377
J0012,2,SAMPLE_CLASSIFY,LAB,1,0
J0012,3,UNLOAD,HOPPER,1,0
J0012,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0013,1,WEIGH_IN,WEIGHBRIDGE,1,398
J0013,2,SAMPLE_CLASSIFY,LAB,1,0
J0013,3,UNLOAD,HOPPER,1,0
J0013,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0014,1,WEIGH_IN,WEIGHBRIDGE,1,433
J0014,2,SAMPLE_CLASSIFY,LAB,1,0
J0014,3,UNLOAD,HOPPER,1,0
J0014,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0015,1,WEIGH_IN,WEIGHBRIDGE,1,459
J0015,2,SAMPLE_CLASSIFY,LAB,1,0
J0015,3,UNLOAD,HOPPER,1,0
J0015,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0016,1,WEIGH_IN,WEIGHBRIDGE,1,515
J0016,2,SAMPLE_CLASSIFY,LAB,1,0
J0016,3,UNLOAD,HOPPER,1,0
J0016,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0017,1,WEIGH_IN,WEIGHBRIDGE,1,520
J0017,2,SAMPLE_CLASSIFY,LAB,1,0
J0017,3,UNLOAD,HOPPER,1,0
J0017,4,WEIGH_OUT,WEIGHBRIDGE,1,0
J0018,1,WEIGH_IN,WEIGHBRIDGE,1,565
J0018,2,SAMPLE_CLASSIFY,LAB,1,0
J0018,3,UNLOAD,HOPPER,1,0
J0018,4,WEIGH_OUT,WEIGHBRIDGE,1,0
