job_id,commodity,load_tons,arrival_time_min,reveal_time_min,priority_class,priority_weight,appointment_flag,moisture_class,statutory_wait_limit_min,completion_due_min,overwait_cost_rs_per_min,shift_bucket,arrival_congestion_score
J0001,SOY,35,105,0,CONTRACTED,1.25,1,NORMAL,300,365,1.4058,EARLY,0.0
J0002,CORN,38,189,189,REGULAR,1.0,0,NORMAL,300,469,1.5263,EARLY,0.6016597510373444
J0003,CORN,35,203,78,REGULAR,1.0,1,NORMAL,300,490,1.4058,EARLY,0.8921161825726142
J0004,CORN,42,209,114,REGULAR,1.0,1,NORMAL,300,471,1.687,EARLY,0.966804979253112
J0005,CORN,45,215,50,REGULAR,1.0,1,NORMAL,300,506,1.8075,EARLY,1.0000000000000002
J0006,SORGHUM,38,238,9,REGULAR,1.0,1,NORMAL,300,523,1.5263,EARLY,1.0
J0007,SOY,36,239,162,REGULAR,1.0,1,NORMAL,300,532,1.446,EARLY,0.991701244813278
J0008,SOY,38,245,245,REGULAR,1.0,0,NORMAL,300,532,1.5263,MID,0.9045643153526971
J0009,SOY,37,273,107,REGULAR,1.0,1,DRY,300,553,1.4862,MID,0.4813278008298755
J0010,SORGHUM,36,302,297,URGENT,1.75,1,WET,300,528,1.446,MID,0.22406639004149378
J0011,SOY,39,342,199,REGULAR,1.0,1,NORMAL,300,638,1.5665,MID,0.4315352697095436
J0012,CORN,44,366,145,CONTRACTED,1.25,1,NORMAL,300,611,1.7673,MID,0.5477178423236515
J0013,CORN,40,371,371,REGULAR,1.0,0,NORMAL,300,680,1.6067,MID,0.5477178423236514
J0014,SORGHUM,38,385,257,REGULAR,1.0,1,DRY,300,660,1.5263,MID,0.4315352697095436
J0015,SOY,36,447,280,REGULAR,1.0,1,NORMAL,300,730,1.446,MID,0.1078838174273859
J0016,CORN,37,481,481,REGULAR,1.0,0,NORMAL,300,764,1.4862,LATE,0.1078838174273859
J0017,SOY,37,614,614,REGULAR,1.0,0,NORMAL,300,913,1.4862,LATE,0.22821576763485477
J0018,CORN,42,619,552,REGULAR,1.0,1,NORMAL,300,877,1.687,LATE,0.22821576763485477
