event_time_min,event_type,entity_type,entity_id,payload_json
0,JOB_VISIBLE,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
0,JOB_VISIBLE,JOB,J0003,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
6,JOB_VISIBLE,JOB,J0006,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
51,JOB_ARRIVAL,JOB,J0001,"{""commodity"":""SOY"",""load_tons"":38,""priority_class"":""REGULAR""}"
66,JOB_ARRIVAL,JOB,J0002,"{""commodity"":""CORN"",""load_tons"":43,""priority_class"":""REGULAR""}"
66,JOB_VISIBLE,JOB,J0002,"{""commodity"":""CORN"",""load_tons"":43,""priority_class"":""REGULAR""}"
68,JOB_ARRIVAL,JOB,J0003,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
73,JOB_VISIBLE,JOB,J0013,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
103,JOB_VISIBLE,JOB,J0004,"{""commodity"":""CORN"",""load_tons"":45,""priority_class"":""REGULAR""}"
133,JOB_VISIBLE,JOB,J0010,"{""commodity"":""SORGHUM"",""load_tons"":37,""priority_class"":""REGULAR""}"
158,JOB_VISIBLE,JOB,J0012,"{""commodity"":""CORN"",""load_tons"":37,""priority_class"":""REGULAR""}"
164,JOB_VISIBLE,JOB,J0014,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
173,JOB_VISIBLE,JOB,J0018,"{""commodity"":""SORGHUM"",""load_tons"":38,""priority_class"":""REGULAR""}"
207,JOB_ARRIVAL,JOB,J0004,"{""commodity"":""CORN"",""load_tons"":45,""priority_class"":""REGULAR""}"
211,JOB_ARRIVAL,JOB,J0005,"{""commodity"":""CORN"",""load_tons"":36,""priority_class"":""REGULAR""}"
211,JOB_VISIBLE,JOB,J0005,"{""commodity"":""CORN"",""load_tons"":36,""priority_class"":""REGULAR""}"
219,JOB_ARRIVAL,JOB,J0006,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
228,JOB_ARRIVAL,JOB,J0007,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
228,JOB_VISIBLE,JOB,J0007,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""REGULAR""}"
233,JOB_ARRIVAL,JOB,J0008,"{""commodity"":""SORGHUM"",""load_tons"":33,""priority_class"":""REGULAR""}"
233,JOB_VISIBLE,JOB,J0008,"{""commodity"":""SORGHUM"",""load_tons"":33,""priority_class"":""REGULAR""}"
234,JOB_ARRIVAL,JOB,J0009,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""CONTRACTED""}"
234,JOB_VISIBLE,JOB,J0009,"{""commodity"":""SOY"",""load_tons"":35,""priority_class"":""CONTRACTED""}"
237,JOB_ARRIVAL,JOB,J0010,"{""commodity"":""SORGHUM"",""load_tons"":37,""priority_class"":""REGULAR""}"
238,JOB_ARRIVAL,JOB,J0011,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
238,JOB_ARRIVAL,JOB,J0012,"{""commodity"":""CORN"",""load_tons"":37,""priority_class"":""REGULAR""}"
238,JOB_ARRIVAL,JOB,J0013,"{""commodity"":""SOY"",""load_tons"":39,""priority_class"":""REGULAR""}"
238,JOB_VISIBLE,JOB,J0011,"{""commodity"":""SOY"",""load_tons"":36,""priority_class"":""REGULAR""}"
241,JOB_ARRIVAL,JOB,J0014,"{""commodity"":""SOY"",""load_tons"":41,""priority_class"":""REGULAR""}"
243,JOB_ARRIVAL,JOB,J0015,"{""commodity"":""CORN"",""load_tons"":34,""priority_class"":""CONTRACTED""}"
243,JOB_VISIBLE,JOB,J0015,"{""commodity"":""CORN"",""load_tons"":34,""priority_class"":""CONTRACTED""}"
247,JOB_ARRIVAL,JOB,J0016,"{""commodity"":""CORN"",""load_tons"":36,""priority_class"":""REGULAR""}"
247,JOB_ARRIVAL,JOB,J0017,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""CONTRACTED""}"
247,JOB_VISIBLE,JOB,J0016,"{""commodity"":""CORN"",""load_tons"":36,""priority_class"":""REGULAR""}"
247,JOB_VISIBLE,JOB,J0017,"{""commodity"":""SOY"",""load_tons"":37,""priority_class"":""CONTRACTED""}"
251,JOB_ARRIVAL,JOB,J0018,"{""commodity"":""SORGHUM"",""load_tons"":38,""priority_class"":""REGULAR""}"
269,JOB_VISIBLE,JOB,J0021,"{""commodity"":""SOY"",""load_tons"":40,""priority_class"":""REGULAR""}"
283,JOB_ARRIVAL,JOB,J0019,"{""commodity"":""CORN"",""load_tons"":37,""priority_class"":""REGULAR""}"
