job_id,op_seq,machine_id,stage_name,proc_time_nominal_min,proc_time_observed_min,machine_latent_log,shift_latent_log,instance_latent_log,regime_log,congestion_log,commodity_log,moisture_log,idio_log,additive_pause_min,arrival_congestion_score,shift_bucket,commodity,moisture_class
J0001,1,WB1,WEIGH_IN,7,7,-0.02783,-0.01153,-0.01048,0.02,0.00245,0.0,0.0,0.01769,0,0.12239,EARLY,SOY,NORMAL
J0001,1,WB2,WEIGH_IN,8,8,-0.02107,-0.01153,-0.01048,0.02,0.00245,0.0,0.0,-0.01283,0,0.12239,EARLY,SOY,NORMAL
J0001,2,LAB1,SAMPLE_CLASSIFY,12,12,-0.01909,0.02616,-0.00432,0.03,0.00428,0.02,0.0,-0.03209,0,0.12239,EARLY,SOY,NORMAL
J0001,3,HOP1,UNLOAD,28,31,0.02627,0.03975,-0.01777,0.04,0.00612,0.01,0.0,-0.00707,0,0.12239,EARLY,SOY,NORMAL
J0001,4,WB1,WEIGH_OUT,6,6,-0.02783,0.00671,0.00831,0.015,0.00184,0.0,0.0,-0.02221,0,0.12239,EARLY,SOY,NORMAL
J0001,4,WB2,WEIGH_OUT,6,6,-0.02107,0.00671,0.00831,0.015,0.00184,0.0,0.0,0.00585,0,0.12239,EARLY,SOY,NORMAL
J0002,1,WB1,WEIGH_IN,8,8,-0.02783,-0.01153,-0.01048,0.02,0.00287,0.0,0.0,-0.01515,0,0.14325,EARLY,CORN,NORMAL
J0002,1,WB2,WEIGH_IN,8,8,-0.02107,-0.01153,-0.01048,0.02,0.00287,0.0,0.0,-0.03572,0,0.14325,EARLY,CORN,NORMAL
J0002,2,LAB1,SAMPLE_CLASSIFY,11,11,-0.01909,0.02616,-0.00432,0.03,0.00501,0.0,0.0,-0.05217,0,0.14325,EARLY,CORN,NORMAL
J0002,3,HOP1,UNLOAD,30,36,0.02627,0.03975,-0.01777,0.04,0.00716,0.0,0.0,0.0875,0,0.14325,EARLY,CORN,NORMAL
J0002,3,HOP2,UNLOAD,34,31,-0.13578,0.03975,-0.01777,0.04,0.00716,0.0,0.0,-0.02154,0,0.14325,EARLY,CORN,NORMAL
J0002,4,WB1,WEIGH_OUT,7,7,-0.02783,0.00671,0.00831,0.015,0.00215,0.0,0.0,-0.04782,0,0.14325,EARLY,CORN,NORMAL
J0002,4,WB2,WEIGH_OUT,7,7,-0.02107,0.00671,0.00831,0.015,0.00215,0.0,0.0,0.00276,0,0.14325,EARLY,CORN,NORMAL
J0003,1,WB1,WEIGH_IN,8,8,-0.02783,-0.01153,-0.01048,0.02,0.00281,0.0,0.0,0.01025,0,0.14047,EARLY,SOY,WET
J0003,1,WB2,WEIGH_IN,8,8,-0.02107,-0.01153,-0.01048,0.02,0.00281,0.0,0.0,-0.02612,0,0.14047,EARLY,SOY,WET
J0003,2,LAB1,SAMPLE_CLASSIFY,14,15,-0.01909,0.02616,-0.00432,0.03,0.00492,0.02,0.045,-0.04264,0,0.14047,EARLY,SOY,WET
J0003,3,HOP1,UNLOAD,30,40,0.02627,0.03975,-0.01777,0.04,0.00702,0.01,0.028,0.01945,5,0.14047,EARLY,SOY,WET
J0003,4,WB1,WEIGH_OUT,6,6,-0.02783,0.00671,0.00831,0.015,0.00211,0.0,0.0,0.00102,0,0.14047,EARLY,SOY,WET
J0003,4,WB2,WEIGH_OUT,6,6,-0.02107,0.00671,0.00831,0.015,0.00211,0.0,0.0,-0.00549,0,0.14047,EARLY,SOY,WET
J0004,1,WB1,WEIGH_IN,8,8,-0.02783,-0.01153,-0.01048,0.02,0.01204,0.0,0.0,-0.01701,0,0.60223,EARLY,CORN,WET
J0004,1,WB2,WEIGH_IN,8,8,-0.02107,-0.01153,-0.01048,0.02,0.01204,0.0,0.0,0.00448,0,0.60223,EARLY,CORN,WET
J0004,2,LAB1,SAMPLE_CLASSIFY,13,14,-0.01909,0.02616,-0.00432,0.03,0.02108,0.0,0.045,-0.01327,0,0.60223,EARLY,CORN,WET
J0004,3,HOP1,UNLOAD,36,42,0.02627,0.03975,-0.01777,0.04,0.03011,0.0,0.028,-0.06581,3,0.60223,EARLY,CORN,WET
J0004,3,HOP2,UNLOAD,40,40,-0.13578,0.03975,-0.01777,0.04,0.03011,0.0,0.028,0.02001,0,0.60223,EARLY,CORN,WET
J0004,4,WB1,WEIGH_OUT,7,7,-0.02783,0.00671,0.00831,0.015,0.00903,0.0,0.0,-0.00696,0,0.60223,EARLY,CORN,WET
J0004,4,WB2,WEIGH_OUT,7,7,-0.02107,0.00671,0.00831,0.015,0.00903,0.0,0.0,0.03818,0,0.60223,EARLY,CORN,WET
J0005,1,WB1,WEIGH_IN,8,8,-0.02783,-0.01153,-0.01048,0.02,0.01349,0.0,0.0,0.03227,0,0.67455,EARLY,CORN,WET
J0005,1,WB2,WEIGH_IN,7,7,-0.02107,-0.01153,-0.01048,0.02,0.01349,0.0,0.0,0.01181,0,0.67455,EARLY,CORN,WET
J0005,2,LAB1,SAMPLE_CLASSIFY,14,15,-0.01909,0.02616,-0.00432,0.03,0.02361,0.0,0.045,-0.01352,0,0.67455,EARLY,CORN,WET
J0005,3,HOP1,UNLOAD,29,33,0.02627,0.03975,-0.01777,0.04,0.03373,0.0,0.028,-0.02151,0,0.67455,EARLY,CORN,WET
J0005,3,HOP2,UNLOAD,33,32,-0.13578,0.03975,-0.01777,0.04,0.03373,0.0,0.028,-0.00656,0,0.67455,EARLY,CORN,WET
J0005,4,WB1,WEIGH_OUT,6,6,-0.02783,0.00671,0.00831,0.015,0.01012,0.0,0.0,0.06342,0,0.67455,EARLY,CORN,WET
J0005,4,WB2,WEIGH_OUT,7,7,-0.02107,0.00671,0.00831,0.015,0.01012,0.0,0.0,0.04429,0,0.67455,EARLY,CORN,WET
J0006,1,WB1,WEIGH_IN,8,8,-0.02783,-0.01153,-0.01048,0.02,0.01594,0.0,0.0,0.0237,0,0.79694,EARLY,SOY,WET
J0006,1,WB2,WEIGH_IN,8,8,-0.02107,-0.01153,-0.01048,0.02,0.01594,0.0,0.0,0.00812,0,0.79694,EARLY,SOY,WET
J0006,2,LAB1,SAMPLE_CLASSIFY,14,16,-0.01909,0.02616,-0.00432,0.03,0.02789,0.02,0.045,0.0081,0,0.79694,EARLY,SOY,WET
J0006,3,HOP1,UNLOAD,31,39,0.02627,0.03975,-0.01777,0.04,0.03985,0.01,0.028,0.05623,0,0.79694,EARLY,SOY,WET
J0006,4,WB1,WEIGH_OUT,6,6,-0.02783,0.00671,0.00831,0.015,0.01195,0.0,0.0,-0.0008,0,0.79694,EARLY,SOY,WET
J0006,4,WB2,WEIGH_OUT,6,6,-0.02107,0.00671,0.00831,0.015,0.01195,0.0,0.0,0.02321,0,0.79694,EARLY,SOY,WET
J0007,1,WB1,WEIGH_IN,8,8,-0.02783,-0.01153,-0.01048,0.02,0.01833,0.0,0.0,-0.0065,0,0.91655,EARLY,SOY,NORMAL
J0007,1,WB2,WEIGH_IN,8,8,-0.02107,-0.01153,-0.01048,0.02,0.01833,0.0,0.0,-0.05889,0,0.91655,EARLY,SOY,NORMAL
J0007,2,LAB1,SAMPLE_CLASSIFY,13,13,-0.01909,0.02616,-0.00432,0.03,0.03208,0.02,0.0,-0.05255,0,0.91655,EARLY,SOY,NORMAL
J0007,3,HOP1,UNLOAD,27,33,0.02627,0.03975,-0.01777,0.04,0.04583,0.01,0.0,0.03426,1,0.91655,EARLY,SOY,NORMAL
J0007,4,WB1,WEIGH_OUT,6,6,-0.02783,0.00671,0.00831,0.015,0.01375,0.0,0.0,-0.00412,0,0.91655,EARLY,SOY,NORMAL
J0007,4,WB2,WEIGH_OUT,6,6,-0.02107,0.00671,0.00831,0.015,0.01375,0.0,0.0,-0.01667,0,0.91655,EARLY,SOY,NORMAL
J0008,1,WB1,WEIGH_IN,7,7,-0.02783,-0.01153,-0.01048,0.02,0.01944,0.0,0.0,-0.02665,0,0.97218,EARLY,SORGHUM,NORMAL
J0008,1,WB2,WEIGH_IN,7,7,-0.02107,-0.01153,-0.01048,0.02,0.01944,0.0,0.0,0.00319,0,0.97218,EARLY,SORGHUM,NORMAL
J0008,2,LAB1,SAMPLE_CLASSIFY,10,11,-0.01909,0.02616,-0.00432,0.03,0.03403,0.01,0.0,-0.00703,0,0.97218,EARLY,SORGHUM,NORMAL
J0008,3,HOP2,UNLOAD,26,26,-0.13578,0.03975,-0.01777,0.04,0.04861,0.015,0.0,0.01133,0,0.97218,EARLY,SORGHUM,NORMAL
J0008,4,WB1,WEIGH_OUT,6,6,-0.02783,0.00671,0.00831,0.015,0.01458,0.0,0.0,-0.02287,0,0.97218,EARLY,SORGHUM,NORMAL
J0008,4,WB2,WEIGH_OUT,6,7,-0.02107,0.00671,0.00831,0.015,0.01458,0.0,0.0,-0.00013,1,0.97218,EARLY,SORGHUM,NORMAL
J0009,1,WB1,WEIGH_IN,7,6,-0.02783,-0.01153,-0.01048,0.02,0.01961,0.0,0.0,-0.12168,0,0.98053,EARLY,SOY,WET
J0009,1,WB2,WEIGH_IN,7,7,-0.02107,-0.01153,-0.01048,0.02,0.01961,0.0,0.0,0.0089,0,0.98053,EARLY,SOY,WET
J0009,2,LAB1,SAMPLE_CLASSIFY,14,16,-0.01909,0.02616,-0.00432,0.03,0.03432,0.02,0.045,0.01932,0,0.98053,EARLY,SOY,WET
J0009,3,HOP1,UNLOAD,30,35,0.02627,0.03975,-0.01777,0.04,0.04903,0.01,0.028,-0.02755,0,0.98053,EARLY,SOY,WET
J0009,4,WB1,WEIGH_OUT,6,6,-0.02783,0.00671,0.00831,0.015,0.01471,0.0,0.0,0.00323,0,0.98053,EARLY,SOY,WET
J0009,4,WB2,WEIGH_OUT,6,6,-0.02107,0.00671,0.00831,0.015,0.01471,0.0,0.0,0.01663,0,0.98053,EARLY,SOY,WET
J0010,1,WB1,WEIGH_IN,7,7,-0.02783,-0.01153,-0.01048,0.02,0.01994,0.0,0.0,0.00929,0,0.99722,EARLY,SORGHUM,NORMAL
J0010,1,WB2,WEIGH_IN,8,8,-0.02107,-0.01153,-0.01048,0.02,0.01994,0.0,0.0,0.03599,0,0.99722,EARLY,SORGHUM,NORMAL
J0010,2,LAB1,SAMPLE_CLASSIFY,9,10,-0.01909,0.02616,-0.00432,0.03,0.0349,0.01,0.0,0.03138,0,0.99722,EARLY,SORGHUM,NORMAL
J0010,3,HOP2,UNLOAD,29,27,-0.13578,0.03975,-0.01777,0.04,0.04986,0.015,0.0,-0.05462,0,0.99722,EARLY,SORGHUM,NORMAL
J0010,4,WB1,WEIGH_OUT,6,6,-0.02783,0.00671,0.00831,0.015,0.01496,0.0,0.0,0.01478,0,0.99722,EARLY,SORGHUM,NORMAL
J0010,4,WB2,WEIGH_OUT,7,9,-0.02107,0.00671,0.00831,0.015,0.01496,0.0,0.0,0.01667,2,0.99722,EARLY,SORGHUM,NORMAL
J0011,1,WB1,WEIGH_IN,7,7,-0.02783,-0.01153,-0.01048,0.02,0.02,0.0,0.0,-0.02899,0,1.0,EARLY,SOY,WET
J0011,1,WB2,WEIGH_IN,7,8,-0.02107,-0.01153,-0.01048,0.02,0.02,0.0,0.0,-0.0193,1,1.0,EARLY,SOY,WET
J0011,2,LAB1,SAMPLE_CLASSIFY,14,15,-0.01909,0.02616,-0.00432,0.03,0.035,0.02,0.045,-0.03684,0,1.0,EARLY,SOY,WET
J0011,3,HOP1,UNLOAD,31,39,0.02627,0.03975,-0.01777,0.04,0.05,0.01,0.028,0.05207,0,1.0,EARLY,SOY,WET
J0011,4,WB1,WEIGH_OUT,6,6,-0.02783,0.00671,0.00831,0.015,0.015,0.0,0.0,0.0312,0,1.0,EARLY,SOY,WET
J0011,4,WB2,WEIGH_OUT,6,6,-0.02107,0.00671,0.00831,0.015,0.015,0.0,0.0,0.01379,0,1.0,EARLY,SOY,WET
J0012,1,WB1,WEIGH_IN,7,7,-0.02783,-0.01153,-0.01048,0.02,0.02,0.0,0.0,-0.00294,0,1.0,EARLY,CORN,WET
J0012,1,WB2,WEIGH_IN,8,8,-0.02107,-0.01153,-0.01048,0.02,0.02,0.0,0.0,-0.0176,0,1.0,EARLY,CORN,WET
J0012,2,LAB1,SAMPLE_CLASSIFY,14,15,-0.01909,0.02616,-0.00432,0.03,0.035,0.0,0.045,-0.02409,0,1.0,EARLY,CORN,WET
J0012,3,HOP1,UNLOAD,30,34,0.02627,0.03975,-0.01777,0.04,0.05,0.0,0.028,-0.02691,0,1.0,EARLY,CORN,WET
J0012,3,HOP2,UNLOAD,34,34,-0.13578,0.03975,-0.01777,0.04,0.05,0.0,0.028,-0.00771,0,1.0,EARLY,CORN,WET
J0012,4,WB1,WEIGH_OUT,6,6,-0.02783,0.00671,0.00831,0.015,0.015,0.0,0.0,0.02877,0,1.0,EARLY,CORN,WET
J0012,4,WB2,WEIGH_OUT,7,7,-0.02107,0.00671,0.00831,0.015,0.015,0.0,0.0,-0.02505,0,1.0,EARLY,CORN,WET
J0013,1,WB1,WEIGH_IN,8,8,-0.02783,-0.01153,-0.01048,0.02,0.02,0.0,0.0,0.01849,0,1.0,EARLY,SOY,WET
J0013,1,WB2,WEIGH_IN,7,7,-0.02107,-0.01153,-0.01048,0.02,0.02,0.0,0.0,0.00623,0,1.0,EARLY,SOY,WET
J0013,2,LAB1,SAMPLE_CLASSIFY,14,16,-0.01909,0.02616,-0.00432,0.03,0.035,0.02,0.045,0.00278,0,1.0,EARLY,SOY,WET
J0013,3,HOP1,UNLOAD,33,33,0.02627,0.03975,-0.01777,0.04,0.05,0.01,0.028,-0.17112,0,1.0,EARLY,SOY,WET
J0013,4,WB1,WEIGH_OUT,6,6,-0.02783,0.00671,0.00831,0.015,0.015,0.0,0.0,-0.02985,0,1.0,EARLY,SOY,WET
J0013,4,WB2,WEIGH_OUT,6,6,-0.02107,0.00671,0.00831,0.015,0.015,0.0,0.0,-0.03905,0,1.0,EARLY,SOY,WET
J0014,1,WB1,WEIGH_IN,7,7,-0.02783,0.02161,-0.01048,0.02,0.01967,0.0,0.0,0.02536,0,0.98331,MID,SOY,NORMAL
J0014,1,WB2,WEIGH_IN,7,7,-0.02107,0.02161,-0.01048,0.02,0.01967,0.0,0.0,0.01868,0,0.98331,MID,SOY,NORMAL
J0014,2,LAB1,SAMPLE_CLASSIFY,11,12,-0.01909,-0.01307,-0.00432,0.03,0.03442,0.02,0.0,0.00712,0,0.98331,MID,SOY,NORMAL
J0014,3,HOP1,UNLOAD,30,30,0.02627,0.01464,-0.01777,0.04,0.04917,0.01,0.0,-0.1094,0,0.98331,MID,SOY,NORMAL
J0014,4,WB1,WEIGH_OUT,6,6,-0.02783,-0.00242,0.00831,0.015,0.01475,0.0,0.0,0.00559,0,0.98331,MID,SOY,NORMAL
J0014,4,WB2,WEIGH_OUT,7,7,-0.02107,-0.00242,0.00831,0.015,0.01475,0.0,0.0,-0.00329,0,0.98331,MID,SOY,NORMAL
J0015,1,WB1,WEIGH_IN,7,7,-0.02783,0.02161,-0.01048,0.02,0.01933,0.0,0.0,-0.00613,0,0.96662,MID,CORN,DRY
J0015,1,WB2,WEIGH_IN,8,8,-0.02107,0.02161,-0.01048,0.02,0.01933,0.0,0.0,0.01727,0,0.96662,MID,CORN,DRY
J0015,2,LAB1,SAMPLE_CLASSIFY,11,11,-0.01909,-0.01307,-0.00432,0.03,0.03383,0.0,-0.02,0.01727,0,0.96662,MID,CORN,DRY
J0015,3,HOP1,UNLOAD,24,25,0.02627,0.01464,-0.01777,0.04,0.04833,0.0,-0.01,-0.0566,0,0.96662,MID,CORN,DRY
J0015,3,HOP2,UNLOAD,27,30,-0.13578,0.01464,-0.01777,0.04,0.04833,0.0,-0.01,0.0588,3,0.96662,MID,CORN,DRY
