job_id,completion_min,flow_time_min,queue_time_min,overwait_min
J0001,119,72,0,0
J0002,128,69,2,0
J0003,165,97,33,0
J0004,208,136,62,0
J0005,249,172,101,0
J0006,287,202,138,0
J0007,334,244,169,0
J0008,368,276,215,0
J0009,402,306,245,6
J0010,436,336,276,36
J0011,470,281,221,0
J0012,514,292,217,0
J0013,295,60,5,0
J0014,342,105,43,0
J0015,375,138,67,0
J0016,548,311,250,11
J0017,416,165,97,0
J0018,451,192,133,0
J0019,490,226,161,0
J0020,531,257,191,0
J0021,591,154,79,0
J0022,644,172,93,0
J0023,651,134,69,0
J0024,693,159,78,0
